Marea,MPR,FwyCapacityMultiplier,ArtCapacityMultiplier
Corvallis,0,1,1
Corvallis,0.2,1.04,1
Corvallis,0.4,1.15,1
Corvallis,0.6,1.3,1
Corvallis,0.8,1.45,1.01
Corvallis,1,1.54,1.01
Metro,0,1,1
Metro,0.2,1.04,1
Metro,0.4,1.15,1
Metro,0.6,1.3,1
Metro,0.8,1.45,1.01
Metro,1,1.54,1.01
Bend,0,1,1
Bend,0.2,1.04,1
Bend,0.4,1.15,1
Bend,0.6,1.3,1
Bend,0.8,1.45,1.01
Bend,1,1.54,1.01
RogueValley,0,1,1
RogueValley,0.2,1.04,1
RogueValley,0.4,1.15,1
RogueValley,0.6,1.3,1
RogueValley,0.8,1.45,1.01
RogueValley,1,1.54,1.01
GrantsPass,0,1,1
GrantsPass,0.2,1.04,1
GrantsPass,0.4,1.15,1
GrantsPass,0.6,1.3,1
GrantsPass,0.8,1.45,1.01
GrantsPass,1,1.54,1.01
EugeneSpringfield,0,1,1
EugeneSpringfield,0.2,1.04,1
EugeneSpringfield,0.4,1.15,1
EugeneSpringfield,0.6,1.3,1
EugeneSpringfield,0.8,1.45,1.01
EugeneSpringfield,1,1.54,1.01
Albany,0,1,1
Albany,0.2,1.04,1
Albany,0.4,1.15,1
Albany,0.6,1.3,1
Albany,0.8,1.45,1.01
Albany,1,1.54,1.01
SalemKeizer,0,1,1
SalemKeizer,0.2,1.04,1
SalemKeizer,0.4,1.15,1
SalemKeizer,0.6,1.3,1
SalemKeizer,0.8,1.45,1.01
SalemKeizer,1,1.54,1.01
None,0,1,1
None,0.2,1.04,1
None,0.4,1.15,1
None,0.6,1.3,1
None,0.8,1.45,1.01
None,1,1.54,1.01
