Marea,Azone,Bzone,Czone
LCOG,Eugene,1,NA
LCOG,Eugene,2,NA
LCOG,Eugene,3,NA
LCOG,Springfield,4,NA
LCOG,Eugene,5,NA
LCOG,Eugene,6,NA
LCOG,Eugene,7,NA
LCOG,Eugene,8,NA
LCOG,Eugene,9,NA
LCOG,Eugene,10,NA
LCOG,Eugene,11,NA
LCOG,Eugene,12,NA
LCOG,Eugene,13,NA
LCOG,Eugene,14,NA
LCOG,Eugene,15,NA
LCOG,Eugene,16,NA
LCOG,Eugene,17,NA
LCOG,Eugene,18,NA
LCOG,Eugene,19,NA
LCOG,Eugene,20,NA
LCOG,Eugene,21,NA
LCOG,Eugene,22,NA
LCOG,Eugene,23,NA
LCOG,Eugene,24,NA
LCOG,Eugene,25,NA
LCOG,Eugene,26,NA
LCOG,Eugene,27,NA
LCOG,Eugene,28,NA
LCOG,Eugene,29,NA
LCOG,Eugene,30,NA
LCOG,Eugene,31,NA
LCOG,Eugene,32,NA
LCOG,Eugene,33,NA
LCOG,Eugene,34,NA
LCOG,Eugene,35,NA
LCOG,Eugene,36,NA
LCOG,Eugene,37,NA
LCOG,Eugene,38,NA
LCOG,Eugene,39,NA
LCOG,Eugene,40,NA
LCOG,Eugene,41,NA
LCOG,Eugene,42,NA
LCOG,Eugene,43,NA
LCOG,Eugene,44,NA
LCOG,Eugene,45,NA
LCOG,Eugene,46,NA
LCOG,Eugene,47,NA
LCOG,Eugene,48,NA
LCOG,Eugene,49,NA
LCOG,Springfield,50,NA
LCOG,Eugene,51,NA
LCOG,Eugene,52,NA
LCOG,Eugene,53,NA
LCOG,Coburg,54,NA
LCOG,Eugene,55,NA
LCOG,Eugene,56,NA
LCOG,Springfield,57,NA
LCOG,Springfield,58,NA
LCOG,Springfield,59,NA
LCOG,Springfield,60,NA
LCOG,Springfield,61,NA
LCOG,Springfield,62,NA
LCOG,Springfield,63,NA
LCOG,Springfield,64,NA
LCOG,Springfield,65,NA
LCOG,Springfield,66,NA
LCOG,Springfield,67,NA
LCOG,Springfield,68,NA
LCOG,Springfield,69,NA
LCOG,Springfield,70,NA
LCOG,Springfield,71,NA
LCOG,Springfield,72,NA
