Geo,Year,FuelTax.2005,VmtTax.2005,PevSurchgTaxProp
Coburg,2005,0.395478056,0,0
Coburg,2010,0.376191683,0,0
Coburg,2020,0.439173197,0,0
Coburg,2035,0.439173197,0.028,0
Coburg,2045,0.524921082,0.0347,0
Eugene,2005,0.415478056,0,0
Eugene,2010,0.394099799,0,0
Eugene,2020,0.432353737,0,0
Eugene,2035,0.432353737,0.028,0
Eugene,2045,0.518101622,0.0347,0
Springfield,2005,0.395478056,0,0
Springfield,2010,0.376191683,0,0
Springfield,2020,0.418714818,0,0
Springfield,2035,0.418714818,0.028,0
Springfield,2045,0.504462703,0.0347,0
