"Geo","Year","PropRuralMixed","PropRuralOnSite","PropRuralRemote","PropTownMixed","PropTownOnSite","PropTownRemote","PropMetroMixed","PropMetroOnSite","PropMetroRemote"
"Coburg",2005,0.2591,0.5243,0.2166,0.2426,0.5468,0.2106,0.2524,0.5201,0.2275
"Coburg",2010,0.2591,0.5243,0.2166,0.2426,0.5468,0.2106,0.2524,0.5201,0.2275
"Coburg",2020,0.2554,0.5261,0.2185,0.2397,0.5534,0.2069,0.2527,0.5165,0.2308
"Coburg",2035,0.2676,0.4978,0.2346,0.2336,0.5455,0.2209,0.2483,0.4999,0.2519
"Coburg",2045,0.2676,0.4978,0.2346,0.2336,0.5455,0.2209,0.2483,0.4999,0.2519
"Eugene",2005,0.2591,0.5243,0.2166,0.2426,0.5468,0.2106,0.2524,0.5201,0.2275
"Eugene",2010,0.2591,0.5243,0.2166,0.2426,0.5468,0.2106,0.2524,0.5201,0.2275
"Eugene",2020,0.2554,0.5261,0.2185,0.2397,0.5534,0.2069,0.2527,0.5165,0.2308
"Eugene",2035,0.2676,0.4978,0.2346,0.2336,0.5455,0.2209,0.2483,0.4999,0.2519
"Eugene",2045,0.2676,0.4978,0.2346,0.2336,0.5455,0.2209,0.2483,0.4999,0.2519
"Springfield",2005,0.2591,0.5243,0.2166,0.2426,0.5468,0.2106,0.2524,0.5201,0.2275
"Springfield",2010,0.2591,0.5243,0.2166,0.2426,0.5468,0.2106,0.2524,0.5201,0.2275
"Springfield",2020,0.2554,0.5261,0.2185,0.2397,0.5534,0.2069,0.2527,0.5165,0.2308
"Springfield",2035,0.2676,0.4978,0.2346,0.2336,0.5455,0.2209,0.2483,0.4999,0.2519
"Springfield",2045,0.2676,0.4978,0.2346,0.2336,0.5455,0.2209,0.2483,0.4999,0.2519
