Geo,Year,TotEmp,RetEmp,SvcEmp
1,2005,4.0,0.0,4.0
1,2010,4.0,0.0,4.0
1,2020,4.0,0.0,4.0
1,2035,3.0,0.0,3.0
1,2045,3.0,0.0,3.0
2,2005,292.0,21.0,71.0
2,2010,287.0,20.0,67.0
2,2020,277.0,20.0,57.0
2,2035,261.0,20.0,43.0
2,2045,250.0,20.0,33.0
3,2005,304.0,58.0,175.0
3,2010,310.0,58.0,180.0
3,2020,322.0,58.0,191.0
3,2035,339.0,58.0,207.0
3,2045,351.0,58.0,218.0
4,2005,484.0,35.0,29.0
4,2010,492.0,35.0,35.0
4,2020,505.0,34.0,49.0
4,2035,526.0,33.0,69.0
4,2045,540.0,32.0,83.0
5,2005,328.0,51.0,244.0
5,2010,335.0,51.0,249.0
5,2020,348.0,52.0,260.0
5,2035,369.0,53.0,277.0
5,2045,383.0,53.0,288.0
6,2005,844.0,50.0,752.0
6,2010,993.0,52.0,868.0
6,2020,1290.0,56.0,1101.0
6,2035,1735.0,63.0,1450.0
6,2045,2031.0,68.0,1683.0
7,2005,117.0,11.0,104.0
7,2010,119.0,11.0,105.0
7,2020,125.0,11.0,108.0
7,2035,133.0,11.0,113.0
7,2045,138.0,11.0,117.0
8,2005,408.0,39.0,190.0
8,2010,407.0,38.0,190.0
8,2020,404.0,38.0,188.0
8,2035,401.0,38.0,185.0
8,2045,398.0,38.0,184.0
9,2005,283.0,51.0,192.0
9,2010,293.0,51.0,199.0
9,2020,312.0,51.0,214.0
9,2035,342.0,50.0,236.0
9,2045,361.0,50.0,251.0
10,2005,118.0,2.0,113.0
10,2010,118.0,2.0,113.0
10,2020,116.0,2.0,111.0
10,2035,113.0,2.0,108.0
10,2045,112.0,2.0,107.0
11,2005,228.0,7.0,171.0
11,2010,223.0,7.0,166.0
11,2020,213.0,7.0,156.0
11,2035,198.0,7.0,141.0
11,2045,188.0,7.0,131.0
12,2005,161.0,2.0,122.0
12,2010,161.0,2.0,122.0
12,2020,161.0,2.0,123.0
12,2035,162.0,1.0,125.0
12,2045,162.0,1.0,126.0
13,2005,587.0,62.0,396.0
13,2010,589.0,61.0,398.0
13,2020,593.0,61.0,401.0
13,2035,600.0,61.0,406.0
13,2045,604.0,61.0,409.0
14,2005,208.0,6.0,118.0
14,2010,208.0,7.0,118.0
14,2020,208.0,7.0,117.0
14,2035,208.0,7.0,115.0
14,2045,208.0,7.0,114.0
15,2005,649.0,48.0,560.0
15,2010,654.0,48.0,565.0
15,2020,664.0,48.0,575.0
15,2035,679.0,47.0,589.0
15,2045,689.0,47.0,599.0
16,2005,1349.0,335.0,603.0
16,2010,1358.0,335.0,609.0
16,2020,1374.0,332.0,621.0
16,2035,1399.0,329.0,638.0
16,2045,1415.0,327.0,649.0
17,2005,4008.0,184.0,3502.0
17,2010,4147.0,183.0,3643.0
17,2020,4427.0,180.0,3925.0
17,2035,4847.0,177.0,4348.0
17,2045,5127.0,174.0,4630.0
18,2005,747.0,104.0,461.0
18,2010,746.0,104.0,461.0
18,2020,744.0,102.0,459.0
18,2035,741.0,100.0,458.0
18,2045,739.0,99.0,456.0
19,2005,1251.0,241.0,866.0
19,2010,1252.0,240.0,867.0
19,2020,1252.0,238.0,869.0
19,2035,1254.0,235.0,871.0
19,2045,1254.0,233.0,873.0
20,2005,7532.0,699.0,4178.0
20,2010,7559.0,696.0,4172.0
20,2020,7613.0,691.0,4161.0
20,2035,7694.0,683.0,4145.0
20,2045,7748.0,677.0,4135.0
21,2005,221.0,40.0,112.0
21,2010,289.0,44.0,157.0
21,2020,423.0,51.0,247.0
21,2035,626.0,63.0,383.0
21,2045,760.0,71.0,474.0
22,2005,408.0,55.0,204.0
22,2010,414.0,56.0,208.0
22,2020,425.0,56.0,215.0
22,2035,441.0,58.0,225.0
22,2045,453.0,58.0,232.0
23,2005,1887.0,262.0,800.0
23,2010,1895.0,262.0,798.0
23,2020,1914.0,263.0,795.0
23,2035,1941.0,264.0,790.0
23,2045,1960.0,264.0,787.0
24,2005,2172.0,280.0,1399.0
24,2010,2158.0,280.0,1381.0
24,2020,2130.0,281.0,1345.0
24,2035,2089.0,283.0,1290.0
24,2045,2062.0,285.0,1254.0
25,2005,1.0,0.0,1.0
25,2010,1.0,0.0,1.0
25,2020,1.0,0.0,1.0
25,2035,9.0,1.0,1.0
25,2045,14.0,2.0,1.0
26,2005,432.0,213.0,38.0
26,2010,629.0,235.0,38.0
26,2020,1025.0,279.0,218.0
26,2035,1618.0,345.0,487.0
26,2045,2014.0,389.0,666.0
27,2005,3480.0,393.0,2240.0
27,2010,3455.0,392.0,2244.0
27,2020,3405.0,389.0,2251.0
27,2035,3330.0,386.0,2261.0
27,2045,3280.0,383.0,2268.0
28,2005,1448.0,167.0,852.0
28,2010,1450.0,167.0,858.0
28,2020,1455.0,167.0,872.0
28,2035,1461.0,167.0,892.0
28,2045,1466.0,167.0,905.0
29,2005,1427.0,57.0,751.0
29,2010,1446.0,59.0,763.0
29,2020,1484.0,62.0,787.0
29,2035,1540.0,67.0,824.0
29,2045,1577.0,70.0,849.0
30,2005,5078.0,703.0,1042.0
30,2010,5453.0,789.0,1105.0
30,2020,6202.0,960.0,1233.0
30,2035,7327.0,1218.0,1424.0
30,2045,8076.0,1389.0,1551.0
31,2005,486.0,180.0,211.0
31,2010,484.0,180.0,212.0
31,2020,479.0,178.0,212.0
31,2035,472.0,175.0,213.0
31,2045,467.0,174.0,213.0
32,2005,340.0,46.0,194.0
32,2010,352.0,48.0,203.0
32,2020,376.0,49.0,219.0
32,2035,412.0,51.0,245.0
32,2045,436.0,53.0,262.0
33,2005,245.0,95.0,244.0
33,2010,565.0,117.0,244.0
33,2020,1207.0,161.0,244.0
33,2035,2168.0,226.0,756.0
33,2045,2809.0,270.0,1097.0
34,2005,217.0,64.0,112.0
34,2010,217.0,64.0,112.0
34,2020,867.0,64.0,112.0
34,2035,1841.0,273.0,552.0
34,2045,2491.0,413.0,845.0
35,2005,1059.0,392.0,364.0
35,2010,1120.0,397.0,407.0
35,2020,1243.0,404.0,491.0
35,2035,1427.0,416.0,618.0
35,2045,1550.0,423.0,702.0
36,2005,430.0,6.0,407.0
36,2010,410.0,6.0,386.0
36,2020,370.0,6.0,343.0
36,2035,309.0,6.0,279.0
36,2045,268.0,6.0,236.0
37,2005,122.0,1.0,123.0
37,2010,135.0,1.0,133.0
37,2020,159.0,1.0,153.0
37,2035,197.0,2.0,184.0
37,2045,222.0,3.0,203.0
38,2005,914.0,193.0,521.0
38,2010,916.0,193.0,523.0
38,2020,921.0,192.0,526.0
38,2035,928.0,190.0,531.0
38,2045,932.0,189.0,534.0
39,2005,175.0,7.0,154.0
39,2010,174.0,7.0,154.0
39,2020,172.0,7.0,151.0
39,2035,170.0,7.0,148.0
39,2045,169.0,7.0,146.0
40,2005,2084.0,247.0,470.0
40,2010,2205.0,265.0,513.0
40,2020,2447.0,299.0,601.0
40,2035,2810.0,352.0,732.0
40,2045,3053.0,386.0,819.0
41,2005,652.0,15.0,487.0
41,2010,654.0,15.0,489.0
41,2020,657.0,15.0,492.0
41,2035,661.0,15.0,497.0
41,2045,663.0,15.0,500.0
42,2005,469.0,60.0,172.0
42,2010,476.0,61.0,175.0
42,2020,489.0,63.0,181.0
42,2035,508.0,66.0,190.0
42,2045,521.0,68.0,195.0
43,2005,635.0,64.0,378.0
43,2010,647.0,65.0,389.0
43,2020,673.0,65.0,410.0
43,2035,712.0,66.0,443.0
43,2045,738.0,66.0,464.0
44,2005,296.0,1.0,118.0
44,2010,299.0,1.0,122.0
44,2020,305.0,1.0,130.0
44,2035,314.0,1.0,141.0
44,2045,321.0,1.0,148.0
45,2005,3513.0,1350.0,1482.0
45,2010,3524.0,1345.0,1491.0
45,2020,3548.0,1336.0,1511.0
45,2035,3582.0,1322.0,1540.0
45,2045,3606.0,1314.0,1560.0
46,2005,805.0,330.0,242.0
46,2010,815.0,329.0,251.0
46,2020,835.0,326.0,271.0
46,2035,864.0,322.0,300.0
46,2045,883.0,319.0,320.0
47,2005,361.0,50.0,226.0
47,2010,368.0,50.0,230.0
47,2020,381.0,50.0,240.0
47,2035,401.0,51.0,254.0
47,2045,414.0,51.0,264.0
48,2005,2202.0,400.0,1339.0
48,2010,2240.0,399.0,1368.0
48,2020,2316.0,397.0,1425.0
48,2035,2429.0,394.0,1512.0
48,2045,2505.0,392.0,1569.0
49,2005,1101.0,442.0,256.0
49,2010,1107.0,441.0,260.0
49,2020,1118.0,439.0,267.0
49,2035,1136.0,436.0,277.0
49,2045,1147.0,434.0,284.0
50,2005,4167.0,157.0,3623.0
50,2010,4463.0,162.0,3850.0
50,2020,5056.0,172.0,4303.0
50,2035,5945.0,186.0,4984.0
50,2045,6538.0,195.0,5437.0
51,2005,862.0,107.0,144.0
51,2010,862.0,140.0,144.0
51,2020,862.0,205.0,144.0
51,2035,2178.0,303.0,866.0
51,2045,3055.0,368.0,1347.0
52,2005,75.0,7.0,156.0
52,2010,523.0,7.0,156.0
52,2020,1420.0,7.0,156.0
52,2035,2765.0,130.0,747.0
52,2045,3661.0,211.0,1141.0
53,2005,200.0,10.0,154.0
53,2010,204.0,11.0,158.0
53,2020,212.0,11.0,166.0
53,2035,224.0,11.0,177.0
53,2045,232.0,11.0,184.0
54,2005,365.0,133.0,323.0
54,2010,640.0,149.0,323.0
54,2020,1190.0,180.0,323.0
54,2035,2016.0,228.0,848.0
54,2045,2566.0,260.0,1197.0
55,2005,2.0,22.0,91.0
55,2010,2.0,22.0,91.0
55,2020,653.0,22.0,91.0
55,2035,1630.0,99.0,612.0
55,2045,2281.0,149.0,959.0
56,2005,62.0,0.0,0.0
56,2010,62.0,0.0,0.0
56,2020,63.0,0.0,0.0
56,2035,64.0,0.0,0.0
56,2045,66.0,0.0,0.0
57,2005,2296.0,748.0,808.0
57,2010,2312.0,749.0,826.0
57,2020,2344.0,749.0,861.0
57,2035,2393.0,750.0,913.0
57,2045,2425.0,750.0,947.0
58,2005,490.0,66.0,2.0
58,2010,596.0,71.0,79.0
58,2020,807.0,81.0,232.0
58,2035,1124.0,97.0,463.0
58,2045,1335.0,107.0,616.0
59,2005,1251.0,23.0,671.0
59,2010,1278.0,25.0,686.0
59,2020,1335.0,30.0,715.0
59,2035,1420.0,38.0,758.0
59,2045,1477.0,43.0,787.0
60,2005,245.0,57.0,123.0
60,2010,323.0,59.0,183.0
60,2020,479.0,63.0,303.0
60,2035,714.0,69.0,482.0
60,2045,870.0,74.0,602.0
61,2005,309.0,164.0,117.0
61,2010,326.0,164.0,130.0
61,2020,361.0,164.0,156.0
61,2035,412.0,165.0,195.0
61,2045,447.0,166.0,221.0
62,2005,230.0,7.0,178.0
62,2010,232.0,7.0,180.0
62,2020,237.0,7.0,182.0
62,2035,244.0,7.0,187.0
62,2045,249.0,7.0,189.0
63,2005,106.0,11.0,76.0
63,2010,107.0,11.0,78.0
63,2020,109.0,11.0,81.0
63,2035,112.0,10.0,85.0
63,2045,115.0,10.0,87.0
64,2005,1898.0,605.0,589.0
64,2010,2111.0,620.0,730.0
64,2020,2536.0,649.0,1012.0
64,2035,3173.0,692.0,1436.0
64,2045,3598.0,720.0,1719.0
65,2005,655.0,68.0,120.0
65,2010,937.0,92.0,120.0
