"Geo","Year","HhPropIncQ1","HhPropIncQ2","HhPropIncQ3","HhPropIncQ4"
1,2005,0.216666666666667,0.2,0.256666666666667,0.326666666666667
2,2005,0.2525,0.225,0.2175,0.305
3,2005,0.23,0.232,0.232,0.306
4,2005,0.24,0.24,0.233333333333333,0.286666666666667
5,2005,0.188333333333333,0.218333333333333,0.251666666666667,0.341666666666667
6,2005,0.2325,0.2075,0.205,0.355
7,2005,0.166666666666667,0.206666666666667,0.22,0.406666666666667
8,2005,0.19,0.2475,0.24,0.3225
9,2005,0.203333333333333,0.223333333333333,0.226666666666667,0.346666666666667
10,2005,0.1825,0.21,0.21,0.3975
11,2005,0.145,0.185,0.2425,0.4275
12,2005,0.28,0.21,0.21,0.3
13,2005,0.23,0.185,0.23,0.355
14,2005,0.294,0.196,0.196,0.314
15,2005,0.26,0.218,0.204,0.318
16,2005,0.25,0.233333333333333,0.21,0.306666666666667
17,2005,0.346666666666667,0.208333333333333,0.181666666666667,0.263333333333333
18,2005,0.388,0.23,0.176,0.206
19,2005,0.456666666666667,0.203333333333333,0.133333333333333,0.206666666666667
20,2005,0.478,0.23,0.164,0.128
21,2005,0.2225,0.2475,0.235,0.295
22,2005,0.466666666666667,0.23,0.166666666666667,0.136666666666667
23,2005,0.274285714285714,0.25,0.225714285714286,0.25
24,2005,0.506666666666667,0.203333333333333,0.14,0.15
25,2005,0.375,0.26,0.195,0.17
26,2005,0.1975,0.2125,0.2525,0.3375
27,2005,0.255,0.24,0.205,0.3
28,2005,0.31875,0.2575,0.1975,0.22625
29,2005,0.36,0.231428571428571,0.191428571428571,0.217142857142857
30,2005,0.337142857142857,0.287142857142857,0.225714285714286,0.15
31,2005,0.2325,0.2425,0.2275,0.2975
32,2005,0.362,0.282,0.21,0.146
33,2005,0.215,0.29,0.27,0.225
34,2005,0.21,0.252,0.298,0.24
35,2005,0.2575,0.32,0.27,0.1525
36,2005,0.255,0.285,0.32,0.14
37,2005,0.226666666666667,0.27,0.306666666666667,0.196666666666667
38,2005,0.185,0.23,0.2375,0.3475
39,2005,0.156666666666667,0.233333333333333,0.236666666666667,0.373333333333333
40,2005,0.3725,0.28,0.205,0.1425
41,2005,0.223333333333333,0.225,0.235,0.316666666666667
42,2005,0.234,0.268,0.272,0.226
43,2005,0.33,0.286,0.228,0.156
