"Geo","Year","Latitude","Longitude"
1,2005,43.990906,-123.072878
2,2005,43.976901,-123.040119
3,2005,44.006052,-123.073307
4,2005,44.004114,-122.98118
5,2005,44.00339,-123.116408
6,2005,44.014458,-123.043616
7,2005,44.018648,-123.099571
8,2005,44.017996,-123.085897
9,2005,44.034673,-123.108462
10,2005,44.023618,-123.111772
11,2005,44.024954,-123.142772
12,2005,44.032258,-123.130785
13,2005,44.041902,-123.142161
14,2005,44.032475,-123.06477
15,2005,44.03289,-123.081421
16,2005,44.032712,-123.094529
17,2005,44.045159,-123.069649
18,2005,44.042895,-123.105228
19,2005,44.042556,-123.087366
20,2005,44.05065,-123.094896
21,2005,44.041169,-123.156197
22,2005,44.048843,-123.109987
23,2005,44.043353,-123.12497
24,2005,44.047354,-123.083198
25,2005,44.054057,-123.084212
26,2005,44.034571,-123.196131
27,2005,44.070112,-123.086876
28,2005,44.055596,-123.064367
29,2005,44.060178,-123.101083
30,2005,44.060471,-123.153038
31,2005,44.066002,-123.06175
32,2005,44.074443,-123.124813
33,2005,44.059436,-123.19049
34,2005,44.097601,-123.225151
35,2005,44.084321,-123.162101
36,2005,44.077456,-123.180671
37,2005,44.077432,-123.198299
38,2005,44.082798,-123.078224
39,2005,44.083501,-123.095741
40,2005,44.062924,-123.125916
41,2005,44.077526,-123.058625
42,2005,44.089586,-123.125316
43,2005,44.090697,-123.14318
44,2005,44.102693,-123.074297
45,2005,44.080823,-123.10891
46,2005,44.106282,-123.118325
47,2005,44.105432,-123.139155
48,2005,44.100508,-123.056619
49,2005,44.10734,-123.09459
50,2005,44.086692,-123.031687
51,2005,44.098496,-123.190052
52,2005,44.108128,-123.161489
53,2005,44.125471,-123.126136
54,2005,44.138704,-123.064166
55,2005,44.124192,-123.162603
56,2005,44.137983,-123.187976
57,2005,44.076915,-123.039554
58,2005,44.071871,-122.98117
59,2005,44.066531,-123.037458
60,2005,44.059907,-122.930242
61,2005,44.069764,-123.006975
62,2005,44.059527,-123.038525
63,2005,44.054739,-122.882051
64,2005,44.051186,-122.994344
65,2005,44.049914,-122.97474
66,2005,44.051469,-123.036031
67,2005,44.058222,-123.010979
68,2005,44.049589,-123.014427
69,2005,44.034259,-122.970239
70,2005,44.041345,-122.944461
71,2005,44.028923,-122.881247
72,2005,44.039264,-123.035059
1,2010,43.990906,-123.072878
2,2010,43.976901,-123.040119
3,2010,44.006052,-123.073307
4,2010,44.004114,-122.98118
5,2010,44.00339,-123.116408
6,2010,44.014458,-123.043616
7,2010,44.018648,-123.099571
8,2010,44.017996,-123.085897
9,2010,44.034673,-123.108462
10,2010,44.023618,-123.111772
11,2010,44.024954,-123.142772
12,2010,44.032258,-123.130785
13,2010,44.041902,-123.142161
14,2010,44.032475,-123.06477
15,2010,44.03289,-123.081421
16,2010,44.032712,-123.094529
17,2010,44.045159,-123.069649
18,2010,44.042895,-123.105228
19,2010,44.042556,-123.087366
20,2010,44.05065,-123.094896
21,2010,44.041169,-123.156197
22,2010,44.048843,-123.109987
23,2010,44.043353,-123.12497
24,2010,44.047354,-123.083198
25,2010,44.054057,-123.084212
26,2010,44.034571,-123.196131
