"Geo","Year","D3bpo4"
1,2005,0
1,2010,0
1,2020,0
1,2035,0
1,2045,0
2,2005,1.49024
2,2010,1.49024
2,2020,1.49024
2,2035,1.49024
2,2045,1.49024
3,2005,0
3,2010,0
3,2020,0
3,2035,0
3,2045,0
4,2005,3.100836
4,2010,3.100836
4,2020,3.100836
4,2035,3.100836
4,2045,3.100836
5,2005,0
5,2010,0
5,2020,0
5,2035,0
5,2045,0
6,2005,22.5
6,2010,22.5
6,2020,22.5
6,2035,22.5
6,2045,22.5
7,2005,98.833273
7,2010,98.833273
7,2020,98.833273
7,2035,98.833273
7,2045,98.833273
8,2005,13.5
8,2010,13.5
8,2020,13.5
8,2035,45.9
8,2045,67.5
9,2005,28
9,2010,28
9,2020,28
9,2035,28
9,2045,28
10,2005,18
10,2010,18
10,2020,18
10,2035,18
10,2045,18
11,2005,13.5
11,2010,13.5
11,2020,13.5
11,2035,24.1543308
11,2045,31.257218
12,2005,18
12,2010,18
12,2020,18
12,2035,18
12,2045,18
13,2005,31.257218
13,2010,31.257218
13,2020,31.257218
13,2035,31.257218
13,2045,31.257218
14,2005,0
14,2010,0
14,2020,0
14,2035,0
14,2045,0
15,2005,13.5
15,2010,13.5
15,2020,13.5
15,2035,45.9
15,2045,67.5
16,2005,52
16,2010,52
16,2020,52
16,2035,52
16,2045,52
17,2005,32
17,2010,32
17,2020,32
17,2035,32
17,2045,32
18,2005,72
18,2010,72
18,2020,72
18,2035,72
18,2045,72
19,2005,36
19,2010,36
19,2020,36
19,2035,36
19,2045,36
20,2005,219.202445
20,2010,219.202445
20,2020,219.202445
20,2035,219.202445
20,2045,219.202445
21,2005,22.5
21,2010,22.5
21,2020,22.5
21,2035,22.5
21,2045,22.5
22,2005,64
22,2010,64
22,2020,64
22,2035,64
22,2045,64
23,2005,88
23,2010,88
23,2020,88
23,2035,88
23,2045,88
24,2005,32
24,2010,32
24,2020,32
24,2035,63.2
24,2045,84
25,2005,0
25,2010,0
25,2020,0
25,2035,0
25,2045,0
26,2005,15.110605
26,2010,15.110605
26,2020,15.110605
26,2035,15.110605
26,2045,15.110605
27,2005,52
27,2010,52
27,2020,52
27,2035,52
27,2045,52
28,2005,38.379606
28,2010,38.379606
28,2020,38.379606
28,2035,38.379606
28,2045,38.379606
29,2005,0
29,2010,0
29,2020,0
29,2035,40.5
29,2045,67.5
30,2005,103.378071
30,2010,103.378071
30,2020,103.378071
30,2035,103.378071
30,2045,103.378071
31,2005,0
31,2010,0
31,2020,0
31,2035,0
31,2045,0
32,2005,21.220799
32,2010,21.220799
32,2020,21.220799
32,2035,21.220799
32,2045,21.220799
33,2005,32
33,2010,32
33,2020,32
33,2035,32
33,2045,32
34,2005,33.728813
34,2010,33.728813
34,2020,33.728813
34,2035,33.728813
34,2045,33.728813
35,2005,24.506382
35,2010,24.506382
35,2020,24.506382
35,2035,24.506382
35,2045,24.506382
36,2005,39.227645
36,2010,39.227645
36,2020,39.227645
36,2035,39.227645
36,2045,39.227645
37,2005,0
37,2010,0
37,2020,0
37,2035,0
37,2045,0
38,2005,0
38,2010,0
38,2020,0
38,2035,0
38,2045,0
39,2005,0
39,2010,0
39,2020,0
39,2035,15.6535764
39,2045,26.089294
40,2005,56
40,2010,56
40,2020,56
40,2035,56
40,2045,56
41,2005,0
41,2010,0
41,2020,0
41,2035,0
41,2045,0
42,2005,24.211228
42,2010,24.211228
42,2020,24.211228
42,2035,24.211228
42,2045,24.211228
43,2005,14.226089
43,2010,14.226089
43,2020,14.226089
43,2035,14.226089
43,2045,14.226089
44,2005,33.567137
44,2010,33.567137
44,2020,33.567137
44,2035,33.567137
44,2045,33.567137
45,2005,26.089294
45,2010,26.089294
45,2020,26.089294
45,2035,26.089294
45,2045,26.089294
46,2005,10.790751
46,2010,10.790751
46,2020,10.790751
46,2035,10.790751
46,2045,10.790751
47,2005,12.155458
47,2010,12.155458
47,2020,12.155458
47,2035,12.155458
47,2045,12.155458
48,2005,33.567137
48,2010,33.567137
48,2020,33.567137
48,2035,13.4268548
48,2045,0
49,2005,13.5
49,2010,13.5
49,2020,13.5
49,2035,18.9
49,2045,22.5
50,2005,18
50,2010,18
50,2020,18
50,2035,18
50,2045,18
51,2005,39.227645
51,2010,39.227645
51,2020,39.227645
51,2035,39.227645
51,2045,39.227645
52,2005,19.144885
52,2010,19.144885
52,2020,19.144885
52,2035,19.144885
52,2045,19.144885
53,2005,0
53,2010,0
53,2020,0
53,2035,0
53,2045,0
54,2005,0
54,2010,0
54,2020,0
54,2035,0
54,2045,0
55,2005,0
55,2010,0
55,2020,0
55,2035,0
55,2045,0
56,2005,0
56,2010,0
56,2020,0
56,2035,0
56,2045,0
57,2005,13.5
57,2010,13.5
57,2020,13.5
57,2035,13.9843062
57,2045,14.307177
58,2005,18
58,2010,18
58,2020,18
58,2035,18
58,2045,18
59,2005,18
59,2010,18
59,2020,18
59,2035,18
59,2045,18
60,2005,32.893571
60,2010,32.893571
60,2020,32.893571
60,2035,32.893571
60,2045,32.893571
61,2005,28.209255
61,2010,28.209255
61,2020,28.209255
61,2035,28.209255
61,2045,28.209255
62,2005,13.5
62,2010,13.5
62,2020,13.5
62,2035,45.9
62,2045,67.5
63,2005,0
63,2010,0
63,2020,0
63,2035,0
63,2045,0
64,2005,18
64,2010,18
64,2020,18
64,2035,18
64,2045,18
65,2005,27
65,2010,27
65,2020,27
65,2035,27
65,2045,27
66,2005,45
66,2010,45
66,2020,45
66,2035,45
66,2045,45
67,2005,18
67,2010,18
67,2020,18
67,2035,18
67,2045,18
68,2005,123.75
68,2010,123.75
68,2020,123.75
68,2035,123.75
68,2045,123.75
69,2005,45
69,2010,45
69,2020,45
69,2035,45
69,2045,45
70,2005,28
70,2010,28
70,2020,28
70,2035,24.7
70,2045,22.5
71,2005,32.893571
71,2010,32.893571
71,2020,32.893571
71,2035,32.893571
