Geo,Year,EcoProp,ImpProp
1,2005,0.03,0.002
1,2010,0.025,0
1,2020,0.255,0.24
1,2035,0.6,0.6
1,2045,0.6,0.6
2,2005,0.03,0.002
2,2010,0.025,0
2,2020,0.255,0.24
2,2035,0.6,0.6
2,2045,0.6,0.6
3,2005,0.03,0.002
3,2010,0.025,0
3,2020,0.255,0.24
3,2035,0.6,0.6
3,2045,0.6,0.6
4,2005,0.03,0
4,2010,0.025,0
4,2020,0.255,0.24
4,2035,0.6,0.6
4,2045,0.6,0.6
5,2005,0.03,0.002
5,2010,0.025,0
5,2020,0.255,0.24
5,2035,0.6,0.6
5,2045,0.6,0.6
6,2005,0.03,0.002
6,2010,0.025,0
6,2020,0.255,0.24
6,2035,0.6,0.6
6,2045,0.6,0.6
7,2005,0.03,0.002
7,2010,0.025,0
7,2020,0.255,0.24
7,2035,0.6,0.6
7,2045,0.6,0.6
8,2005,0.03,0.002
8,2010,0.025,0
8,2020,0.255,0.24
8,2035,0.6,0.6
8,2045,0.6,0.6
9,2005,0.03,0.002
9,2010,0.025,0
9,2020,0.255,0.24
9,2035,0.6,0.6
9,2045,0.6,0.6
10,2005,0.03,0.002
10,2010,0.025,0
10,2020,0.255,0.24
10,2035,0.6,0.6
10,2045,0.6,0.6
11,2005,0.03,0.002
11,2010,0.025,0
11,2020,0.255,0.24
11,2035,0.6,0.6
11,2045,0.6,0.6
12,2005,0.03,0.002
12,2010,0.025,0
12,2020,0.255,0.24
12,2035,0.6,0.6
12,2045,0.6,0.6
13,2005,0.03,0.002
13,2010,0.025,0
13,2020,0.255,0.24
13,2035,0.6,0.6
13,2045,0.6,0.6
14,2005,0.03,0.002
14,2010,0.025,0
14,2020,0.255,0.24
14,2035,0.6,0.6
14,2045,0.6,0.6
15,2005,0.03,0.002
15,2010,0.025,0
15,2020,0.255,0.24
15,2035,0.6,0.6
15,2045,0.6,0.6
16,2005,0.03,0.002
16,2010,0.025,0
16,2020,0.255,0.24
16,2035,0.6,0.6
16,2045,0.6,0.6
17,2005,0.03,0.002
17,2010,0.025,0
17,2020,0.255,0.24
17,2035,0.6,0.6
17,2045,0.6,0.6
18,2005,0.03,0.002
18,2010,0.025,0
18,2020,0.255,0.24
18,2035,0.6,0.6
18,2045,0.6,0.6
19,2005,0.03,0.002
19,2010,0.025,0
19,2020,0.255,0.24
19,2035,0.6,0.6
19,2045,0.6,0.6
20,2005,0.03,0.002
20,2010,0.025,0
20,2020,0.255,0.24
20,2035,0.6,0.6
20,2045,0.6,0.6
21,2005,0.03,0.002
21,2010,0.025,0
21,2020,0.255,0.24
21,2035,0.6,0.6
21,2045,0.6,0.6
22,2005,0.03,0.002
22,2010,0.025,0
22,2020,0.255,0.24
22,2035,0.6,0.6
22,2045,0.6,0.6
23,2005,0.03,0.002
23,2010,0.025,0
23,2020,0.255,0.24
23,2035,0.6,0.6
23,2045,0.6,0.6
24,2005,0.03,0.002
24,2010,0.025,0
24,2020,0.255,0.24
24,2035,0.6,0.6
24,2045,0.6,0.6
25,2005,0.03,0.002
25,2010,0.025,0
25,2020,0.255,0.24
25,2035,0.6,0.6
25,2045,0.6,0.6
26,2005,0.03,0.002
26,2010,0.025,0
26,2020,0.255,0.24
26,2035,0.6,0.6
26,2045,0.6,0.6
27,2005,0.03,0.002
27,2010,0.025,0
27,2020,0.255,0.24
27,2035,0.6,0.6
27,2045,0.6,0.6
28,2005,0.03,0.002
28,2010,0.025,0.125
28,2020,0.255,0.315
28,2035,0.6,0.6
28,2045,0.6,0.6
29,2005,0.03,0.002
29,2010,0.025,0
29,2020,0.255,0.24
29,2035,0.6,0.6
29,2045,0.6,0.6
30,2005,0.03,0.002
30,2010,0.025,0
30,2020,0.255,0.24
30,2035,0.6,0.6
30,2045,0.6,0.6
31,2005,0.03,0.002
31,2010,0.025,0.125
31,2020,0.255,0.315
31,2035,0.6,0.6
31,2045,0.6,0.6
32,2005,0.03,0.002
32,2010,0.025,0
32,2020,0.255,0.24
32,2035,0.6,0.6
32,2045,0.6,0.6
33,2005,0.03,0.002
33,2010,0.025,0
33,2020,0.255,0.24
33,2035,0.6,0.6
33,2045,0.6,0.6
34,2005,0.03,0.002
34,2010,0.025,0
34,2020,0.255,0.24
34,2035,0.6,0.6
34,2045,0.6,0.6
35,2005,0.03,0.002
35,2010,0.025,0
35,2020,0.255,0.24
35,2035,0.6,0.6
35,2045,0.6,0.6
36,2005,0.03,0.002
36,2010,0.025,0
36,2020,0.255,0.24
36,2035,0.6,0.6
36,2045,0.6,0.6
37,2005,0.03,0.002
37,2010,0.025,0
37,2020,0.255,0.24
37,2035,0.6,0.6
37,2045,0.6,0.6
38,2005,0.03,0.002
38,2010,0.025,0
38,2020,0.255,0.24
38,2035,0.6,0.6
38,2045,0.6,0.6
39,2005,0.03,0.002
39,2010,0.025,0
39,2020,0.255,0.24
39,2035,0.6,0.6
