"Geo","Year","UrbanArea","TownArea","RuralArea"
1,2005,213.16559393,0,0
1,2010,213.16559393,0,0
1,2020,213.16559393,0,0
1,2035,213.16559393,0,0
1,2045,213.16559393,0,0
2,2005,5134.00274499,0,0
2,2010,5134.00274499,0,0
2,2020,5134.00274499,0,0
2,2035,5134.00274499,0,0
2,2045,5134.00274499,0,0
3,2005,1188.31074492,0,0
3,2010,1188.31074492,0,0
3,2020,1188.31074492,0,0
3,2035,1188.31074492,0,0
3,2045,1188.31074492,0,0
4,2005,7043.64022358,0,0
4,2010,7043.64022358,0,0
4,2020,7043.64022358,0,0
4,2035,7043.64022358,0,0
4,2045,7043.64022358,0,0
5,2005,3562.66139084,0,0
5,2010,3562.66139084,0,0
5,2020,3562.66139084,0,0
5,2035,3562.66139084,0,0
5,2045,3562.66139084,0,0
6,2005,3336.08703112,0,0
6,2010,3336.08703112,0,0
6,2020,3336.08703112,0,0
6,2035,3336.08703112,0,0
6,2045,3336.08703112,0,0
7,2005,420.484013047,0,0
7,2010,420.484013047,0,0
7,2020,420.484013047,0,0
7,2035,420.484013047,0,0
7,2045,420.484013047,0,0
8,2005,396.491755911,0,0
8,2010,396.491755911,0,0
8,2020,396.491755911,0,0
8,2035,396.491755911,0,0
8,2045,396.491755911,0,0
9,2005,384.825056122,0,0
9,2010,384.825056122,0,0
9,2020,384.825056122,0,0
9,2035,384.825056122,0,0
9,2045,384.825056122,0,0
10,2005,426.7803302,0,0
10,2010,426.7803302,0,0
10,2020,426.7803302,0,0
10,2035,426.7803302,0,0
10,2045,426.7803302,0,0
11,2005,1153.40646094,0,0
11,2010,1153.40646094,0,0
11,2020,1153.40646094,0,0
11,2035,1153.40646094,0,0
11,2045,1153.40646094,0,0
12,2005,499.30581189,0,0
12,2010,499.30581189,0,0
12,2020,499.30581189,0,0
12,2035,499.30581189,0,0
12,2045,499.30581189,0,0
13,2005,343.72868628,0,0
13,2010,343.72868628,0,0
13,2020,343.72868628,0,0
13,2035,343.72868628,0,0
13,2045,343.72868628,0,0
14,2005,730.689580199,0,0
14,2010,730.689580199,0,0
14,2020,730.689580199,0,0
14,2035,730.689580199,0,0
14,2045,730.689580199,0,0
15,2005,439.428907378,0,0
15,2010,439.428907378,0,0
15,2020,439.428907378,0,0
15,2035,439.428907378,0,0
15,2045,439.428907378,0,0
16,2005,401.855329832,0,0
16,2010,401.855329832,0,0
16,2020,401.855329832,0,0
16,2035,401.855329832,0,0
16,2045,401.855329832,0,0
17,2005,500.172112154,0,0
17,2010,500.172112154,0,0
17,2020,500.172112154,0,0
17,2035,500.172112154,0,0
17,2045,500.172112154,0,0
18,2005,292.34297526,0,0
18,2010,292.34297526,0,0
18,2020,292.34297526,0,0
18,2035,292.34297526,0,0
18,2045,292.34297526,0,0
19,2005,126.268445191,0,0
19,2010,126.268445191,0,0
19,2020,126.268445191,0,0
19,2035,126.268445191,0,0
19,2045,126.268445191,0,0
20,2005,318.754711067,0,0
20,2010,318.754711067,0,0
20,2020,318.754711067,0,0
20,2035,318.754711067,0,0
20,2045,318.754711067,0,0
21,2005,423.317199315,0,0
21,2010,423.317199315,0,0
21,2020,423.317199315,0,0
21,2035,423.317199315,0,0
21,2045,423.317199315,0,0
22,2005,236.839814897,0,0
22,2010,236.839814897,0,0
22,2020,236.839814897,0,0
22,2035,236.839814897,0,0
22,2045,236.839814897,0,0
23,2005,570.119894171,0,0
23,2010,570.119894171,0,0
23,2020,570.119894171,0,0
23,2035,570.119894171,0,0
23,2045,570.119894171,0,0
24,2005,146.637150308,0,0
24,2010,146.637150308,0,0
24,2020,146.637150308,0,0
24,2035,146.637150308,0,0
24,2045,146.637150308,0,0
25,2005,31.1229753188,0,0
25,2010,31.1229753188,0,0
25,2020,31.1229753188,0,0
25,2035,31.1229753188,0,0
25,2045,31.1229753188,0,0
26,2005,5467.34626825,0,0
26,2010,5467.34626825,0,0
26,2020,5467.34626825,0,0
26,2035,5467.34626825,0,0
26,2045,5467.34626825,0,0
27,2005,1078.6430851,0,0
27,2010,1078.6430851,0,0
27,2020,1078.6430851,0,0
27,2035,1078.6430851,0,0
27,2045,1078.6430851,0,0
28,2005,993.230946489,0,0
28,2010,993.230946489,0,0
28,2020,993.230946489,0,0
28,2035,993.230946489,0,0
28,2045,993.230946489,0,0
29,2005,455.778543186,0,0
29,2010,455.778543186,0,0
29,2020,455.778543186,0,0
29,2035,455.778543186,0,0
29,2045,455.778543186,0,0
30,2005,2257.47676293,0,0
30,2010,2257.47676293,0,0
30,2020,2257.47676293,0,0
30,2035,2257.47676293,0,0
30,2045,2257.47676293,0,0
31,2005,379.201730831,0,0
31,2010,379.201730831,0,0
31,2020,379.201730831,0,0
31,2035,379.201730831,0,0
31,2045,379.201730831,0,0
32,2005,721.370974153,0,0
32,2010,721.370974153,0,0
32,2020,721.370974153,0,0
32,2035,721.370974153,0,0
32,2045,721.370974153,0,0
33,2005,1639.55916473,0,0
33,2010,1639.55916473,0,0
33,2020,1639.55916473,0,0
33,2035,1639.55916473,0,0
33,2045,1639.55916473,0,0
34,2005,8845.15215639,0,0
34,2010,8845.15215639,0,0
34,2020,8845.15215639,0,0
34,2035,8845.15215639,0,0
34,2045,8845.15215639,0,0
35,2005,1059.3941594,0,0
35,2010,1059.3941594,0,0
35,2020,1059.3941594,0,0
35,2035,1059.3941594,0,0
35,2045,1059.3941594,0,0
36,2005,481.097800165,0,0
36,2010,481.097800165,0,0
36,2020,481.097800165,0,0
36,2035,481.097800165,0,0
36,2045,481.097800165,0,0
37,2005,644.913326359,0,0
37,2010,644.913326359,0,0
37,2020,644.913326359,0,0
37,2035,644.913326359,0,0
37,2045,644.913326359,0,0
38,2005,473.729918137,0,0
38,2010,473.729918137,0,0
38,2020,473.729918137,0,0
38,2035,473.729918137,0,0
38,2045,473.729918137,0,0
39,2005,393.359959743,0,0
39,2010,393.359959743,0,0
39,2020,393.359959743,0,0
39,2035,393.359959743,0,0
39,2045,393.359959743,0,0
40,2005,944.980897663,0,0
40,2010,944.980897663,0,0
40,2020,944.980897663,0,0
40,2035,944.980897663,0,0
40,2045,944.980897663,0,0
41,2005,736.174474415,0,0
41,2010,736.174474415,0,0
41,2020,736.174474415,0,0
41,2035,736.174474415,0,0
41,2045,736.174474415,0,0
42,2005,689.775058417,0,0
42,2010,689.775058417,0,0
42,2020,689.775058417,0,0
42,2035,689.775058417,0,0
42,2045,689.775058417,0,0
43,2005,626.651056806,0,0
43,2010,626.651056806,0,0
43,2020,626.651056806,0,0
43,2035,626.651056806,0,0
43,2045,626.651056806,0,0
44,2005,864.499265902,0,0
44,2010,864.499265902,0,0
44,2020,864.499265902,0,0
44,2035,864.499265902,0,0
44,2045,864.499265902,0,0
45,2005,831.81591259,0,0
45,2010,831.81591259,0,0
45,2020,831.81591259,0,0
45,2035,831.81591259,0,0
45,2045,831.81591259,0,0
46,2005,1107.47368445,0,0
46,2010,1107.47368445,0,0
46,2020,1107.47368445,0,0
46,2035,1107.47368445,0,0
46,2045,1107.47368445,0,0
47,2005,525.042497831,0,0
47,2010,525.042497831,0,0
47,2020,525.042497831,0,0
47,2035,525.042497831,0,0
47,2045,525.042497831,0,0
48,2005,1476.32176671,0,0
48,2010,1476.32176671,0,0
48,2020,1476.32176671,0,0
48,2035,1476.32176671,0,0
48,2045,1476.32176671,0,0
49,2005,1746.10803084,0,0
49,2010,1746.10803084,0,0
49,2020,1746.10803084,0,0
49,2035,1746.10803084,0,0
49,2045,1746.10803084,0,0
50,2005,1437.65605752,0,0
50,2010,1437.65605752,0,0
50,2020,1437.65605752,0,0
50,2035,1437.65605752,0,0
50,2045,1437.65605752,0,0
51,2005,2291.44950407,0,0
51,2010,2291.44950407,0,0
51,2020,2291.44950407,0,0
51,2035,2291.44950407,0,0
51,2045,2291.44950407,0,0
52,2005,1192.0105844,0,0
52,2010,1192.0105844,0,0
52,2020,1192.0105844,0,0
52,2035,1192.0105844,0,0
52,2045,1192.0105844,0,0
53,2005,1324.71131777,0,0
53,2010,1324.71131777,0,0
53,2020,1324.71131777,0,0
53,2035,1324.71131777,0,0
53,2045,1324.71131777,0,0
54,2005,7887.7934071,0,0
54,2010,7887.7934071,0,0
54,2020,7887.7934071,0,0
54,2035,7887.7934071,0,0
54,2045,7887.7934071,0,0
55,2005,1642.31460608,0,0
55,2010,1642.31460608,0,0
55,2020,1642.31460608,0,0
55,2035,1642.31460608,0,0
55,2045,1642.31460608,0,0
56,2005,1032.18139543,0,0
56,2010,1032.18139543,0,0
56,2020,1032.18139543,0,0
56,2035,1032.18139543,0,0
56,2045,1032.18139543,0,0
57,2005,484.909318563,0,0
57,2010,484.909318563,0,0
57,2020,484.909318563,0,0
57,2035,484.909318563,0,0
57,2045,484.909318563,0,0
58,2005,1310.81592797,0,0
58,2010,1310.81592797,0,0
58,2020,1310.81592797,0,0
58,2035,1310.81592797,0,0
58,2045,1310.81592797,0,0
59,2005,366.748896789,0,0
59,2010,366.748896789,0,0
59,2020,366.748896789,0,0
59,2035,366.748896789,0,0
59,2045,366.748896789,0,0
60,2005,1877.74208483,0,0
60,2010,1877.74208483,0,0
60,2020,1877.74208483,0,0
60,2035,1877.74208483,0,0
60,2045,1877.74208483,0,0
61,2005,743.760291125,0,0
61,2010,743.760291125,0,0
61,2020,743.760291125,0,0
61,2035,743.760291125,0,0
61,2045,743.760291125,0,0
62,2005,338.486429371,0,0
62,2010,338.486429371,0,0
62,2020,338.486429371,0,0
62,2035,338.486429371,0,0
62,2045,338.486429371,0,0
63,2005,1817.43637508,0,0
63,2010,1817.43637508,0,0
63,2020,1817.43637508,0,0
63,2035,1817.43637508,0,0
63,2045,1817.43637508,0,0
64,2005,825.313697592,0,0
64,2010,825.313697592,0,0
64,2020,825.313697592,0,0
64,2035,825.313697592,0,0
64,2045,825.313697592,0,0
65,2005,959.130200244,0,0
65,2010,959.130200244,0,0
65,2020,959.130200244,0,0
65,2035,959.130200244,0,0
65,2045,959.130200244,0,0
66,2005,589.98901451,0,0
66,2010,589.98901451,0,0
66,2020,589.98901451,0,0
66,2035,589.98901451,0,0
66,2045,589.98901451,0,0
67,2005,378.776424876,0,0
67,2010,378.776424876,0,0
67,2020,378.776424876,0,0
67,2035,378.776424876,0,0
67,2045,378.776424876,0,0
68,2005,400.826030209,0,0
68,2010,400.826030209,0,0
68,2020,400.826030209,0,0
68,2035,400.826030209,0,0
68,2045,400.826030209,0,0
69,2005,4579.70911856,0,0
69,2010,4579.70911856,0,0
69,2020,4579.70911856,0,0
69,2035,4579.70911856,0,0
69,2045,4579.70911856,0,0
70,2005,614.102258001,0,0
70,2010,614.102258001,0,0
70,2020,614.102258001,0,0
70,2035,614.102258001,0,0
70,2045,614.102258001,0,0
71,2005,8438.28054584,0,0
71,2010,8438.28054584,0,0
71,2020,8438.28054584,0,0
71,2035,8438.28054584,0,0
71,2045,8438.28054584,0,0
72,2005,740.583096635,0,0
72,2010,740.583096635,0,0
72,2020,740.583096635,0,0
72,2035,740.583096635,0,0
72,2045,740.583096635,0,0
