"Geo","Year","MixUseProp"
1,2005,NA
2,2005,NA
3,2005,NA
4,2005,NA
5,2005,NA
6,2005,NA
7,2005,NA
8,2005,NA
9,2005,NA
10,2005,NA
11,2005,NA
12,2005,NA
13,2005,NA
14,2005,NA
15,2005,NA
16,2005,NA
17,2005,NA
18,2005,NA
19,2005,NA
20,2005,NA
21,2005,NA
22,2005,NA
23,2005,NA
24,2005,NA
25,2005,NA
26,2005,NA
27,2005,NA
28,2005,NA
29,2005,NA
30,2005,NA
31,2005,NA
32,2005,NA
33,2005,NA
34,2005,NA
35,2005,NA
36,2005,NA
37,2005,NA
38,2005,NA
39,2005,NA
40,2005,NA
41,2005,NA
42,2005,NA
43,2005,NA
44,2005,NA
45,2005,NA
46,2005,NA
47,2005,NA
48,2005,NA
49,2005,NA
50,2005,NA
51,2005,NA
52,2005,NA
53,2005,NA
54,2005,NA
55,2005,NA
56,2005,NA
57,2005,NA
58,2005,NA
59,2005,NA
60,2005,NA
61,2005,NA
62,2005,NA
63,2005,NA
64,2005,NA
65,2005,NA
66,2005,NA
67,2005,NA
68,2005,NA
69,2005,NA
70,2005,NA
71,2005,NA
72,2005,NA
1,2010,NA
2,2010,NA
3,2010,NA
4,2010,NA
5,2010,NA
6,2010,NA
7,2010,NA
8,2010,NA
9,2010,NA
10,2010,NA
11,2010,NA
12,2010,NA
13,2010,NA
14,2010,NA
15,2010,NA
16,2010,NA
17,2010,NA
18,2010,NA
19,2010,NA
20,2010,NA
21,2010,NA
22,2010,NA
23,2010,NA
24,2010,NA
25,2010,NA
26,2010,NA
27,2010,NA
28,2010,NA
29,2010,NA
30,2010,NA
31,2010,NA
32,2010,NA
33,2010,NA
34,2010,NA
35,2010,NA
36,2010,NA
37,2010,NA
38,2010,NA
39,2010,NA
40,2010,NA
41,2010,NA
42,2010,NA
43,2010,NA
44,2010,NA
45,2010,NA
46,2010,NA
47,2010,NA
48,2010,NA
49,2010,NA
50,2010,NA
51,2010,NA
52,2010,NA
53,2010,NA
54,2010,NA
55,2010,NA
56,2010,NA
57,2010,NA
58,2010,NA
59,2010,NA
60,2010,NA
61,2010,NA
62,2010,NA
63,2010,NA
64,2010,NA
65,2010,NA
66,2010,NA
67,2010,NA
68,2010,NA
69,2010,NA
70,2010,NA
71,2010,NA
72,2010,NA
1,2020,NA
2,2020,NA
3,2020,NA
4,2020,NA
5,2020,NA
6,2020,NA
7,2020,NA
8,2020,NA
9,2020,NA
10,2020,NA
11,2020,NA
12,2020,NA
13,2020,NA
14,2020,NA
15,2020,NA
16,2020,NA
17,2020,NA
18,2020,NA
19,2020,NA
20,2020,NA
21,2020,NA
22,2020,NA
23,2020,NA
24,2020,NA
25,2020,NA
26,2020,NA
