"Geo","Year","FuelCost.2005","PowerCost.2005"
"Coburg",2005,1.914,0.073
"Coburg",2010,2.24905,0.08
"Coburg",2020,1.836255,0.132291029
"Coburg",2035,2.48644,0.143315281
"Coburg",2045,2.648293,0.143315281
"Eugene",2005,1.914,0.073
"Eugene",2010,2.24905,0.08
"Eugene",2020,1.836255,0.132291029
"Eugene",2035,2.48644,0.143315281
"Eugene",2045,2.648293,0.143315281
"Springfield",2005,1.914,0.073
"Springfield",2010,2.24905,0.08
"Springfield",2020,1.836255,0.132291029
"Springfield",2035,2.48644,0.143315281
"Springfield",2045,2.648293,0.143315281
