"Geo","Year","Age0to14","Age15to19","Age20to29","Age30to54","Age55to64","Age65Plus"
"Coburg",2005,439,146,146,878,146,293
"Coburg",2010,400,164,199,741,414,298
"Coburg",2020,465,139,238,604,345,554
"Coburg",2035,366,153,479,840,311,648
"Coburg",2045,422,167,476,961,355,693
"Eugene",2005,27844,13278,31114,57869,12485,19719
"Eugene",2010,26965,14808,34953,54005,22877,22987
"Eugene",2020,27047,14185,39566,56378,21834,33023
"Eugene",2035,29544,12380,38682,67807,25140,52347
"Eugene",2045,32852,13005,37081,74871,27694,53990
"Springfield",2005,14121,4375,9745,23170,5270,7558
"Springfield",2010,13814,4531,10620,23927,8639,9172
"Springfield",2020,13449,4490,11484,23692,9949,12498
"Springfield",2035,11373,4766,14891,26103,9678,20151
"Springfield",2045,12156,4812,13720,27703,10247,19977
