"Geo","Year","RelEmp15to19","RelEmp20to29","RelEmp30to54","RelEmp55to64","RelEmp65Plus"
"Eugene",2005,1.0784,1.0784,1.0784,1.0784,1.0784
"Eugene",2010,1,1,1,1,1
"Eugene",2020,1.0784,1.0784,1.0784,1.0784,1.0784
"Eugene",2035,1.0784,1.0784,1.0784,1.0784,1.0784
"Eugene",2045,1.0784,1.0784,1.0784,1.0784,1.0784
"Springfield",2005,1.0784,1.0784,1.0784,1.0784,1.0784
"Springfield",2010,1,1,1,1,1
"Springfield",2020,1.0784,1.0784,1.0784,1.0784,1.0784
"Springfield",2035,1.0784,1.0784,1.0784,1.0784,1.0784
"Springfield",2045,1.0784,1.0784,1.0784,1.0784,1.0784
"Coburg",2005,1.0784,1.0784,1.0784,1.0784,1.0784
"Coburg",2010,1,1,1,1,1
"Coburg",2020,1.0784,1.0784,1.0784,1.0784,1.0784
"Coburg",2035,1.0784,1.0784,1.0784,1.0784,1.0784
"Coburg",2045,1.0784,1.0784,1.0784,1.0784,1.0784
