"Geo","Year","FuelTax.2005","VmtTax.2005","PevSurchgTaxProp"
"Coburg",2005,0.424,0,0
"Coburg",2010,0.38529176,0,0
"Coburg",2020,0.458545581,0,0
"Coburg",2035,0.368585767,0,0
"Coburg",2045,0.31085264,0,0
"Eugene",2005,0.424,0,0
"Eugene",2010,0.38529176,0,0
"Eugene",2020,0.412545581,0,0
"Eugene",2035,0.322585767,0,0
"Eugene",2045,0.26485264,0,0
"Springfield",2005,0.424,0,0
"Springfield",2010,0.38529176,0,0
"Springfield",2020,0.412545581,0,0
"Springfield",2035,0.322585767,0,0
"Springfield",2045,0.26485264,0,0
