"Geo","Year","OwnedVehAccessTime","HighCarSvcAccessTime","LowCarSvcAccessTime","ShdCarSvcAccessTime","UnShdCarSvcAccessTime"
"Coburg",2005,2,10,20,20,10
"Coburg",2010,2,10,20,20,10
"Coburg",2020,2,10,20,20,10
"Coburg",2035,2,10,20,20,10
"Coburg",2045,2,10,20,20,10
"Eugene",2005,2,10,20,20,10
"Eugene",2010,2,10,20,20,10
"Eugene",2020,2,10,20,20,10
"Eugene",2035,2,10,20,20,10
"Eugene",2045,2,10,20,20,10
"Springfield",2005,2,10,20,20,10
"Springfield",2010,2,10,20,20,10
"Springfield",2020,2,10,20,20,10
"Springfield",2035,2,10,20,20,10
"Springfield",2045,2,10,20,20,10
