Geo,Year,PropRuralMixed,PropRuralOnSite,PropRuralRemote,PropTownMixed,PropTownOnSite,PropTownRemote,PropMetroMixed,PropMetroOnSite,PropMetroRemote
Coburg,2005,0.211592817,0.564804306,0.223602877,0.211592817,0.564804306,0.223602877,0.211592817,0.564804306,0.223602877
Coburg,2010,0.213570062,0.563548776,0.223265607,0.213570062,0.563548776,0.223265607,0.213570062,0.563548776,0.223265607
Coburg,2020,0.215384615,0.561858974,0.22275641,0.215384615,0.561858974,0.22275641,0.215384615,0.561858974,0.22275641
Coburg,2035,0.215706948,0.552760134,0.231532918,0.215706948,0.552760134,0.231532918,0.215706948,0.552760134,0.231532918
Coburg,2045,0.216029281,0.543661294,0.240309425,0.216029281,0.543661294,0.240309425,0.216029281,0.543661294,0.240309425
Eugene,2005,0.211592817,0.564804306,0.223602877,0.211592817,0.564804306,0.223602877,0.211592817,0.564804306,0.223602877
Eugene,2010,0.213570062,0.563548776,0.223265607,0.213570062,0.563548776,0.223265607,0.213570062,0.563548776,0.223265607
Eugene,2020,0.215384615,0.561858974,0.22275641,0.215384615,0.561858974,0.22275641,0.215384615,0.561858974,0.22275641
Eugene,2035,0.215706948,0.552760134,0.231532918,0.215706948,0.552760134,0.231532918,0.215706948,0.552760134,0.231532918
Eugene,2045,0.216029281,0.543661294,0.240309425,0.216029281,0.543661294,0.240309425,0.216029281,0.543661294,0.240309425
Springfield,2005,0.211592817,0.564804306,0.223602877,0.211592817,0.564804306,0.223602877,0.211592817,0.564804306,0.223602877
Springfield,2010,0.213570062,0.563548776,0.223265607,0.213570062,0.563548776,0.223265607,0.213570062,0.563548776,0.223265607
Springfield,2020,0.215384615,0.561858974,0.22275641,0.215384615,0.561858974,0.22275641,0.215384615,0.561858974,0.22275641
Springfield,2035,0.215706948,0.552760134,0.231532918,0.215706948,0.552760134,0.231532918,0.215706948,0.552760134,0.231532918
Springfield,2045,0.216029281,0.543661294,0.240309425,0.216029281,0.543661294,0.240309425,0.216029281,0.543661294,0.240309425
