Geo,Year,SFDU,MFDU,GQDU
1,2005,11,0,0
1,2010,12,0,0
1,2020,13,0,0
1,2035,13,0,0
1,2045,13,0,0
2,2005,247,18,0
2,2010,275,20,0
2,2020,291,21,0
2,2035,347,21,0
2,2045,384,21,0
3,2005,1593,502,0
3,2010,1773,559,0
3,2020,1876,591,0
3,2035,2028,596,0
3,2045,2130,600,0
4,2005,577,88,0
4,2010,643,98,0
4,2020,680,104,0
4,2035,693,103,0
4,2045,701,103,0
5,2005,1426,319,0
5,2010,1587,355,0
5,2020,1679,376,0
5,2035,1837,384,0
5,2045,1943,389,0
6,2005,801,100,0
6,2010,891,112,0
6,2020,943,118,0
6,2035,1151,155,0
6,2045,1290,180,0
7,2005,729,159,0
7,2010,812,177,0
7,2020,859,187,0
7,2035,908,191,0
7,2045,941,193,0
8,2005,886,437,0
8,2010,986,487,0
8,2020,1043,515,0
8,2035,1048,533,0
8,2045,1052,545,0
9,2005,895,176,0
9,2010,996,196,0
9,2020,1054,207,0
9,2035,1068,212,0
9,2045,1078,215,0
10,2005,803,135,0
10,2010,894,150,0
10,2020,946,159,0
10,2035,1002,160,0
10,2045,1039,161,0
11,2005,1401,239,165
11,2010,1560,266,106
11,2020,1650,281,87
11,2035,1877,276,146
11,2045,2028,273,192
12,2005,993,169,0
12,2010,1106,188,0
12,2020,1170,199,0
12,2035,1195,199,0
12,2045,1211,199,0
13,2005,492,952,0
13,2010,547,1060,0
13,2020,579,1121,0
13,2035,580,1141,0
13,2045,580,1154,0
14,2005,1143,369,0
14,2010,1272,411,0
14,2020,1346,435,0
14,2035,1420,509,0
14,2045,1469,558,0
15,2005,704,1150,0
15,2010,784,1281,0
15,2020,829,1355,0
15,2035,822,1565,0
15,2045,817,1705,0
16,2005,864,567,0
16,2010,962,631,0
16,2020,1018,668,0
16,2035,1015,715,0
16,2045,1013,746,0
17,2005,197,470,5375
17,2010,219,523,5371
17,2020,232,553,5364
17,2035,231,752,6645
17,2045,230,884,8752
18,2005,413,677,0
18,2010,459,753,0
18,2020,486,797,0
18,2035,493,868,0
18,2045,498,915,0
19,2005,68,1334,0
19,2010,76,1485,0
19,2020,80,1571,0
19,2035,69,1900,0
19,2045,61,2120,0
20,2005,92,1471,0
20,2010,102,1638,0
20,2020,108,1733,0
20,2035,102,2859,0
20,2045,98,3610,0
21,2005,580,559,0
21,2010,646,622,0
21,2020,683,658,0
21,2035,696,738,0
21,2045,704,792,0
22,2005,599,852,0
22,2010,666,948,0
22,2020,705,1003,0
22,2035,702,1059,0
22,2045,700,1096,0
23,2005,890,1184,0
23,2010,991,1318,0
23,2020,1048,1394,0
23,2035,1047,1507,0
23,2045,1046,1583,0
