Geo,Year,PkgSpacesPerSFDU,PkgSpacesPerMFDU,PkgSpacesPerGQ,PropNonWrkTripPay,PropWkrPay,PropCashOut,PkgCost.2010
1,2005,4,2,0.5,0,0,0,0
2,2005,4,2,0.5,0,0,0,0
3,2005,4,2,0.5,0,0,0,0
4,2005,4,2,0.5,0,0,0,0
5,2005,4,2,0.5,0,0,0,0
6,2005,4,2,0.5,0,0,0,0
7,2005,4,2,0.5,0,0,0,0
8,2005,4,2,0.5,0,0,0,0
9,2005,4,2,0.5,0,0,0,0
10,2005,4,2,0.5,0,0,0,0
11,2005,4,2,0.5,0,0,0,0
12,2005,4,2,0.5,0,0,0,0
13,2005,4,2,0.5,0,0,0,0
14,2005,4,2,0.5,0,0,0,2.25
15,2005,4,2,0.5,0,0,0,2.25
16,2005,4,2,0.5,0,0,0,0
17,2005,4,2,0.5,0.035,0.08,0,3
18,2005,4,2,0.5,0,0,0,2.25
19,2005,4,2,0.5,0.035,0.08,0,3
20,2005,4,2,0.5,0.035,0.08,0,3
21,2005,4,2,0.5,0,0,0,0
22,2005,4,2,0.5,0,0,0,0
23,2005,4,2,0.5,0,0,0,0
24,2005,4,2,0.5,0.035,0.08,0,3
25,2005,4,2,0.5,0,0,0,0
26,2005,4,2,0.5,0,0,0,0
27,2005,4,2,0.5,0,0,0,0
28,2005,4,2,0.5,0,0,0,0
29,2005,4,2,0.5,0,0,0,0
30,2005,4,2,0.5,0,0,0,0
31,2005,4,2,0.5,0,0,0,0
32,2005,4,2,0.5,0,0,0,0
33,2005,4,2,0.5,0,0,0,0
34,2005,4,2,0.5,0,0,0,0
35,2005,4,2,0.5,0,0,0,0
36,2005,4,2,0.5,0,0,0,0
37,2005,4,2,0.5,0,0,0,0
38,2005,4,2,0.5,0,0,0,0
39,2005,4,2,0.5,0,0,0,0
40,2005,4,2,0.5,0,0,0,0
41,2005,4,2,0.5,0,0,0,0
42,2005,4,2,0.5,0,0,0,0
43,2005,4,2,0.5,0,0,0,0
44,2005,4,2,0.5,0,0,0,0
45,2005,4,2,0.5,0,0,0,0
46,2005,4,2,0.5,0,0,0,0
47,2005,4,2,0.5,0,0,0,0
48,2005,4,2,0.5,0,0,0,0
49,2005,4,2,0.5,0,0,0,0
50,2005,4,2,0.5,0,0,0,0
51,2005,4,2,0.5,0,0,0,0
52,2005,4,2,0.5,0,0,0,0
53,2005,4,2,0.5,0,0,0,0
54,2005,4,2,0.5,0,0,0,0
55,2005,4,2,0.5,0,0,0,0
56,2005,4,2,0.5,0,0,0,0
57,2005,4,2,0.5,0,0,0,0
58,2005,4,2,0.5,0,0,0,0
59,2005,4,2,0.5,0,0,0,0
60,2005,4,2,0.5,0,0,0,0
61,2005,4,2,0.5,0,0,0,0
62,2005,4,2,0.5,0,0,0,0
63,2005,4,2,0.5,0,0,0,0
64,2005,4,2,0.5,0,0,0,0
65,2005,4,2,0.5,0,0,0,0
66,2005,4,2,0.5,0,0,0,0
67,2005,4,2,0.5,0,0,0,0
68,2005,4,2,0.5,0,0,0,0
69,2005,4,2,0.5,0,0,0,0
70,2005,4,2,0.5,0,0,0,0
71,2005,4,2,0.5,0,0,0,0
72,2005,4,2,0.5,0,0,0,0
1,2010,4,2,0.5,0,0,0,0
2,2010,4,2,0.5,0,0,0,0
3,2010,4,2,0.5,0,0,0,0
4,2010,4,2,0.5,0,0,0,0
5,2010,4,2,0.5,0,0,0,0
6,2010,4,2,0.5,0,0,0,0
7,2010,4,2,0.5,0,0,0,0
8,2010,4,2,0.5,0,0,0,0
9,2010,4,2,0.5,0,0,0,0
10,2010,4,2,0.5,0,0,0,0
11,2010,4,2,0.5,0,0,0,0
12,2010,4,2,0.5,0,0,0,0
13,2010,4,2,0.5,0,0,0,0
14,2010,4,2,0.5,0.025,0,0,2.6
15,2010,4,2,0.5,0.025,0,0,2.6
16,2010,4,2,0.5,0,0,0,0
17,2010,4,2,0.5,0.05,0.08,0,3.25
18,2010,4,2,0.5,0.025,0,0,2.6
19,2010,4,2,0.5,0.05,0.08,0,3.25
20,2010,4,2,0.5,0.05,0.08,0,3.25
21,2010,4,2,0.5,0,0,0,0
22,2010,4,2,0.5,0,0,0,0
23,2010,4,2,0.5,0,0,0,0
24,2010,4,2,0.5,0.05,0.08,0,3.25
25,2010,4,2,0.5,0,0,0,0
26,2010,4,2,0.5,0,0,0,0
27,2010,4,2,0.5,0,0,0,0
28,2010,4,2,0.5,0,0,0,0
29,2010,4,2,0.5,0,0,0,0
30,2010,4,2,0.5,0,0,0,0
31,2010,4,2,0.5,0,0,0,0
32,2010,4,2,0.5,0,0,0,0
33,2010,4,2,0.5,0,0,0,0
34,2010,4,2,0.5,0,0,0,0
35,2010,4,2,0.5,0,0,0,0
36,2010,4,2,0.5,0,0,0,0
37,2010,4,2,0.5,0,0,0,0
38,2010,4,2,0.5,0,0,0,0
39,2010,4,2,0.5,0,0,0,0
40,2010,4,2,0.5,0,0,0,0
41,2010,4,2,0.5,0,0,0,0
42,2010,4,2,0.5,0,0,0,0
43,2010,4,2,0.5,0,0,0,0
44,2010,4,2,0.5,0,0,0,0
45,2010,4,2,0.5,0,0,0,0
