ModelYear,AutoPropIcev,AutoPropHev,AutoPropPhev,AutoPropBev,LtTrkPropIcev,LtTrkPropHev,LtTrkPropPhev,LtTrkPropBev
1975,1,0,0,0,1,0,0,0
1976,1,0,0,0,1,0,0,0
1977,1,0,0,0,1,0,0,0
1978,1,0,0,0,1,0,0,0
1979,1,0,0,0,1,0,0,0
1980,1,0,0,0,1,0,0,0
1981,1,0,0,0,1,0,0,0
1982,1,0,0,0,1,0,0,0
1983,1,0,0,0,1,0,0,0
1984,1,0,0,0,1,0,0,0
1985,1,0,0,0,1,0,0,0
1986,1,0,0,0,1,0,0,0
1987,1,0,0,0,1,0,0,0
1988,1,0,0,0,1,0,0,0
1989,1,0,0,0,1,0,0,0
1990,1,0,0,0,1,0,0,0
1991,1,0,0,0,1,0,0,0
1992,1,0,0,0,1,0,0,0
1993,1,0,0,0,1,0,0,0
1994,1,0,0,0,1,0,0,0
1995,1,0,0,0,1,0,0,0
1996,1,0,0,0,1,0,0,0
1997,1,0,0,0,1,0,0,0
1998,1,0,0,0,1,0,0,0
1999,1,0,0,0,1,0,0,0
2000,1,0,0,0,1,0,0,0
2001,0.991612788,0.008387212,0,0,1,0,0,0
2002,0.989735317,0.010264683,0,0,1,0,0,0
2003,0.986706637,0.013293363,0,0,1,0,0,0
2004,0.974863388,0.025136612,0,0,1,0,0,0
2005,0.95037894,0.04962106,0,0,1,0,0,0
2006,0.96351328,0.03648672,0,0,0.978828875,0.021171125,0,0
2007,0.914696814,0.085303186,0,0,0.983826975,0.016173025,0,0
2008,0.925144684,0.074855316,0,0,0.975259304,0.024740696,0,0
2009,0.94307072,0.05692928,0,0,0.979199505,0.020800495,0,0
2010,0.878613293,0.121270484,0,0.000116223,0.982021904,0.017978096,0,0
2011,0.922389619,0.068849604,0.000574763,0.008186014,0.992599086,0.007400914,0,0
2012,0.888763128,0.09637809,0.008080861,0.006777921,0.993146925,0.006853075,0,0
2013,0.884993772,0.086188697,0.011907024,0.016910507,0.979457386,0.020542614,0,0
2014,0.897347887,0.080078259,0.010789227,0.011784627,0.994422342,0.005577658,0,0
2015,0.904672053,0.068891454,0.006513775,0.019922718,0.992464213,0.007435606,0.00010018,0
2016,0.922609852,0.047856861,0.01065881,0.018874478,0.980601526,0.014881814,0.002026706,0.002489953
2017,0.906494025,0.056805642,0.017152046,0.019548287,0.96969792,0.025255217,0.001828574,0.00321829
2018,0.91480841,0.041360569,0.021323902,0.022507119,0.957741068,0.035493234,0.003414863,0.003350835
2019,0.852930325,0.070929941,0.015437519,0.060702215,0.970937736,0.023651329,0.002017151,0.003393784
2020,0.745143066,0.077829941,0.044256748,0.132770245,0.947989578,0.029551329,0.013475456,0.008983637
2021,0.699614508,0.084729941,0.053913888,0.161741663,0.929142048,0.035451329,0.021243974,0.014162649
2022,0.656740749,0.091629941,0.062907328,0.188721983,0.907946737,0.041351329,0.03042116,0.020280773
2023,0.616257198,0.098529941,0.071303215,0.213909646,0.884637635,0.047251329,0.040866621,0.027244414
2024,0.577933296,0.105429941,0.079159191,0.237477572,0.85941864,0.053151329,0.052458019,0.034972012
2025,0.541567212,0.112329941,0.086525712,0.259577135,0.832468239,0.059051329,0.054240216,0.054240216
2026,0.545123195,0.119229941,0.083911716,0.251735148,0.817321448,0.064951329,0.058863611,0.058863611
2027,0.54806594,0.126129941,0.08145103,0.244353089,0.802716976,0.070851329,0.063215847,0.063215847
2028,0.55044786,0.133029941,0.07913055,0.237391649,0.788608472,0.076751329,0.067320099,0.067320099
2029,0.55231556,0.139929941,0.076938625,0.230815874,0.774954721,0.082651329,0.071196975,0.071196975
2030,0.551959187,0.146829941,0.075302718,0.225908154,0.760843235,0.088551329,0.060242174,0.090363262
2031,0.562853193,0.153729941,0.070854217,0.21256265,0.741166888,0.094451329,0.065752713,0.09862907
2032,0.571306446,0.160629941,0.067015903,0.20104771,0.722726686,0.100351329,0.070768794,0.106153191
2033,0.578036,0.167529941,0.063608515,0.190825544,0.705467467,0.106251329,0.075312481,0.112968722
2034,0.583158269,0.174429941,0.060602947,0.181808842,0.689071003,0.112151329,0.079511067,0.119266601
2035,0.586891871,0.181329941,0.057944547,0.173833641,0.673348302,0.118051329,0.052150092,0.156450277
2036,0.580107531,0.188229941,0.057915632,0.173746896,0.667552395,0.123951329,0.052124069,0.156372207
2037,0.573279785,0.195129941,0.057897569,0.173692706,0.661717424,0.129851329,0.052107812,0.156323435
2038,0.566459182,0.202029941,0.057877719,0.173633158,0.655888882,0.135751329,0.052089947,0.156269842
