ModelYear,AutoPropIcev,AutoPropHev,AutoPropPhev,AutoPropBev,LtTrkPropIcev,LtTrkPropHev,LtTrkPropPhev,LtTrkPropBev
1975,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1976,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1977,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1978,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1979,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1980,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1981,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1982,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1983,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1984,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1985,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1986,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1987,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1988,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1989,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1990,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1991,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1992,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1993,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1994,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1995,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1996,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1997,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1998,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1999,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2000,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2001,0.991612788,0.008387212,0.0,0.0,1.0,0.0,0.0,0.0
2002,0.989735317,0.010264683,0.0,0.0,1.0,0.0,0.0,0.0
2003,0.986706637,0.013293363,0.0,0.0,1.0,0.0,0.0,0.0
2004,0.974863388,0.025136612,0.0,0.0,1.0,0.0,0.0,0.0
2005,0.95037894,0.04962106,0.0,0.0,1.0,0.0,0.0,0.0
2006,0.96351328,0.03648672,0.0,0.0,0.978828875,0.021171125,0.0,0.0
2007,0.914696814,0.085303186,0.0,0.0,0.983826975,0.016173025,0.0,0.0
2008,0.925144684,0.074855316,0.0,0.0,0.975259304,0.024740696,0.0,0.0
2009,0.94307072,0.05692928,0.0,0.0,0.979199505,0.020800495,0.0,0.0
2010,0.878613293,0.121270484,0.0,0.000116223,0.982021904,0.017978096,0.0,0.0
2011,0.922389619,0.068849604,0.000574763,0.008186014,0.992599086,0.007400914,0.0,0.0
2012,0.888763128,0.09637809,0.008080861,0.006777921,0.993146925,0.006853075,0.0,0.0
2013,0.884993772,0.086188697,0.011907024,0.016910507,0.979457386,0.020542614,0.0,0.0
2014,0.897347887,0.080078259,0.010789227,0.011784627,0.994422342,0.005577658,0.0,0.0
2015,0.904672053,0.068891454,0.006513775,0.019922718,0.992464213,0.007435606,0.00010018,0.0
2016,0.922609852,0.047856861,0.01065881,0.018874478,0.980601526,0.014881814,0.002026706,0.002489953
2017,0.906494025,0.056805642,0.017152046,0.019548287,0.96969792,0.025255217,0.001828574,0.00321829
2018,0.91480841,0.041360569,0.021323902,0.022507119,0.957741068,0.035493234,0.003414863,0.003350835
2019,0.852930325,0.070929941,0.015437519,0.060702215,0.970937736,0.023651329,0.002017151,0.003393784
2020,0.745143066,0.077829941,0.044256748,0.132770245,0.947989578,0.029551329,0.013475456,0.008983637
2021,0.699614508,0.084729941,0.053913888,0.161741663,0.929142048,0.035451329,0.021243974,0.014162649
2022,0.656740749,0.091629941,0.062907328,0.188721983,0.907946737,0.041351329,0.03042116,0.020280773
2023,0.616257198,0.098529941,0.071303215,0.213909646,0.884637635,0.047251329,0.040866621,0.027244414
2024,0.577933296,0.105429941,0.079159191,0.237477572,0.85941864,0.053151329,0.052458019,0.034972012
2025,0.541567212,0.112329941,0.086525712,0.259577135,0.832468239,0.059051329,0.054240216,0.054240216
2026,0.6154621806026414,0.1596340755468397,0.05622593596262973,0.16867780788788922,0.8509205369879723,0.07019508800299712,0.03944218750451526,0.03944218750451526
2027,0.5114922023203803,0.1687968066119734,0.07992774792947603,0.2397832431381703,0.7992388284996883,0.07669397842912405,0.062033596535593795,0.062033596535593795
2028,0.40104690319809105,0.1728031548988726,0.10653748547575906,0.3196124564272772,0.7363207651128691,0.08240628488331501,0.09063647500190786,0.09063647500190786
2029,0.2880527819035141,0.16867373976494973,0.13581836980155637,0.40745510852997985,0.6618065264241977,0.08682799740895311,0.12568273808342462,0.12568273808342462
2030,0.17154400089187694,0.14939389807958206,0.16976552525713526,0.5092965757714057,0.5715468319548707,0.0889221175308589,0.135812420404099,0.2037186301101715
2031,0.0880017167514175,0.13654097441359186,0.19386432694928976,0.581592981885701,0.4585163229830074,0.09171843807950773,0.1799060959901266,0.2698591429473583
2032,0.03901835276136781,0.17815960837946138,0.19570550947143564,0.5871165293877352,0.3799699421379071,0.10336751227344594,0.2066650182354588,0.3099975273531882
2033,0.0,0.2114240101862036,0.19714399722309323,0.5914319925907031,0.29578315649704834,0.12067061124345543,0.2334184927195138,0.3501277395399824
2034,0.0,0.2053911370940705,0.1986522155066212,0.5959566473993082,0.1976077871946763,0.15081294474756146,0.26063170722310486,0.3909475608346573
2035,0.0,0.19984965494386409,0.20003758626403398,0.6001127587921019,0.05455400874687754,0.22531068019627384,0.18003382797518142,0.5401014830816672
2036,0.0,0.18911888757748474,0.20272027810562882,0.6081608343168865,0.042460778064225047,0.22774622126888408,0.18244824995281744,0.5473447507140735
2037,0.0,0.1783475001891598,0.20541312516952442,0.6162393746413158,0.030901125623315453,0.22961162463365417,0.18487181265257197,0.5546154370904585
2038,0.0,0.16763533718073476,0.2080911659245327,0.6242734968947327,0.02016863809535299,0.2307031661582872,0.18728204915630633,0.5618461465900535
2039,0.0,0.15677239607501048,0.21080690075857655,0.6324207031664129,0.010267304143403972,0.23082785187876384,0.18972621077178722,0.5691786332060449
2040,0.0,0.1460201411315778,0.2134949649426689,0.6404848939257533,0.0009399115306251599,0.23047821521711895,0.19214546853862738,0.5764364047136286
2041,0.0,0.14588768281149533,0.21352807907147936,0.6405842381170254,0.0,0.231298914440087,0.19217527116433142,0.5765258143955815
2042,0.0,0.1457126374608141,0.2135718404090211,0.6407155221301648,0.0,0.23114137326318207,0.19221465690997985,0.5766439698268381
2043,0.0,0.14562679980153492,0.21359329982375466,0.6407799003747103,0.0,0.23106411991172615,0.19223397002206846,0.5767019100662054
2044,0.0,0.14553227397714463,0.21361693173164908,0.6408507942912062,0.0,0.2309790473927973,0.19225523792586538,0.5767657146813373
2045,0.0,0.14539974989055715,0.2136500625273607,0.6409501875820821,0.0,0.2308597739973577,0.19228505672669652,0.5768551692759458
2046,0.0,0.1452928790589194,0.21367678023527015,0.6410303407058104,0.0,0.23076359169563876,0.19230910185000222,0.576927306454359
2047,0.0,0.1451219645348436,0.2137195088662891,0.6411585265988674,0.0,0.23060976826230795,0.19234755816060894,0.5770426735770832
2048,0.0,0.14489513204839055,0.21377621698790236,0.6413286509637071,0.0,0.2304056186625154,0.19239859556066607,0.5771957857768185
2049,0.0,0.14468255363178817,0.21382936136567476,0.6414880850025371,0.0,0.2302142970914427,0.19244642595351752,0.5773392769550397
2050,0.0,0.1444935753360913,0.21387660593952915,0.6416298187243796,0.0,0.23004421771190287,0.1924889453455762,0.577466836942521
