Bzone,Acres
31,1925
32,2714
33,1186
34,1231
35,589
36,2217
37,473
38,483
39,722
40,256
41,310
42,664
43,1613
44,181
45,402
47,98
48,45
49,209
50,368
51,263
52,251
53,86
54,383
55,122
56,388
61,269
64,107
65,82
66,219
67,270
70,164
71,411
74,73
75,77
76,33
77,24
78,74
80,3136
81,1103
82,648
83,645
84,519
85,335
86,553
87,314
88,295
89,218
90,65
91,148
92,328
94,156
95,149
100,170
103,186
104,137
107,245
110,144
111,185
112,193
114,178
116,211
117,161
118,111
120,328
124,114
125,79
126,49
128,163
129,474
130,332
131,1468
132,1507
133,2238
134,148
135,363
136,179
137,287
138,537
139,805
140,421
141,184
143,199
144,61
146,231
147,461
148,230
149,267
150,206
151,42
152,633
153,1020
154,354
155,213
156,131
158,220
162,98
164,136
168,186
169,132
170,518
171,235
172,305
173,381
180,457
185,531
186,83
189,253
193,208
194,239
196,905
200,95
204,112
205,447
206,705
207,2528
211,213
212,101
213,106
214,189
220,118
221,205
222,42
223,112
224,87
225,35
226,99
227,177
229,42
230,87
231,37
232,133
233,46
234,28
235,81
236,54
237,67
238,187
242,98
243,74
244,76
245,64
246,101
249,270
254,183
256,120
257,51
258,26
259,47
260,102
261,131
279,9
280,11
281,14
282,184
283,125
284,215
285,70
286,279
289,99
290,77
294,49
295,64
296,11
298,77
299,353
300,90
301,113
302,44
303,75
304,429
309,24
310,314
312,84
313,368
314,176
322,188
323,18
324,244
330,376
332,95
333,128
334,210
335,265
336,184
338,154
345,519
346,151
347,173
350,273
354,2110
357,480
358,178
359,151
360,137
361,87
362,91
363,296
365,78
366,177
368,375
373,485
374,283
376,106
378,242
379,147
380,297
381,29
382,231
383,236
384,161
388,140
389,218
390,353
395,3296
396,200
411,369
414,681
415,1596
416,643
417,379
418,731
419,1328
420,1168
421,189
422,695
423,1440
424,2213
426,504
427,189
428,414
429,193
430,214
431,2484
432,1397
433,616
434,449
435,1415
436,1137
437,1571
439,12
442,58
443,328
444,384
447,30
450,251
451,405
