Azone,Bzone,Czone,Marea
Polk,31,NA,SKATS
Polk,32,NA,SKATS
Polk,33,NA,SKATS
Polk,34,NA,SKATS
Polk,35,NA,SKATS
Polk,36,NA,SKATS
Polk,37,NA,SKATS
Polk,38,NA,SKATS
Polk,39,NA,SKATS
Salem_1,40,NA,SKATS
Polk,41,NA,SKATS
Polk,42,NA,SKATS
Polk,43,NA,SKATS
Salem_1,44,NA,SKATS
Salem_1,45,NA,SKATS
Salem_1,47,NA,SKATS
Salem_1,48,NA,SKATS
Salem_1,49,NA,SKATS
Salem_1,50,NA,SKATS
Salem_1,51,NA,SKATS
Salem_1,52,NA,SKATS
Salem_1,53,NA,SKATS
Salem_1,54,NA,SKATS
Salem_1,55,NA,SKATS
Polk,56,NA,SKATS
Salem_2,61,NA,SKATS
Salem_2,64,NA,SKATS
Salem_1,65,NA,SKATS
Salem_1,66,NA,SKATS
Salem_1,67,NA,SKATS
Salem_1,70,NA,SKATS
Salem_1,71,NA,SKATS
Salem_1,74,NA,SKATS
Salem_1,75,NA,SKATS
Salem_1,76,NA,SKATS
Salem_1,77,NA,SKATS
Salem_1,78,NA,SKATS
Marion_Outside_UGB,80,NA,SKATS
Marion_Outside_UGB,81,NA,SKATS
Keizer,82,NA,SKATS
Marion_Outside_UGB,83,NA,SKATS
Marion_Outside_UGB,84,NA,SKATS
Marion_Outside_UGB,85,NA,SKATS
Marion_Outside_UGB,86,NA,SKATS
Keizer,87,NA,SKATS
Keizer,88,NA,SKATS
Keizer,89,NA,SKATS
Keizer,90,NA,SKATS
Keizer,91,NA,SKATS
Keizer,92,NA,SKATS
Keizer,94,NA,SKATS
Keizer,95,NA,SKATS
Keizer,100,NA,SKATS
Keizer,103,NA,SKATS
Keizer,104,NA,SKATS
Keizer,107,NA,SKATS
Keizer,110,NA,SKATS
Keizer,111,NA,SKATS
Keizer,112,NA,SKATS
Keizer,114,NA,SKATS
Keizer,116,NA,SKATS
Keizer,117,NA,SKATS
Keizer,118,NA,SKATS
Keizer,120,NA,SKATS
Keizer,124,NA,SKATS
Keizer,125,NA,SKATS
Keizer,126,NA,SKATS
Keizer,128,NA,SKATS
Marion_Outside_UGB,129,NA,SKATS
Marion_Outside_UGB,130,NA,SKATS
Marion_Outside_UGB,131,NA,SKATS
Marion_Outside_UGB,132,NA,SKATS
Marion_Outside_UGB,133,NA,SKATS
Marion_Outside_UGB,134,NA,SKATS
Salem_4,135,NA,SKATS
Salem_4,136,NA,SKATS
Salem_4,137,NA,SKATS
Marion_Outside_UGB,138,NA,SKATS
Marion_Outside_UGB,139,NA,SKATS
Marion_Inside_UGB_1,140,NA,SKATS
Marion_Inside_UGB_1,141,NA,SKATS
Salem_4,143,NA,SKATS
Salem_4,144,NA,SKATS
Marion_Inside_UGB_1,146,NA,SKATS
Marion_Inside_UGB_1,147,NA,SKATS
Marion_Inside_UGB_1,148,NA,SKATS
Marion_Inside_UGB_1,149,NA,SKATS
Marion_Inside_UGB_1,150,NA,SKATS
Salem_4,151,NA,SKATS
Marion_Outside_UGB,152,NA,SKATS
Marion_Outside_UGB,153,NA,SKATS
Marion_Inside_UGB_1,154,NA,SKATS
Marion_Inside_UGB_1,155,NA,SKATS
Marion_Inside_UGB_1,156,NA,SKATS
Salem_4,158,NA,SKATS
Salem_4,162,NA,SKATS
Salem_4,164,NA,SKATS
Salem_4,168,NA,SKATS
Marion_Outside_UGB,169,NA,SKATS
Marion_Outside_UGB,170,NA,SKATS
Marion_Outside_UGB,171,NA,SKATS
Salem_4,172,NA,SKATS
Salem_4,173,NA,SKATS
Marion_Inside_UGB_2,180,NA,SKATS
Marion_Outside_UGB,185,NA,SKATS
Marion_Outside_UGB,186,NA,SKATS
Marion_Inside_UGB_2,189,NA,SKATS
Marion_Outside_UGB,193,NA,SKATS
Marion_Inside_UGB_2,194,NA,SKATS
Marion_Inside_UGB_2,196,NA,SKATS
Salem_5,200,NA,SKATS
Marion_Outside_UGB,204,NA,SKATS
Marion_Outside_UGB,205,NA,SKATS
Marion_Outside_UGB,206,NA,SKATS
Marion_Outside_UGB,207,NA,SKATS
Salem_4,211,NA,SKATS
Salem_4,212,NA,SKATS
Salem_4,213,NA,SKATS
Salem_4,214,NA,SKATS
Salem_4,220,NA,SKATS
Salem_4,221,NA,SKATS
Salem_4,222,NA,SKATS
Salem_4,223,NA,SKATS
Salem_4,224,NA,SKATS
Salem_4,225,NA,SKATS
Salem_4,226,NA,SKATS
Salem_3,227,NA,SKATS
Salem_4,229,NA,SKATS
Salem_4,230,NA,SKATS
Salem_4,231,NA,SKATS
Salem_3,232,NA,SKATS
Salem_4,233,NA,SKATS
Salem_4,234,NA,SKATS
Salem_4,235,NA,SKATS
Salem_4,236,NA,SKATS
Salem_4,237,NA,SKATS
Salem_3,238,NA,SKATS
Salem_4,242,NA,SKATS
Salem_4,243,NA,SKATS
Salem_4,244,NA,SKATS
Salem_4,245,NA,SKATS
Salem_4,246,NA,SKATS
Salem_3,249,NA,SKATS
Salem_4,254,NA,SKATS
