"Geo","Year","PropSFChargingAvail","PropMFChargingAvail","PropGQChargingAvail"
"Keizer",2005,0.65,0,0
"Marion_Inside_UGB_1",2005,0.65,0,0
"Marion_Inside_UGB_2",2005,0.65,0,0
"Marion_Inside_UGB_3",2005,0.65,0,0
"Marion_Outside_UGB",2005,0.65,0,0
"Polk",2005,0.55,0,0
"Salem_1",2005,0.55,0,0
"Salem_2",2005,0.55,0,0
"Salem_3",2005,0.65,0,0
"Salem_4",2005,0.65,0,0
"Salem_5",2005,0.65,0,0
"Turner",2005,0.65,0,0
"Keizer",2021,0.88,0.016,0.038
"Marion_Inside_UGB_1",2021,0.88,0.016,0.038
"Marion_Inside_UGB_2",2021,0.88,0.016,0.038
"Marion_Inside_UGB_3",2021,0.88,0.016,0.038
"Marion_Outside_UGB",2021,0.88,0.016,0.038
"Polk",2021,0.78,0.004,0
"Salem_1",2021,0.78,0.004,0
"Salem_2",2021,0.78,0.004,0
"Salem_3",2021,0.88,0.016,0.038
"Salem_4",2021,0.88,0.016,0.038
"Salem_5",2021,0.88,0.016,0.038
"Turner",2021,0.88,0.016,0.038
"Keizer",2050,0.95,0.1,0.25
"Marion_Inside_UGB_1",2050,0.95,0.1,0.25
"Marion_Inside_UGB_2",2050,0.95,0.1,0.25
"Marion_Inside_UGB_3",2050,0.95,0.1,0.25
"Marion_Outside_UGB",2050,0.95,0.1,0.25
"Polk",2050,0.85,0.025,0
"Salem_1",2050,0.85,0.025,0
"Salem_2",2050,0.85,0.025,0
"Salem_3",2050,0.95,0.1,0.25
"Salem_4",2050,0.95,0.1,0.25
"Salem_5",2050,0.95,0.1,0.25
"Turner",2050,0.95,0.1,0.25
