"Geo","Year","GrpAge0to14","GrpAge15to19","GrpAge20to29","GrpAge30to54","GrpAge55to64","GrpAge65Plus"
"Keizer",2005,0,0,0,0,0,0
"Keizer",2021,0,0,0,0,0,0
"Keizer",2050,0,0,0,0,0,0
"Marion_Inside_UGB_1",2005,0,0,0,0,0,0
"Marion_Inside_UGB_1",2021,0,0,0,0,0,0
"Marion_Inside_UGB_1",2050,0,0,0,0,0,0
"Marion_Inside_UGB_2",2005,0,0,0,0,0,0
"Marion_Inside_UGB_2",2021,0,0,0,0,0,0
"Marion_Inside_UGB_2",2050,0,0,0,0,0,0
"Marion_Inside_UGB_3",2005,0,0,0,0,0,0
"Marion_Inside_UGB_3",2021,0,0,0,0,0,0
"Marion_Inside_UGB_3",2050,0,0,0,0,0,0
"Marion_Outside_UGB",2005,0,0,0,0,0,0
"Marion_Outside_UGB",2021,0,0,0,0,0,0
"Marion_Outside_UGB",2050,0,0,0,0,0,0
"Polk",2005,0,0,0,0,0,0
"Polk",2021,0,0,0,0,0,0
"Polk",2050,0,0,0,0,0,0
"Salem_1",2005,0,0,0,0,0,0
"Salem_1",2021,0,0,0,0,0,0
"Salem_1",2050,0,0,0,0,0,0
"Salem_2",2005,0,0,0,0,0,0
"Salem_2",2021,0,0,0,0,0,0
"Salem_2",2050,0,0,0,0,0,0
"Salem_3",2005,0,0,0,0,0,0
"Salem_3",2021,0,0,0,0,0,0
"Salem_3",2050,0,0,0,0,0,0
"Salem_4",2005,0,888,911,19,1,0
"Salem_4",2021,0,681,864,9,1,0
"Salem_4",2050,0,784,888,14,1,0
"Salem_5",2005,0,301,342,9,1,0
"Salem_5",2021,0,330,535,20,1,0
"Salem_5",2050,0,417,676,25,1,0
"Turner",2005,0,0,0,0,0,0
"Turner",2021,0,0,0,0,0,0
"Turner",2050,0,0,0,0,0,0
