"Geo","Year","CarSvcLevel","ShdSvcAvail"
31,2005,"Low",0
31,2021,"Low",0
31,2050,"Low",0
32,2005,"Low",0
32,2021,"Low",0
32,2050,"Low",0
33,2005,"Low",0
33,2021,"Low",0
33,2050,"Low",0
34,2005,"Low",0
34,2021,"Low",0
34,2050,"Low",0
35,2005,"Low",0
35,2021,"Low",0
35,2050,"Low",0
36,2005,"Low",0
36,2021,"Low",0
36,2050,"Low",0
37,2005,"Low",0
37,2021,"Low",0
37,2050,"Low",0
38,2005,"Low",0
38,2021,"Low",0
38,2050,"Low",0
39,2005,"Low",0
39,2021,"Low",0
39,2050,"Low",0
40,2005,"Low",0
40,2021,"Low",0
40,2050,"Low",0
41,2005,"Low",0
41,2021,"Low",0
41,2050,"Low",0
42,2005,"Low",0
42,2021,"Low",0
42,2050,"Low",0
43,2005,"Low",0
43,2021,"Low",0
43,2050,"Low",0
44,2005,"Low",0
44,2021,"Low",0
44,2050,"Low",0
45,2005,"Low",0
45,2021,"Low",0
45,2050,"Low",0
47,2005,"Low",0
47,2021,"Low",0
47,2050,"Low",0
48,2005,"Low",0
48,2021,"Low",0
48,2050,"Low",0
49,2005,"Low",0
49,2021,"Low",0
49,2050,"Low",0
50,2005,"Low",0
50,2021,"Low",0
50,2050,"Low",0
51,2005,"Low",0
51,2021,"Low",0
51,2050,"Low",0
52,2005,"Low",0
52,2021,"Low",0
52,2050,"High",1
53,2005,"Low",0
53,2021,"Low",0
53,2050,"High",1
54,2005,"Low",0
54,2021,"Low",0
54,2050,"Low",0
55,2005,"Low",0
55,2021,"Low",0
55,2050,"Low",0
56,2005,"Low",0
56,2021,"Low",0
56,2050,"Low",0
61,2005,"Low",0
61,2021,"Low",0
61,2050,"High",1
64,2005,"Low",0
64,2021,"High",1
64,2050,"High",1
65,2005,"Low",0
65,2021,"Low",0
65,2050,"Low",0
66,2005,"Low",0
66,2021,"Low",0
66,2050,"Low",0
67,2005,"Low",0
67,2021,"Low",0
67,2050,"Low",0
70,2005,"Low",0
70,2021,"Low",0
70,2050,"Low",0
71,2005,"Low",0
71,2021,"Low",0
71,2050,"Low",0
74,2005,"Low",0
74,2021,"Low",0
74,2050,"Low",0
75,2005,"Low",0
75,2021,"High",1
75,2050,"High",1
76,2005,"Low",0
76,2021,"High",1
76,2050,"High",1
77,2005,"Low",0
77,2021,"Low",0
77,2050,"High",1
78,2005,"Low",0
78,2021,"High",1
78,2050,"High",1
80,2005,"Low",0
80,2021,"Low",0
80,2050,"Low",0
81,2005,"Low",0
81,2021,"Low",0
81,2050,"Low",0
82,2005,"Low",0
82,2021,"Low",0
82,2050,"Low",0
83,2005,"Low",0
83,2021,"Low",0
83,2050,"Low",0
84,2005,"Low",0
84,2021,"Low",0
84,2050,"Low",0
85,2005,"Low",0
85,2021,"Low",0
85,2050,"Low",0
86,2005,"Low",0
86,2021,"Low",0
86,2050,"Low",0
87,2005,"Low",0
87,2021,"Low",0
87,2050,"Low",0
88,2005,"Low",0
88,2021,"Low",0
88,2050,"Low",0
89,2005,"Low",0
89,2021,"Low",0
89,2050,"Low",0
90,2005,"Low",0
90,2021,"Low",0
90,2050,"Low",0
91,2005,"Low",0
91,2021,"High",1
91,2050,"High",1
92,2005,"Low",0
92,2021,"High",1
92,2050,"High",1
94,2005,"Low",0
94,2021,"Low",0
94,2050,"Low",0
95,2005,"Low",0
95,2021,"Low",0
95,2050,"Low",0
100,2005,"Low",0
100,2021,"Low",0
100,2050,"High",1
103,2005,"Low",0
103,2021,"Low",0
103,2050,"Low",0
104,2005,"Low",0
104,2021,"High",1
104,2050,"High",1
107,2005,"Low",0
107,2021,"High",1
107,2050,"High",1
110,2005,"Low",0
110,2021,"Low",0
110,2050,"Low",0
111,2005,"Low",0
111,2021,"Low",0
111,2050,"Low",0
112,2005,"Low",0
112,2021,"Low",0
112,2050,"Low",0
114,2005,"Low",0
114,2021,"Low",0
114,2050,"Low",0
116,2005,"Low",0
116,2021,"Low",0
116,2050,"Low",0
117,2005,"Low",0
117,2021,"Low",0
117,2050,"Low",0
118,2005,"Low",0
118,2021,"High",1
118,2050,"High",1
120,2005,"Low",0
120,2021,"Low",0
120,2050,"Low",0
124,2005,"Low",0
124,2021,"Low",0
124,2050,"Low",0
125,2005,"Low",0
125,2021,"High",1
125,2050,"High",1
126,2005,"Low",0
126,2021,"High",1
126,2050,"High",1
128,2005,"Low",0
128,2021,"Low",0
128,2050,"Low",0
129,2005,"Low",0
129,2021,"Low",0
129,2050,"Low",0
130,2005,"Low",0
130,2021,"Low",0
130,2050,"Low",0
131,2005,"Low",0
131,2021,"Low",0
131,2050,"Low",0
132,2005,"Low",0
132,2021,"Low",0
132,2050,"Low",0
133,2005,"Low",0
133,2021,"Low",0
133,2050,"Low",0
134,2005,"Low",0
134,2021,"Low",0
134,2050,"Low",0
135,2005,"Low",0
135,2021,"Low",0
135,2050,"Low",0
136,2005,"Low",0
136,2021,"Low",0
136,2050,"Low",0
137,2005,"Low",0
137,2021,"Low",0
137,2050,"Low",0
138,2005,"Low",0
138,2021,"Low",0
138,2050,"Low",0
139,2005,"Low",0
139,2021,"Low",0
139,2050,"Low",0
140,2005,"Low",0
140,2021,"Low",0
140,2050,"Low",0
141,2005,"Low",0
141,2021,"High",1
141,2050,"High",1
143,2005,"Low",0
143,2021,"Low",0
143,2050,"Low",0
144,2005,"Low",0
144,2021,"Low",0
144,2050,"High",1
146,2005,"Low",0
146,2021,"Low",0
146,2050,"Low",0
147,2005,"Low",0
147,2021,"Low",0
147,2050,"Low",0
148,2005,"Low",0
148,2021,"Low",0
148,2050,"Low",0
149,2005,"Low",0
149,2021,"High",1
149,2050,"High",1
150,2005,"Low",0
150,2021,"High",1
150,2050,"High",1
151,2005,"Low",0
151,2021,"Low",0
151,2050,"High",1
152,2005,"Low",0
152,2021,"Low",0
152,2050,"Low",0
153,2005,"Low",0
153,2021,"Low",0
153,2050,"Low",0
