Geo,Year,TotEmp,RetEmp,SvcEmp
31,2005,12.0,0.0,3.0
32,2005,4.0,4.0,0.0
33,2005,34.0,0.0,0.0
34,2005,5.0,0.0,0.0
35,2005,4.0,0.0,0.0
36,2005,3.0,0.0,1.0
37,2005,76.0,12.0,8.0
38,2005,26.0,0.0,1.0
39,2005,6.0,0.0,1.0
40,2005,2.0,0.0,0.0
41,2005,9.0,0.0,0.0
42,2005,4.0,0.0,1.0
43,2005,10.0,0.0,0.0
44,2005,18.0,0.0,3.0
45,2005,32.0,1.0,2.0
47,2005,10.0,2.0,1.0
48,2005,1.0,0.0,0.0
49,2005,67.0,5.0,53.0
50,2005,19.0,0.0,1.0
51,2005,43.0,6.0,1.0
52,2005,92.0,15.0,66.0
53,2005,9.0,0.0,1.0
54,2005,89.0,0.0,7.0
55,2005,83.0,0.0,0.0
56,2005,29.0,0.0,20.0
61,2005,386.0,221.0,81.0
64,2005,446.0,67.0,27.0
65,2005,22.0,0.0,6.0
66,2005,38.0,1.0,3.0
67,2005,2.0,0.0,2.0
70,2005,26.0,0.0,0.0
71,2005,249.0,8.0,144.0
74,2005,7.0,0.0,0.0
75,2005,16.0,0.0,0.0
76,2005,313.0,96.0,79.0
77,2005,50.0,24.0,2.0
78,2005,95.0,0.0,9.0
80,2005,81.0,3.0,2.0
81,2005,55.0,9.0,6.0
82,2005,281.0,59.0,138.0
83,2005,20.0,0.0,6.0
84,2005,136.0,4.0,3.0
85,2005,1.0,0.0,1.0
86,2005,144.0,0.0,0.0
87,2005,53.0,0.0,17.0
88,2005,87.0,1.0,70.0
89,2005,40.0,0.0,4.0
90,2005,16.0,2.0,9.0
91,2005,7.0,0.0,1.0
92,2005,39.0,1.0,22.0
94,2005,105.0,1.0,35.0
95,2005,73.0,68.0,4.0
100,2005,14.0,0.0,11.0
103,2005,55.0,2.0,4.0
104,2005,377.0,153.0,156.0
107,2005,229.0,81.0,29.0
110,2005,7.0,1.0,1.0
111,2005,43.0,0.0,7.0
112,2005,195.0,65.0,62.0
114,2005,283.0,185.0,30.0
116,2005,59.0,0.0,5.0
117,2005,17.0,2.0,7.0
118,2005,518.0,176.0,249.0
120,2005,281.0,57.0,171.0
124,2005,45.0,19.0,23.0
125,2005,196.0,63.0,26.0
126,2005,311.0,1.0,91.0
128,2005,88.0,0.0,22.0
129,2005,0.0,0.0,0.0
130,2005,0.0,0.0,0.0
131,2005,107.0,14.0,0.0
132,2005,45.0,4.0,17.0
133,2005,32.0,2.0,6.0
134,2005,12.0,5.0,4.0
135,2005,90.0,33.0,8.0
136,2005,108.0,0.0,0.0
137,2005,30.0,0.0,0.0
138,2005,11.0,0.0,0.0
139,2005,154.0,1.0,1.0
140,2005,34.0,2.0,11.0
141,2005,249.0,134.0,37.0
143,2005,220.0,27.0,17.0
144,2005,79.0,14.0,40.0
146,2005,81.0,4.0,37.0
147,2005,161.0,4.0,29.0
148,2005,87.0,26.0,10.0
149,2005,1079.0,38.0,59.0
150,2005,41.0,21.0,14.0
151,2005,51.0,19.0,12.0
152,2005,1.0,0.0,1.0
153,2005,51.0,0.0,1.0
154,2005,101.0,35.0,20.0
155,2005,42.0,14.0,13.0
156,2005,372.0,212.0,55.0
158,2005,1065.0,645.0,238.0
162,2005,384.0,22.0,172.0
164,2005,516.0,154.0,267.0
168,2005,10.0,1.0,5.0
169,2005,0.0,0.0,0.0
170,2005,25.0,0.0,12.0
171,2005,10.0,0.0,0.0
172,2005,31.0,1.0,19.0
173,2005,1807.0,1321.0,406.0
180,2005,916.0,609.0,129.0
185,2005,42.0,0.0,16.0
186,2005,0.0,0.0,0.0
189,2005,244.0,70.0,58.0
193,2005,100.0,17.0,19.0
194,2005,268.0,138.0,43.0
196,2005,218.0,37.0,43.0
200,2005,329.0,270.0,0.0
204,2005,4.0,1.0,2.0
205,2005,40.0,0.0,2.0
206,2005,52.0,2.0,0.0
207,2005,57.0,12.0,1.0
211,2005,556.0,35.0,32.0
212,2005,266.0,17.0,15.0
213,2005,100.0,22.0,6.0
214,2005,246.0,46.0,42.0
220,2005,544.0,121.0,19.0
221,2005,341.0,9.0,166.0
222,2005,70.0,2.0,34.0
223,2005,187.0,5.0,91.0
224,2005,43.0,1.0,25.0
225,2005,251.0,159.0,10.0
226,2005,216.0,14.0,28.0
227,2005,494.0,94.0,143.0
229,2005,72.0,25.0,33.0
230,2005,43.0,1.0,26.0
231,2005,9.0,2.0,1.0
232,2005,367.0,28.0,140.0
233,2005,72.0,23.0,45.0
234,2005,107.0,5.0,90.0
235,2005,327.0,18.0,18.0
236,2005,169.0,30.0,12.0
237,2005,370.0,31.0,7.0
238,2005,1103.0,192.0,400.0
242,2005,391.0,50.0,275.0
243,2005,216.0,1.0,39.0
244,2005,48.0,14.0,13.0
245,2005,43.0,3.0,40.0
246,2005,3452.0,22.0,19.0
249,2005,4444.0,1371.0,997.0
254,2005,636.0,69.0,340.0
256,2005,619.0,11.0,211.0
257,2005,180.0,2.0,33.0
258,2005,19.0,0.0,1.0
259,2005,432.0,27.0,145.0
260,2005,2873.0,108.0,557.0
261,2005,3724.0,59.0,2455.0
279,2005,436.0,0.0,0.0
280,2005,77.0,2.0,51.0
281,2005,118.0,0.0,113.0
282,2005,106.0,22.0,21.0
283,2005,95.0,3.0,1.0
284,2005,84.0,17.0,42.0
285,2005,28.0,2.0,23.0
286,2005,655.0,184.0,275.0
289,2005,41.0,1.0,16.0
290,2005,14.0,2.0,10.0
294,2005,45.0,0.0,9.0
295,2005,84.0,0.0,79.0
296,2005,164.0,0.0,39.0
298,2005,33.0,17.0,6.0
299,2005,1410.0,0.0,22.0
300,2005,179.0,7.0,125.0
301,2005,172.0,21.0,38.0
302,2005,45.0,0.0,10.0
303,2005,56.0,29.0,8.0
304,2005,2522.0,462.0,470.0
309,2005,98.0,49.0,32.0
310,2005,720.0,65.0,445.0
312,2005,549.0,91.0,243.0
313,2005,1836.0,190.0,284.0
314,2005,70.0,19.0,32.0
322,2005,48.0,4.0,13.0
323,2005,220.0,74.0,31.0
324,2005,485.0,180.0,172.0
330,2005,1595.0,48.0,281.0
332,2005,9.0,0.0,6.0
333,2005,3.0,0.0,1.0
334,2005,135.0,6.0,55.0
335,2005,604.0,319.0,161.0
336,2005,383.0,252.0,43.0
338,2005,89.0,6.0,42.0
345,2005,23.0,0.0,9.0
346,2005,8.0,0.0,1.0
347,2005,54.0,9.0,38.0
350,2005,438.0,115.0,209.0
354,2005,3103.0,388.0,445.0
357,2005,423.0,186.0,169.0
358,2005,241.0,20.0,114.0
359,2005,56.0,16.0,35.0
360,2005,71.0,20.0,43.0
361,2005,4.0,0.0,1.0
362,2005,84.0,0.0,0.0
363,2005,232.0,77.0,99.0
365,2005,60.0,6.0,21.0
366,2005,50.0,8.0,8.0
368,2005,433.0,203.0,123.0
373,2005,79.0,3.0,25.0
374,2005,531.0,256.0,118.0
376,2005,163.0,82.0,55.0
378,2005,36.0,0.0,7.0
379,2005,16.0,0.0,9.0
380,2005,206.0,0.0,146.0
381,2005,267.0,0.0,175.0
382,2005,20.0,0.0,11.0
383,2005,25.0,0.0,11.0
384,2005,79.0,0.0,53.0
388,2005,0.0,0.0,0.0
389,2005,6.0,0.0,5.0
390,2005,76.0,7.0,25.0
395,2005,1087.0,125.0,159.0
396,2005,2.0,1.0,1.0
411,2005,37.0,1.0,1.0
414,2005,3.0,0.0,0.0
415,2005,82.0,18.0,6.0
416,2005,142.0,14.0,30.0
417,2005,68.0,2.0,14.0
418,2005,0.0,0.0,0.0
419,2005,7.0,2.0,0.0
420,2005,7.0,2.0,0.0
421,2005,9.0,1.0,2.0
422,2005,6.0,0.0,4.0
423,2005,32.0,0.0,3.0
424,2005,17.0,0.0,3.0
426,2005,42.0,0.0,23.0
427,2005,17.0,0.0,9.0
428,2005,2.0,0.0,0.0
429,2005,5.0,0.0,0.0
430,2005,9.0,1.0,0.0
431,2005,30.0,0.0,7.0
432,2005,20.0,1.0,11.0
433,2005,51.0,2.0,41.0
434,2005,1.0,1.0,0.0
435,2005,29.0,3.0,2.0
