"Geo","Year","D3bpo4"
31,2005,0
31,2021,0
31,2050,0
32,2005,0
32,2021,0
32,2050,0
33,2005,0
33,2021,0
33,2050,0
34,2005,0
34,2021,0
34,2050,0
35,2005,0.959994693203884
35,2021,1.0865874
35,2050,1.28702585242718
36,2005,0
36,2021,0
36,2050,0
37,2005,0
37,2021,0
37,2050,0
38,2005,0
38,2021,0
38,2050,0
39,2005,0
39,2021,0
39,2050,0
40,2005,2.5
40,2021,2.5
40,2050,2.5
41,2005,0
41,2021,0
41,2050,0
42,2005,0
42,2021,0
42,2050,0
43,2005,0
43,2021,0
43,2050,0
44,2005,3.5359116
44,2021,3.5359116
44,2050,3.53591160220994
45,2005,6.3681592
45,2021,14.3283582
45,2050,14.3283582089552
47,2005,0
47,2021,0
47,2050,0
48,2005,0
48,2021,0
48,2050,0
49,2005,24.4976077
49,2021,24.4976077
49,2050,24.4976076555023
50,2005,0
50,2021,0
50,2050,0
51,2005,12.1673004
51,2021,14.6007605
51,2050,12.1673003802281
52,2005,10.1992032
52,2021,15.2988048
52,2050,15.2988047808764
53,2005,0
53,2021,0
53,2050,0
54,2005,10.0261097
54,2021,13.3681462
54,2050,11.6971279373368
55,2005,0
55,2021,5.2459016
55,2050,5.24590163934426
56,2005,17.5271459067909
56,2021,19.7938144
56,2050,23.2992435813582
61,2005,9.5167286
61,2021,4.7583643
61,2050,7.13754646840148
64,2005,5.9813084
64,2021,23.9252336
64,2050,23.9252336448598
65,2005,7.804878
65,2021,7.804878
65,2050,7.80487804878048
66,2005,11.6894977
66,2021,8.7671233
66,2050,8.76712328767123
67,2005,16.5925926
67,2021,18.962963
67,2050,18.9629629629629
70,2005,7.804878
70,2021,15.6097561
70,2050,15.6097560975609
71,2005,4.6715328
71,2021,7.7858881
71,2050,6.2287104622871
74,2005,8.7671233
74,2021,17.5342466
74,2050,17.5342465753424
75,2005,83.1168831
75,2021,91.4285714
75,2050,74.8051948051948
76,2005,38.7878788
76,2021,38.7878788
76,2050,19.3939393939393
77,2005,80
77,2021,26.6666667
77,2050,53.3333333333333
78,2005,69.1891892
78,2021,77.8378378
78,2050,77.8378378378378
80,2005,0
80,2021,0
80,2050,0
81,2005,0
81,2021,0
81,2050,0
82,2005,1.74715515080583
82,2021,1.9753086
82,2050,2.33383544873369
83,2005,0
83,2021,0
83,2050,0
84,2005,0
84,2021,0
84,2050,0
85,2005,0
85,2021,0
85,2050,0
86,2005,0
86,2021,0
86,2050,0
87,2005,7.21142668498845
87,2021,8.1528662
87,2050,9.63092623856813
88,2005,7.6283199692604
88,2021,8.6779661
88,2050,10.496461307396
89,2005,12.9089875934735
89,2021,14.6788991
89,2050,17.7153527855088
90,2005,0
90,2021,0
90,2050,0
91,2005,0
91,2021,0
91,2050,0
92,2005,15.5655715791347
92,2021,17.5609756
92,2050,20.4582170253134
94,2005,7.26327791023785
94,2021,8.2051282
94,2050,9.64760161675284
95,2005,30.2011746996255
95,2021,34.3624161
95,2050,41.7411121913858
100,2005,0
100,2021,0
100,2050,0
103,2005,9.0580644765
103,2021,10.3225806
103,2050,12.4645160745
104,2005,4.10757112562944
104,2021,4.6715328
104,2050,5.61850587888961
107,2005,16.0883197299459
107,2021,18.2857143
107,2050,21.9174210813756
110,2005,11.7357910612903
110,2021,13.3333333
110,2050,15.9549410763441
111,2005,24.5458352601959
111,2021,27.6756757
111,2050,32.6538471081923
112,2005,23.3029480883375
112,2021,26.5284974
112,2050,32.041553621464
114,2005,19.0524246710835
114,2021,21.5730337
114,2050,25.7271100325718
116,2005,15.9886409137652
116,2021,18.1990521
116,2050,22.0156954148988
117,2005,41.7309735216142
117,2021,47.7018634
117,2050,58.7953200046512
118,2005,0
118,2021,0
118,2050,0
120,2005,20.5448277243004
120,2021,23.4146341
120,2050,28.4824135669146
124,2005,29.4313976965567
124,2021,33.6842105
124,2050,41.0299780695839
125,2005,7.03890655782209
125,2021,8.1012658
125,2050,10.2197716572086
126,2005,11.5336651523119
126,2021,13.0612245
126,2050,15.5005828381686
128,2005,6.83900325707733
128,2021,7.8527607
128,2050,9.76706409475754
129,2005,3.58084300180412
129,2021,4.0506329
129,2050,4.72921830850516
130,2005,0
130,2021,0
130,2050,0
131,2005,0
131,2021,0
131,2050,0
132,2005,1.12890896202532
132,2021,1.2740544
132,2050,1.49983619240506
133,2005,0
133,2021,0
133,2050,0
134,2005,0
134,2021,0
134,2050,0
135,2005,0
135,2021,0
135,2050,0
136,2005,7.150838
136,2021,7.150838
136,2050,7.15083798882681
137,2005,0
137,2021,0
137,2050,0
138,2005,0
138,2021,0
138,2050,0
139,2005,0
139,2021,0
139,2050,0
140,2005,16.0845368960942
140,2021,18.2422803
140,2050,21.7694580422161
141,2005,6.10329086165746
141,2021,6.9565217
141,2050,8.41700691878453
143,2005,0
143,2021,0
143,2050,0
144,2005,0
144,2021,0
144,2050,0
146,2005,14.5659852163287
146,2021,16.6233766
146,2050,20.2886452835153
147,2005,15.9701356631395
147,2021,18.0477223
147,2050,21.3424809059302
148,2005,9.7344141640678
148,2021,11.1304348
148,2050,13.6529740185956
149,2005,2.08922374131193
149,2021,2.3970037
149,2050,2.96823661245639
150,2005,0
150,2021,0
150,2050,0
151,2005,0
151,2021,0
151,2050,0
152,2005,0
152,2021,0
152,2050,0
153,2005,0.555052807692308
153,2021,0.627451
153,2050,0.730015105769231
154,2005,6.39044691794409
154,2021,7.2316384
154,2050,8.57167599350766
155,2005,21.2269436327676
155,2021,24.0375587
155,2050,28.5368094326261
156,2005,25.7007547094901
156,2021,29.3129771
156,2050,35.4994269412181
158,2005,0
158,2021,2.9090909
158,2050,2.9090909090909
162,2005,0
162,2021,0
162,2050,0
164,2005,14.1176471
164,2021,4.7058824
164,2050,4.70588235294117
168,2005,17.2043011
168,2021,20.6451613
168,2050,20.6451612903225
169,2005,0
169,2021,0
169,2050,0
170,2005,0
170,2021,0
170,2050,0
171,2005,0
171,2021,0
171,2050,0
172,2005,12.5901639
172,2021,14.6885246
172,2050,12.5901639344262
173,2005,13.4383202
173,2021,16.7979003
173,2050,15.1181102362204
180,2005,8.64925160132743
180,2021,9.8030635
180,2050,11.6617416901549
185,2005,0
185,2021,0
185,2050,0
186,2005,0
186,2021,0
186,2050,0
189,2005,11.1115853429266
189,2021,12.6482213
189,2050,15.2365992010259
193,2005,0
193,2021,0
193,2050,0
194,2005,4.67312279636659
194,2021,5.3556485
194,2050,6.601620954718
196,2005,17.9906789801792
196,2021,20.5082873
196,2050,24.9561482473505
200,2005,0
200,2021,0
200,2050,0
204,2005,0
204,2021,0
204,2050,0
205,2005,0
205,2021,0
205,2050,0
206,2005,0
206,2021,0
206,2050,0
207,2005,0
207,2021,0
207,2050,0
211,2005,0
211,2021,0
211,2050,0
212,2005,6.3366337
212,2021,6.3366337
212,2050,6.33663366336633
213,2005,12.0754717
213,2021,12.0754717
213,2050,12.0754716981132
214,2005,20.3174603
214,2021,20.3174603
214,2050,20.3174603174603
220,2005,0
220,2021,0
220,2050,0
221,2005,0
221,2021,3.1219512
221,2050,3.12195121951219
222,2005,0
222,2021,0
222,2050,0
223,2005,0
223,2021,0
223,2050,0
224,2005,0
224,2021,0
224,2050,0
225,2005,0
225,2021,0
225,2050,0
226,2005,6.4646465
226,2021,6.4646465
226,2050,6.4646465
227,2005,94.0112994
227,2021,104.8587571
227,2050,101.242937853107
229,2005,60.952381
229,2021,76.1904762
229,2050,76.1904761904761
230,2005,58.8505747
230,2021,66.2068966
230,2050,66.2068965517241
231,2005,242.1621622
231,2021,224.8648649
231,2050,224.864864864864
232,2005,187.6691729
232,2021,187.6691729
232,2050,187.66917293233
233,2005,83.4782609
233,2021,55.6521739
233,2050,55.6521739130434
234,2005,68.5714286
234,2021,45.7142857
234,2050,45.7142857142857
235,2005,7.9012346
235,2021,7.9012346
235,2050,7.90123456790123
236,2005,0
236,2021,0
236,2050,0
237,2005,0
237,2021,0
237,2050,0
238,2005,58.1818182
238,2021,61.6042781
238,2050,58.1818181818181
242,2005,58.7755102
242,2021,52.244898
242,2050,52.2448979591836
243,2005,0
243,2021,17.2972973
243,2050,17.2972972972972
244,2005,109.4736842
244,2021,101.0526316
244,2050,109.473684210526
245,2005,110
245,2021,110
245,2050,110
246,2005,12.6732673
246,2021,6.3366337
246,2050,6.33663366336633
249,2005,28.4444444
249,2021,33.1851852
249,2050,26.074074074074
254,2005,41.9672131
254,2021,41.9672131
254,2050,41.967213114754
256,2005,85.3333333
256,2021,80
256,2050,80
257,2005,213.3333333
257,2021,213.3333333
257,2050,213.333333333333
258,2005,73.8461538
258,2021,73.8461538
258,2050,73.8461538461538
259,2005,27.2340426
259,2021,13.6170213
259,2050,40.8510638297872
260,2005,12.5490196
260,2021,6.2745098
260,2050,12.5490196078431
261,2005,29.3129771
261,2021,34.1984733
261,2050,29.3129770992366
279,2005,64.6464646363636
279,2021,71.1111111
279,2050,81.8855218727273
280,2005,0
280,2021,0
280,2050,0
281,2005,0
281,2021,0
281,2050,0
282,2005,3.4782609
282,2021,3.4782609
282,2050,3.4782609
283,2005,15.36
283,2021,25.6
283,2050,15.36
284,2005,23.8139535
284,2021,20.8372093
284,2050,20.8372093023255
285,2005,82.2857143
285,2021,100.5714286
285,2050,100.571428571428
286,2005,13.7634409
286,2021,9.1756272
286,2050,11.4695340501792
289,2005,90.5050505
289,2021,90.5050505
289,2050,84.040404040404
290,2005,91.4285714
290,2021,91.4285714
290,2050,91.4285714285714
294,2005,13.0612245
294,2021,13.0612245
294,2050,13.0612244897959
295,2005,10
295,2021,10
295,2050,10
296,2005,0
296,2021,0
296,2050,0
298,2005,24.9350649
298,2021,24.9350649
298,2050,24.9350649350649
299,2005,1.8130312
299,2021,3.6260623
299,2050,3.62606232294617
300,2005,28.4444444
300,2021,28.4444444
300,2050,14.2222222222222
301,2005,124.6017699
301,2021,130.2654867
301,2050,130.265486725663
302,2005,43.6363636
302,2021,29.0909091
302,2050,29.090909090909
303,2005,93.8666667
303,2021,93.8666667
303,2050,93.8666666666666
304,2005,1.4918415
304,2021,4.4755245
304,2050,2.98368298368298
309,2005,161.33726649882
309,2021,186.6666667
309,2050,234.847590995723
310,2005,44.8353988272458
310,2021,50.955414
310,2050,61.2672203869694
312,2005,40.3966764816135
312,2021,45.7142857
312,2050,53.3476279651032
313,2005,33.8359261044204
313,2021,38.2608696
313,2050,44.8557373097581
314,2005,76.4755582616777
314,2021,87.2727273
314,2050,106.5496242172
322,2005,35.8314972279753
322,2021,40.8510638
322,2050,49.5327040975271
323,2005,63.2004252958134
323,2021,71.1111111
323,2050,82.0839978606459
324,2005,64.6103466913983
324,2021,73.442623
324,2050,88.5024026041582
330,2005,3.0086613434983
330,2021,3.4042553
330,2050,3.9964074227802
332,2005,23.3949243472684
332,2021,26.9473684
332,2050,33.7322165007126
333,2005,4.41929133858268
333,2021,5
333,2050,5.8759842519685
334,2005,37.6666666960937
334,2021,42.6666667
334,2050,51.1212121611506
335,2005,10.5357578036548
335,2021,12.0754717
335,2050,14.9358884643309
336,2005,21.3476200402844
336,2021,24.3478261
336,2050,29.5671194819905
338,2005,40.1325277598226
338,2021,45.7142857
338,2050,55.6616643755116
345,2005,3.28710252012384
345,2021,3.699422
345,2050,4.35798783591331
346,2005,26.1784184117647
346,2021,29.6688742
346,2050,34.7954811389706
347,2005,12.9988562741792
347,2021,14.7976879
347,2050,17.8176242061224
350,2005,26.8115688202454
350,2021,30.4761905
350,2050,36.596357999182
354,2005,1.34597954122009
354,2021,1.5165877
354,2050,1.75531180277039
357,2005,10.5688405797101
357,2021,12
357,2050,14.3840579710145
358,2005,3.18817163224401
358,2021,3.5955056
358,2050,4.20650655163399
359,2005,29.7432322807018
359,2021,33.9072848
359,2050,41.4263739205614
360,2005,16.4914515375839
360,2021,18.6861314
360,2050,22.2812260317673
361,2005,6.51340992708333
361,2021,7.3563218
361,2050,8.63984669739583
362,2005,0
362,2021,0
362,2050,0
363,2005,19.0091360564175
363,2021,21.6216216
363,2050,26.053698242031
365,2005,0
365,2021,0
365,2050,0
366,2005,28.3271800753853
366,2021,32.5423729
366,2050,40.4848262608496
368,2005,10.5323165525523
368,2021,11.9466667
368,2050,14.2757523973555
373,2005,5.82930899192364
373,2021,6.5979381
373,2050,7.81870197753304
374,2005,21.8796557022337
374,2021,24.8763251
374,2050,29.9468484849621
376,2005,10.5514772812701
376,2021,12.0754717
376,2050,14.9002002086013
378,2005,9.36617469862475
378,2021,10.5785124
378,2050,12.4420486381139
379,2005,11.5791979660657
379,2021,13.0612245
379,2050,15.4296968112407
380,2005,13.3145232726257
380,2021,15.0841751
380,2050,18.0011836066609
381,2005,0
381,2021,0
381,2050,0
382,2005,22.1122273641509
382,2021,24.9350649
382,2050,29.4045576650943
383,2005,7.20581112
383,2021,8.1355932
383,2050,9.57252914181818
384,2005,17.4448266804726
384,2021,19.8757764
384,2050,24.102313980542
388,2005,4.04066348164794
388,2021,4.5714286
388,2050,5.39325846067416
389,2005,23.1261096765852
389,2021,26.4220183
389,2050,32.4334928324078
390,2005,3.16846210224645
390,2021,3.6260623
390,2050,4.47298203772712
395,2005,0.172359833592881
395,2021,0.1941748
395,2050,0.224240575483871
396,2005,8.42097516099356
396,2021,9.6
396,2050,11.7063477460902
411,2005,0
411,2021,0
411,2050,0
414,2005,0
414,2021,0
414,2050,0
415,2005,0
415,2021,0
415,2050,0
416,2005,7.0119078358209
416,2021,7.962675
416,2050,9.5957056384743
417,2005,13.468474222069
417,2021,15.1978892
417,2050,17.7658084096552
418,2005,0
418,2021,0
418,2050,0
419,2005,0
419,2021,0
419,2050,0
420,2005,0
420,2021,0
420,2050,0
421,2005,20.829909872227
421,2021,23.7037037
421,2050,28.9621349593293
422,2005,0.811756273933649
422,2021,0.9208633
422,2050,1.07797741753554
423,2005,1.18132461758958
423,2021,1.3333333
423,2050,1.57654719185668
424,2005,0.509731859360731
424,2021,0.5784004
424,2050,0.684044308675799
426,2005,0
426,2021,0
426,2050,0
427,2005,0
427,2021,0
427,2050,0
428,2005,0
428,2021,0
428,2050,0
429,2005,8.72761638653637
429,2021,9.9481865
429,2050,12.0760830694897
430,2005,0
430,2021,0
430,2050,0
431,2005,0
431,2021,0
431,2050,0
432,2005,0
432,2021,0
432,2050,0
433,2005,3.67859786402439
433,2021,4.1558442
433,2050,4.89071908902439
434,2005,1.27446617411765
434,2021,1.4253898
434,2050,1.68531382235294
435,2005,0
435,2021,0
435,2050,0
436,2005,0
436,2021,0
436,2050,0
437,2005,0
437,2021,0
437,2050,0
439,2005,0
439,2021,0
439,2050,0
442,2005,66.2671942628415
442,2021,77.2413793
442,2050,99.189749374317
443,2005,0
443,2021,0
443,2050,0
444,2005,0
444,2021,0
444,2050,0
447,2005,0
447,2021,0
447,2050,0
450,2005,0
450,2021,0
450,2050,0
451,2005,2.78791526260163
451,2021,3.1604938
451,2050,3.70009030243902
