Geo,Year,AveHhSize,Prop1PerHh
1,2005,2.562418217,0.22890636
2,2005,2.438987859,0.277989699
3,2005,2.694044708,0.211160468
4,2005,2.705547095,0.200029165
5,2005,2.239479559,0.315813474
6,2005,2.194263782,0.322382815
7,2005,2.463175065,0.295410668
8,2005,1.45106517,0.667770545
9,2005,2.430220087,0.291752622
10,2005,2.282300883,0.328082572
11,2005,2.688302218,0.2614083
12,2005,2.677945941,0.232515598
13,2005,2.768027627,0.172836738
14,2005,2.821399374,0.165904802
15,2005,2.758242792,0.230447429
16,2005,2.535225893,0.26265955
17,2005,2.490854354,0.267994416
18,2005,2.528289347,0.258209724
19,2005,2.46444991,0.291567354
20,2005,2.828937764,0.182488913
1,2010,2.519297653,0.243295601
2,2010,2.413568788,0.288060606
3,2010,2.7096014,0.216025816
4,2010,2.657793686,0.21003776
5,2010,2.378314465,0.257704403
6,2010,2.198795974,0.315661201
7,2010,2.41867446,0.298320392
8,2010,1.498876911,0.635541089
9,2010,2.391526978,0.291834677
10,2010,2.27440995,0.324236602
11,2010,2.725470773,0.264034715
12,2010,2.667465662,0.241822838
13,2010,2.689525665,0.200237168
14,2010,2.777935401,0.170542636
15,2010,2.74561526,0.234151894
16,2010,2.54169092,0.261634499
17,2010,2.492382173,0.27178013
18,2010,2.519494315,0.262829623
19,2010,2.441808293,0.302457103
20,2010,2.816727915,0.189663867
1,2020,2.625141206,0.23753996
2,2020,2.441805926,0.290676099
3,2020,2.743664505,0.227223326
4,2020,2.713367736,0.20498571
5,2020,2.250944898,0.359897959
6,2020,2.353360256,0.298452708
7,2020,2.48646,0.286896552
8,2020,1.535197586,0.611046578
9,2020,2.46624727,0.2926776
10,2020,2.338339093,0.318284507
11,2020,2.736390287,0.264654084
12,2020,2.700061535,0.251932673
13,2020,2.800495992,0.192718771
14,2020,2.909370263,0.168732734
15,2020,2.757147868,0.219735119
16,2020,2.673499288,0.249342692
17,2020,2.565196044,0.261270679
18,2020,2.6356397,0.255618437
19,2020,2.496484917,0.295329758
20,2020,2.811361444,0.196232827
1,2025,2.603366523,0.234376916
2,2025,2.358633753,0.30655042
3,2025,2.753376794,0.218415156
4,2025,2.642458755,0.207921795
5,2025,2.237869793,0.351961237
6,2025,2.299892465,0.304234148
7,2025,2.414130402,0.299536319
8,2025,1.53149146,0.612426605
9,2025,2.40771029,0.302353732
10,2025,2.282133977,0.328915762
11,2025,2.647496532,0.278267888
12,2025,2.6375974,0.25644978
13,2025,2.734740587,0.1978412
14,2025,2.876310823,0.167608868
15,2025,2.723460145,0.220812133
16,2025,2.626382884,0.252930184
17,2025,2.567239193,0.257585425
18,2025,2.606501716,0.259409229
19,2025,2.43494082,0.305785135
20,2025,2.770962654,0.195413474
1,2030,2.58159184,0.231213873
2,2030,2.27546158,0.322424741
3,2030,2.763089083,0.209606987
4,2030,2.571549774,0.21085788
5,2030,2.224794688,0.344024515
6,2030,2.246424674,0.310015588
7,2030,2.341800805,0.312176087
8,2030,1.527785334,0.613806632
9,2030,2.34917331,0.312029864
10,2030,2.225928862,0.339547017
11,2030,2.558602776,0.291881692
12,2030,2.575133264,0.260966886
13,2030,2.668985182,0.202963628
14,2030,2.843251383,0.166485003
15,2030,2.689772421,0.221889147
16,2030,2.57926648,0.256517676
17,2030,2.569282341,0.253900172
18,2030,2.577363731,0.263200021
19,2030,2.373396724,0.316240511
20,2030,2.730563863,0.194594121
1,2035,2.599580295,0.220677931
2,2035,2.229173783,0.362221045
3,2035,2.729773627,0.210117273
4,2035,2.536497306,0.225713521
5,2035,2.185854756,0.358379914
6,2035,2.19450935,0.348316827
7,2035,2.294985135,0.354686319
8,2035,1.524175408,0.615154768
9,2035,2.305741681,0.34877112
10,2035,2.181241552,0.382016082
11,2035,2.506090541,0.335997774
12,2035,2.537971007,0.282616149
13,2035,2.672681781,0.186487996
14,2035,2.813738912,0.172044538
15,2035,2.658533316,0.239208572
16,2035,2.544707858,0.279319833
17,2035,2.554340575,0.267375937
18,2035,2.539650824,0.294740089
19,2035,2.340432971,0.345639087
20,2035,2.700315618,0.207509077
1,2040,2.617568751,0.222760401
2,2040,2.182885987,0.359785839
3,2040,2.696458171,0.208071114
4,2040,2.501444838,0.216649929
5,2040,2.146914824,0.362798492
6,2040,2.142594027,0.3591293
7,2040,2.248169465,0.360733798
8,2040,1.520565483,0.605732292
9,2040,2.262310051,0.354362394
10,2040,2.136554241,0.388802156
11,2040,2.453578306,0.340162359
12,2040,2.500808751,0.274342162
13,2040,2.676378379,0.186291875
14,2040,2.78422644,0.167322507
15,2040,2.627294211,0.233621395
16,2040,2.510149236,0.274851831
17,2040,2.539398809,0.263162547
18,2040,2.501937918,0.288388805
19,2040,2.307469218,0.341436313
20,2040,2.670067373,0.201781727
1,2045,2.635557206,0.220677931
2,2045,2.13659819,0.362221045
