Geo,Year,MixUseProp
1,2005,1
2,2005,1
3,2005,1
4,2005,1
5,2005,1
6,2005,1
7,2005,1
8,2005,1
9,2005,1
10,2005,1
11,2005,1
12,2005,1
13,2005,1
14,2005,1
15,2005,1
16,2005,1
17,2005,1
18,2005,1
19,2005,1
20,2005,1
21,2005,1
22,2005,1
23,2005,1
24,2005,1
25,2005,1
26,2005,1
27,2005,1
28,2005,1
29,2005,1
30,2005,1
31,2005,1
32,2005,1
33,2005,1
34,2005,1
35,2005,1
36,2005,1
37,2005,1
38,2005,1
39,2005,1
40,2005,1
41,2005,1
42,2005,1
43,2005,1
44,2005,1
45,2005,1
46,2005,1
47,2005,1
48,2005,1
49,2005,1
50,2005,1
51,2005,1
52,2005,1
53,2005,1
54,2005,1
55,2005,1
56,2005,1
57,2005,1
58,2005,1
59,2005,1
60,2005,1
61,2005,1
62,2005,1
63,2005,1
64,2005,1
65,2005,1
66,2005,1
67,2005,1
68,2005,1
69,2005,1
70,2005,1
71,2005,1
72,2005,1
73,2005,1
74,2005,1
75,2005,1
76,2005,1
77,2005,1
78,2005,1
79,2005,1
80,2005,1
81,2005,1
82,2005,1
83,2005,1
84,2005,1
85,2005,1
86,2005,1
87,2005,1
88,2005,1
89,2005,1
90,2005,1
91,2005,1
92,2005,1
93,2005,1
94,2005,1
95,2005,1
96,2005,1
97,2005,1
98,2005,1
99,2005,1
100,2005,1
101,2005,1
102,2005,1
103,2005,1
104,2005,1
105,2005,1
106,2005,1
107,2005,1
108,2005,1
109,2005,1
110,2005,1
111,2005,1
112,2005,1
113,2005,1
114,2005,1
115,2005,1
116,2005,1
117,2005,1
118,2005,1
119,2005,1
120,2005,1
121,2005,1
122,2005,1
123,2005,1
124,2005,1
125,2005,1
126,2005,1
127,2005,1
128,2005,1
129,2005,1
130,2005,1
131,2005,1
132,2005,1
133,2005,1
134,2005,1
135,2005,1
136,2005,1
137,2005,1
138,2005,1
139,2005,1
140,2005,1
141,2005,1
142,2005,1
143,2005,1
144,2005,1
145,2005,1
146,2005,1
147,2005,1
148,2005,1
149,2005,1
150,2005,1
151,2005,1
152,2005,1
153,2005,1
154,2005,1
155,2005,1
156,2005,1
157,2005,1
