"Geo","Year","HhPropIncQ1","HhPropIncQ2","HhPropIncQ3","HhPropIncQ4"
31,2005,0.11,0.32,0.19,0.38
31,2021,0.25,0.16,0.3,0.29
31,2050,0.25,0.16,0.3,0.29
32,2005,0.0975,0.2075,0.2475,0.4475
32,2021,0.1575,0.1475,0.3275,0.3675
32,2050,0.1575,0.1475,0.3275,0.3675
33,2005,0.1125,0.2825,0.1925,0.4125
33,2021,0.25,0.16,0.3,0.29
33,2050,0.25,0.16,0.3,0.29
34,2005,0.1125,0.3125,0.1925,0.3825
34,2021,0.245,0.155,0.305,0.295
34,2050,0.245,0.155,0.305,0.295
35,2005,0.11,0.32,0.19,0.38
35,2021,0.25,0.16,0.3,0.29
35,2050,0.25,0.16,0.3,0.29
36,2005,0.09,0.12,0.29,0.5
36,2021,0.08,0.13,0.35,0.44
36,2050,0.08,0.13,0.35,0.44
37,2005,0.085,0.125,0.285,0.505
37,2021,0.085,0.135,0.355,0.425
37,2050,0.085,0.135,0.355,0.425
38,2005,0.19,0.25,0.25,0.31
38,2021,0.11,0.13,0.6,0.16
38,2050,0.11,0.13,0.6,0.16
39,2005,0.09,0.12,0.29,0.5
39,2021,0.08,0.13,0.35,0.44
39,2050,0.08,0.13,0.35,0.44
40,2005,0.0825,0.1225,0.2925,0.5025
40,2021,0.08,0.13,0.35,0.44
40,2050,0.08,0.13,0.35,0.44
41,2005,0.11,0.26,0.22,0.41
41,2021,0.19,0.15,0.32,0.34
41,2050,0.19,0.15,0.32,0.34
42,2005,0.0925,0.1325,0.2825,0.4925
42,2021,0.0875,0.1275,0.3475,0.4375
42,2050,0.0875,0.1275,0.3475,0.4375
43,2005,0.26,0.37,0.21,0.16
43,2021,0.13,0.25,0.34,0.28
43,2050,0.13,0.25,0.34,0.28
44,2005,0.2075,0.3775,0.2175,0.1975
44,2021,0.08,0.13,0.35,0.44
44,2050,0.08,0.13,0.35,0.44
45,2005,0.0925,0.1225,0.2925,0.4925
45,2021,0.08,0.13,0.35,0.44
45,2050,0.08,0.13,0.35,0.44
47,2005,0.095,0.125,0.285,0.495
47,2021,0.0825,0.1325,0.3525,0.4325
47,2050,0.0825,0.1325,0.3525,0.4325
48,2005,0.2075,0.3775,0.2175,0.1975
48,2021,0.08,0.13,0.35,0.44
48,2050,0.08,0.13,0.35,0.44
49,2005,0.085,0.255,0.315,0.345
49,2021,0.135,0.185,0.375,0.305
49,2050,0.135,0.185,0.375,0.305
50,2005,0.09,0.12,0.29,0.5
50,2021,0.08,0.13,0.35,0.44
50,2050,0.08,0.13,0.35,0.44
51,2005,0.085,0.255,0.315,0.345
51,2021,0.13,0.18,0.38,0.31
51,2050,0.13,0.18,0.38,0.31
52,2005,0.23,0.24,0.26,0.27
52,2021,0.1325,0.1925,0.3725,0.3025
52,2050,0.1325,0.1925,0.3725,0.3025
53,2005,0.365,0.355,0.195,0.085
53,2021,0.21,0.47,0.32,0
53,2050,0.21,0.47,0.32,0
54,2005,0.1725,0.1225,0.2325,0.4725
54,2021,0.13,0.18,0.38,0.31
54,2050,0.13,0.18,0.38,0.31
55,2005,0.09,0.12,0.29,0.5
55,2021,0.08,0.13,0.35,0.44
55,2050,0.08,0.13,0.35,0.44
56,2005,0.0875,0.1275,0.2875,0.4975
56,2021,0.08,0.13,0.35,0.44
56,2050,0.08,0.13,0.35,0.44
61,2005,0.3475,0.3475,0.2075,0.0975
61,2021,0.2025,0.4125,0.3525,0.0324999999999999
61,2050,0.2025,0.4125,0.3525,0.0324999999999999
64,2005,0.265,0.385,0.235,0.115
64,2021,0.2225,0.2125,0.4325,0.1325
64,2050,0.2225,0.2125,0.4325,0.1325
65,2005,0.13,0.27,0.33,0.27
65,2021,0.07,0.2,0.51,0.22
65,2050,0.07,0.2,0.51,0.22
66,2005,0.06,0.23,0.24,0.47
66,2021,0.07,0.2,0.51,0.22
66,2050,0.07,0.2,0.51,0.22
67,2005,0.0575,0.2275,0.2375,0.4775
67,2021,0.07,0.2,0.51,0.22
67,2050,0.07,0.2,0.51,0.22
70,2005,0.195,0.255,0.255,0.295
70,2021,0.11,0.13,0.61,0.15
70,2050,0.11,0.13,0.61,0.15
71,2005,0.2,0.26,0.24,0.3
71,2021,0.1075,0.1275,0.6075,0.1575
71,2050,0.1075,0.1275,0.6075,0.1575
74,2005,0.1175,0.2675,0.3075,0.3075
74,2021,0.08,0.2,0.51,0.21
74,2050,0.08,0.2,0.51,0.21
75,2005,0.38,0.28,0.23,0.11
75,2021,0.27,0.24,0.38,0.11
75,2050,0.27,0.24,0.38,0.11
76,2005,0.22,0.28,0.29,0.21
76,2021,0.13,0.18,0.52,0.17
76,2050,0.13,0.18,0.52,0.17
77,2005,0.245,0.325,0.225,0.205
77,2021,0.1775,0.1775,0.5075,0.1375
77,2050,0.1775,0.1775,0.5075,0.1375
78,2005,0.27,0.39,0.25,0.09
78,2021,0.23,0.23,0.41,0.13
78,2050,0.23,0.23,0.41,0.13
80,2005,0.17,0.18,0.31,0.34
80,2021,0.23,0.15,0.41,0.21
80,2050,0.23,0.15,0.41,0.21
81,2005,0.1725,0.2325,0.2925,0.3025
81,2021,0.1325,0.1825,0.4725,0.2125
81,2050,0.1325,0.1825,0.4725,0.2125
82,2005,0.185,0.235,0.285,0.295
82,2021,0.13,0.19,0.47,0.21
82,2050,0.13,0.19,0.47,0.21
83,2005,0.17,0.18,0.31,0.34
83,2021,0.23,0.15,0.41,0.21
83,2050,0.23,0.15,0.41,0.21
84,2005,0.17,0.18,0.31,0.34
84,2021,0.23,0.15,0.41,0.21
84,2050,0.23,0.15,0.41,0.21
85,2005,0.17,0.18,0.31,0.34
85,2021,0.1625,0.1625,0.4225,0.2525
85,2050,0.1625,0.1625,0.4225,0.2525
86,2005,0.1725,0.1825,0.3125,0.3325
86,2021,0.22,0.18,0.38,0.22
86,2050,0.22,0.18,0.38,0.22
87,2005,0.1725,0.1825,0.3125,0.3325
87,2021,0.01,0.18,0.45,0.36
87,2050,0.01,0.18,0.45,0.36
88,2005,0.165,0.255,0.285,0.295
88,2021,0.17,0.19,0.39,0.25
88,2050,0.17,0.19,0.39,0.25
89,2005,0.1725,0.1825,0.3125,0.3325
89,2021,0.11,0.2,0.4,0.29
89,2050,0.11,0.2,0.4,0.29
90,2005,0.14,0.37,0.26,0.23
90,2021,0.2,0.23,0.34,0.23
90,2050,0.2,0.23,0.34,0.23
91,2005,0.1625,0.1825,0.3125,0.3425
91,2021,0.1925,0.2325,0.3425,0.2325
91,2050,0.1925,0.2325,0.3425,0.2325
92,2005,0.1075,0.1475,0.4175,0.3275
92,2021,0.16,0.17,0.41,0.26
92,2050,0.16,0.17,0.41,0.26
94,2005,0.1325,0.1625,0.4525,0.2525
