"Geo","Year","D4c"
31,2005,0
32,2005,0
33,2005,0
34,2005,0
35,2005,0
36,2005,0
37,2005,0
38,2005,2
39,2005,4
40,2005,0
41,2005,0
42,2005,0
43,2005,6
44,2005,0
45,2005,2
47,2005,2
48,2005,0
49,2005,4
50,2005,2
51,2005,6
52,2005,12
53,2005,2
54,2005,12
55,2005,0
56,2005,6
61,2005,4
64,2005,8
65,2005,8
66,2005,12
67,2005,6
70,2005,2
71,2005,6
74,2005,6
75,2005,6
76,2005,4
77,2005,4
78,2005,6
80,2005,1
81,2005,0
82,2005,2
83,2005,0
84,2005,0
85,2005,0
86,2005,2
87,2005,1
88,2005,1
89,2005,3
90,2005,0
91,2005,2
92,2005,4
94,2005,4
95,2005,4
100,2005,2
103,2005,6
104,2005,10
107,2005,12
110,2005,2
111,2005,2
112,2005,10
114,2005,12
116,2005,0
117,2005,8
118,2005,4
120,2005,8
124,2005,8
125,2005,8
126,2005,2
128,2005,4
129,2005,0
130,2005,0
131,2005,0
132,2005,0
133,2005,0
134,2005,0
135,2005,3.333333
136,2005,3.333333
137,2005,0
138,2005,0
139,2005,0
140,2005,5.333333
141,2005,5.333333
143,2005,3.333333
144,2005,2
146,2005,10.666667
147,2005,2
148,2005,4
149,2005,10.666667
150,2005,7.666667
151,2005,4
152,2005,0
153,2005,0
154,2005,6
155,2005,8
156,2005,0
158,2005,10
162,2005,0
164,2005,17.060606
168,2005,6
169,2005,0
170,2005,0
171,2005,0
172,2005,10
173,2005,21.060606
180,2005,12
185,2005,0
186,2005,8
189,2005,9
193,2005,4
194,2005,6
196,2005,9
200,2005,1
204,2005,0
205,2005,0
206,2005,4
207,2005,0
211,2005,3
212,2005,4
213,2005,8
214,2005,8
220,2005,10
221,2005,5
222,2005,0
223,2005,2
224,2005,10
225,2005,8
226,2005,8
227,2005,4
229,2005,8
230,2005,8
231,2005,0
232,2005,14
233,2005,6
234,2005,4
235,2005,6
236,2005,4
237,2005,0
238,2005,18.608696
242,2005,14
243,2005,8
244,2005,14.727273
245,2005,19.393939
246,2005,43.275362
249,2005,42.608696
254,2005,39.275362
256,2005,43.667519
257,2005,17.058824
258,2005,5
259,2005,28.058824
260,2005,45.138107
261,2005,29
279,2005,4
280,2005,6
281,2005,6
282,2005,4
283,2005,10.727273
284,2005,14.727273
285,2005,8.727273
286,2005,10.727273
289,2005,19.393939
290,2005,2
294,2005,4
295,2005,0
296,2005,0
298,2005,8
299,2005,4
300,2005,0
301,2005,19.058824
302,2005,6
303,2005,12
304,2005,9.529412
309,2005,8.608696
310,2005,27.967391
312,2005,8.608696
313,2005,20.608696
314,2005,11.358696
322,2005,13.5
323,2005,10.5
324,2005,18.108696
330,2005,11
332,2005,0
333,2005,2
334,2005,9.75
335,2005,30.75
336,2005,13.5
338,2005,9
345,2005,0
346,2005,5.75
347,2005,13.5
350,2005,22.108696
354,2005,20.529412
357,2005,10.217391
358,2005,14.967391
359,2005,19.25
360,2005,19
361,2005,0
362,2005,0
363,2005,11.5
365,2005,11.5
366,2005,11.5
368,2005,13.217391
373,2005,2
374,2005,8
376,2005,7
378,2005,2
379,2005,2
380,2005,5.75
381,2005,3.75
382,2005,2
383,2005,0
384,2005,5
388,2005,1
389,2005,2
390,2005,4
395,2005,9
396,2005,4
411,2005,1
414,2005,0
415,2005,0
416,2005,0
417,2005,0
418,2005,0
419,2005,0
420,2005,0
421,2005,2
422,2005,0
423,2005,0
424,2005,0
426,2005,2
427,2005,0
428,2005,0
429,2005,0
430,2005,3.75
431,2005,0
432,2005,0
433,2005,0
434,2005,0
435,2005,0
436,2005,12.608696
437,2005,0
439,2005,4
442,2005,10.75
443,2005,0
444,2005,0
447,2005,0
450,2005,0
451,2005,1
31,2021,0
32,2021,0
33,2021,0
34,2021,0
35,2021,0
36,2021,0
37,2021,0
38,2021,1
39,2021,0
40,2021,1
41,2021,0
42,2021,0
43,2021,16
44,2021,1
45,2021,3
47,2021,6
48,2021,3
49,2021,9
50,2021,5
51,2021,11
52,2021,47
53,2021,10
54,2021,12
55,2021,3
56,2021,5
61,2021,23
64,2021,39
65,2021,48
66,2021,15
67,2021,13
70,2021,8
71,2021,17.583333
74,2021,19.583333
75,2021,28.583333
76,2021,14.583333
77,2021,14
78,2021,37
80,2021,2
81,2021,4
82,2021,48
83,2021,0
84,2021,0
85,2021,0
86,2021,6
87,2021,4
88,2021,18
89,2021,12
90,2021,20
91,2021,24
92,2021,44
94,2021,44
95,2021,50
100,2021,54
103,2021,89
104,2021,62
107,2021,50
110,2021,8
111,2021,4
112,2021,36
114,2021,56
116,2021,44
117,2021,48
118,2021,62
120,2021,54
124,2021,34
125,2021,46
126,2021,20
128,2021,46
129,2021,0
130,2021,0
131,2021,9
132,2021,0
