"Geo","Year","LtTrkProp"
"Polk",2005,0.51
"Salem_1",2005,0.51
"Salem_2",2005,0.51
"Marion_Outside_UGB",2005,0.5
"Keizer",2005,0.5
"Salem_4",2005,0.5
"Marion_Inside_UGB_1",2005,0.5
"Marion_Inside_UGB_2",2005,0.5
"Salem_5",2005,0.5
"Salem_3",2005,0.5
"Marion_Inside_UGB_3",2005,0.5
"Turner",2005,0.5
"Polk",2021,0.531492831
"Salem_1",2021,0.531492831
"Salem_2",2021,0.531492831
"Marion_Outside_UGB",2021,0.523025527
"Keizer",2021,0.523025527
"Salem_4",2021,0.523025527
"Marion_Inside_UGB_1",2021,0.523025527
"Marion_Inside_UGB_2",2021,0.523025527
"Salem_5",2021,0.523025527
"Salem_3",2021,0.523025527
"Marion_Inside_UGB_3",2021,0.523025527
"Turner",2021,0.523025527
"Polk",2050,0.206
"Salem_1",2050,0.206
"Salem_2",2050,0.206
"Marion_Outside_UGB",2050,0.206
"Keizer",2050,0.206
"Salem_4",2050,0.206
"Marion_Inside_UGB_1",2050,0.206
"Marion_Inside_UGB_2",2050,0.206
"Salem_5",2050,0.206
"Salem_3",2050,0.206
"Marion_Inside_UGB_3",2050,0.206
"Turner",2050,0.206
