"Geo","Year","RelEmp15to19","RelEmp20to29","RelEmp30to54","RelEmp55to64","RelEmp65Plus"
"Keizer",2005,1.0784,1.0784,1.0784,1.0784,1.0784
"Marion_Inside_UGB_1",2005,1.0784,1.0784,1.0784,1.0784,1.0784
"Marion_Inside_UGB_2",2005,1.0784,1.0784,1.0784,1.0784,1.0784
"Marion_Inside_UGB_3",2005,1.0784,1.0784,1.0784,1.0784,1.0784
"Marion_Outside_UGB",2005,1.0784,1.0784,1.0784,1.0784,1.0784
"Polk",2005,1.0784,1.0784,1.0784,1.0784,1.0784
"Salem_1",2005,1.0784,1.0784,1.0784,1.0784,1.0784
"Salem_2",2005,1.0784,1.0784,1.0784,1.0784,1.0784
"Salem_3",2005,1.0784,1.0784,1.0784,1.0784,1.0784
"Salem_4",2005,1.0784,1.0784,1.0784,1.0784,1.0784
"Salem_5",2005,1.0784,1.0784,1.0784,1.0784,1.0784
"Turner",2005,1.0784,1.0784,1.0784,1.0784,1.0784
"Keizer",2021,1.0784,1.0784,1.0784,1.0784,1.0784
"Marion_Inside_UGB_1",2021,1.0784,1.0784,1.0784,1.0784,1.0784
"Marion_Inside_UGB_2",2021,1.0784,1.0784,1.0784,1.0784,1.0784
"Marion_Inside_UGB_3",2021,1.0784,1.0784,1.0784,1.0784,1.0784
"Marion_Outside_UGB",2021,1.0784,1.0784,1.0784,1.0784,1.0784
"Polk",2021,1.0784,1.0784,1.0784,1.0784,1.0784
"Salem_1",2021,1.0784,1.0784,1.0784,1.0784,1.0784
"Salem_2",2021,1.0784,1.0784,1.0784,1.0784,1.0784
"Salem_3",2021,1.0784,1.0784,1.0784,1.0784,1.0784
"Salem_4",2021,1.0784,1.0784,1.0784,1.0784,1.0784
"Salem_5",2021,1.0784,1.0784,1.0784,1.0784,1.0784
"Turner",2021,1.0784,1.0784,1.0784,1.0784,1.0784
"Keizer",2050,1.0784,1.0784,1.0784,1.0784,1.0784
"Marion_Inside_UGB_1",2050,1.0784,1.0784,1.0784,1.0784,1.0784
"Marion_Inside_UGB_2",2050,1.0784,1.0784,1.0784,1.0784,1.0784
"Marion_Inside_UGB_3",2050,1.0784,1.0784,1.0784,1.0784,1.0784
"Marion_Outside_UGB",2050,1.0784,1.0784,1.0784,1.0784,1.0784
"Polk",2050,1.0784,1.0784,1.0784,1.0784,1.0784
"Salem_1",2050,1.0784,1.0784,1.0784,1.0784,1.0784
"Salem_2",2050,1.0784,1.0784,1.0784,1.0784,1.0784
"Salem_3",2050,1.0784,1.0784,1.0784,1.0784,1.0784
"Salem_4",2050,1.0784,1.0784,1.0784,1.0784,1.0784
"Salem_5",2050,1.0784,1.0784,1.0784,1.0784,1.0784
"Turner",2050,1.0784,1.0784,1.0784,1.0784,1.0784
