"Geo","Year","PropRuralMixed","PropRuralOnSite","PropRuralRemote","PropTownMixed","PropTownOnSite","PropTownRemote","PropMetroMixed","PropMetroOnSite","PropMetroRemote"
"Keizer",2005,0.2344,0.5745,0.1911,0.238176182,0.568043196,0.193780622,0.2353,0.575,0.1897
"Marion_Inside_UGB_1",2005,0.2344,0.5745,0.1911,0.238176182,0.568043196,0.193780622,0.2353,0.575,0.1897
"Marion_Inside_UGB_2",2005,0.2344,0.5745,0.1911,0.238176182,0.568043196,0.193780622,0.2353,0.575,0.1897
"Marion_Inside_UGB_3",2005,0.2344,0.5745,0.1911,0.238176182,0.568043196,0.193780622,0.2353,0.575,0.1897
"Marion_Outside_UGB",2005,0.2344,0.5745,0.1911,0.238176182,0.568043196,0.193780622,0.2353,0.575,0.1897
"Polk",2005,0.2344,0.5745,0.1911,0.238176182,0.568043196,0.193780622,0.2353,0.575,0.1897
"Salem_1",2005,0.2344,0.5745,0.1911,0.238176182,0.568043196,0.193780622,0.2353,0.575,0.1897
"Salem_2",2005,0.2344,0.5745,0.1911,0.238176182,0.568043196,0.193780622,0.2353,0.575,0.1897
"Salem_3",2005,0.2344,0.5745,0.1911,0.238176182,0.568043196,0.193780622,0.2353,0.575,0.1897
"Salem_4",2005,0.2344,0.5745,0.1911,0.238176182,0.568043196,0.193780622,0.2353,0.575,0.1897
"Salem_5",2005,0.2344,0.5745,0.1911,0.238176182,0.568043196,0.193780622,0.2353,0.575,0.1897
"Turner",2005,0.2344,0.5745,0.1911,0.238176182,0.568043196,0.193780622,0.2353,0.575,0.1897
"Keizer",2021,0.2898,0.4453,0.2649,0.2921,0.4469,0.261,0.2961,0.4382,0.2657
"Marion_Inside_UGB_1",2021,0.2898,0.4453,0.2649,0.2921,0.4469,0.261,0.2961,0.4382,0.2657
"Marion_Inside_UGB_2",2021,0.2898,0.4453,0.2649,0.2921,0.4469,0.261,0.2961,0.4382,0.2657
"Marion_Inside_UGB_3",2021,0.2898,0.4453,0.2649,0.2921,0.4469,0.261,0.2961,0.4382,0.2657
"Marion_Outside_UGB",2021,0.2898,0.4453,0.2649,0.2921,0.4469,0.261,0.2961,0.4382,0.2657
"Polk",2021,0.2898,0.4453,0.2649,0.2921,0.4469,0.261,0.2961,0.4382,0.2657
"Salem_1",2021,0.2898,0.4453,0.2649,0.2921,0.4469,0.261,0.2961,0.4382,0.2657
"Salem_2",2021,0.2898,0.4453,0.2649,0.2921,0.4469,0.261,0.2961,0.4382,0.2657
"Salem_3",2021,0.2898,0.4453,0.2649,0.2921,0.4469,0.261,0.2961,0.4382,0.2657
"Salem_4",2021,0.2898,0.4453,0.2649,0.2921,0.4469,0.261,0.2961,0.4382,0.2657
"Salem_5",2021,0.2898,0.4453,0.2649,0.2921,0.4469,0.261,0.2961,0.4382,0.2657
"Turner",2021,0.2898,0.4453,0.2649,0.2921,0.4469,0.261,0.2961,0.4382,0.2657
"Keizer",2050,0.298500300173088,0.425169646803539,0.276330053023373,0.288858223942439,0.436599999019883,0.274541777037678,0.298171273655875,0.423177278148499,0.278651448195626
"Marion_Inside_UGB_1",2050,0.298500300173088,0.425169646803539,0.276330053023373,0.288858223942439,0.436599999019883,0.274541777037678,0.298171273655875,0.423177278148499,0.278651448195626
"Marion_Inside_UGB_2",2050,0.298500300173088,0.425169646803539,0.276330053023373,0.288858223942439,0.436599999019883,0.274541777037678,0.298171273655875,0.423177278148499,0.278651448195626
"Marion_Inside_UGB_3",2050,0.298500300173088,0.425169646803539,0.276330053023373,0.288858223942439,0.436599999019883,0.274541777037678,0.298171273655875,0.423177278148499,0.278651448195626
"Marion_Outside_UGB",2050,0.298500300173088,0.425169646803539,0.276330053023373,0.288858223942439,0.436599999019883,0.274541777037678,0.298171273655875,0.423177278148499,0.278651448195626
"Polk",2050,0.2910133247711,0.437536742294689,0.27144993293421,0.284901310017928,0.44280941118217,0.272289278799902,0.296610806030814,0.424307241181495,0.27908195278769
"Salem_1",2050,0.2910133247711,0.437536742294689,0.27144993293421,0.284901310017928,0.44280941118217,0.272289278799902,0.296610806030814,0.424307241181495,0.27908195278769
"Salem_2",2050,0.2910133247711,0.437536742294689,0.27144993293421,0.284901310017928,0.44280941118217,0.272289278799902,0.296610806030814,0.424307241181495,0.27908195278769
"Salem_3",2050,0.298500300173088,0.425169646803539,0.276330053023373,0.288858223942439,0.436599999019883,0.274541777037678,0.298171273655875,0.423177278148499,0.278651448195626
"Salem_4",2050,0.298500300173088,0.425169646803539,0.276330053023373,0.288858223942439,0.436599999019883,0.274541777037678,0.298171273655875,0.423177278148499,0.278651448195626
"Salem_5",2050,0.298500300173088,0.425169646803539,0.276330053023373,0.288858223942439,0.436599999019883,0.274541777037678,0.298171273655875,0.423177278148499,0.278651448195626
"Turner",2050,0.298500300173088,0.425169646803539,0.276330053023373,0.288858223942439,0.436599999019883,0.274541777037678,0.298171273655875,0.423177278148499,0.278651448195626
