"Geo","Year","FuelCost.2005","PowerCost.2005"
"Keizer",2005,1.914,0.073
"Marion_Inside_UGB_1",2005,1.914,0.073
"Marion_Inside_UGB_2",2005,1.914,0.073
"Marion_Inside_UGB_3",2005,1.914,0.073
"Marion_Outside_UGB",2005,1.914,0.073
"Polk",2005,1.914,0.073
"Salem_1",2005,1.914,0.073
"Salem_2",2005,1.914,0.073
"Salem_3",2005,1.914,0.073
"Salem_4",2005,1.914,0.073
"Salem_5",2005,1.914,0.073
"Turner",2005,1.914,0.073
"Keizer",2021,1.836255421,0.132291029
"Marion_Inside_UGB_1",2021,1.836255421,0.132291029
"Marion_Inside_UGB_2",2021,1.836255421,0.132291029
"Marion_Inside_UGB_3",2021,1.836255421,0.132291029
"Marion_Outside_UGB",2021,1.836255421,0.132291029
"Polk",2021,1.836255421,0.132291029
"Salem_1",2021,1.836255421,0.132291029
"Salem_2",2021,1.836255421,0.132291029
"Salem_3",2021,1.836255421,0.132291029
"Salem_4",2021,1.836255421,0.132291029
"Salem_5",2021,1.836255421,0.132291029
"Turner",2021,1.836255421,0.132291029
"Keizer",2050,2.700960669,0.143315281
"Marion_Inside_UGB_1",2050,2.700960669,0.143315281
"Marion_Inside_UGB_2",2050,2.700960669,0.143315281
"Marion_Inside_UGB_3",2050,2.700960669,0.143315281
"Marion_Outside_UGB",2050,2.700960669,0.143315281
"Polk",2050,2.700960669,0.143315281
"Salem_1",2050,2.700960669,0.143315281
"Salem_2",2050,2.700960669,0.143315281
"Salem_3",2050,2.700960669,0.143315281
"Salem_4",2050,2.700960669,0.143315281
"Salem_5",2050,2.700960669,0.143315281
"Turner",2050,2.700960669,0.143315281
