"Geo","Year","AutoMeanAge","LtTrkMeanAge"
"Keizer",2005,10.51,10.9
"Marion_Inside_UGB_1",2005,10.51,10.9
"Marion_Inside_UGB_2",2005,10.51,10.9
"Marion_Inside_UGB_3",2005,10.51,10.9
"Marion_Outside_UGB",2005,10.51,10.9
"Polk",2005,10.16,10.84
"Salem_1",2005,10.16,10.84
"Salem_2",2005,10.16,10.84
"Salem_3",2005,10.51,10.9
"Salem_4",2005,10.51,10.9
"Salem_5",2005,10.51,10.9
"Turner",2005,10.51,10.9
"Keizer",2021,12.07,13.31
"Marion_Inside_UGB_1",2021,12.07,13.31
"Marion_Inside_UGB_2",2021,12.07,13.31
"Marion_Inside_UGB_3",2021,12.07,13.31
"Marion_Outside_UGB",2021,12.07,13.31
"Polk",2021,11.67,13.23
"Salem_1",2021,11.67,13.23
"Salem_2",2021,11.67,13.23
"Salem_3",2021,12.07,13.31
"Salem_4",2021,12.07,13.31
"Salem_5",2021,12.07,13.31
"Turner",2021,12.07,13.31
"Polk",2050,7.95,9
"Salem_1",2050,7.95,9
"Salem_2",2050,7.95,9
"Marion_Outside_UGB",2050,8.23,9.05
"Keizer",2050,8.23,9.05
"Salem_4",2050,8.23,9.05
"Marion_Inside_UGB_1",2050,8.23,9.05
"Marion_Inside_UGB_2",2050,8.23,9.05
"Salem_5",2050,8.23,9.05
"Salem_3",2050,8.23,9.05
"Marion_Inside_UGB_3",2050,8.23,9.05
"Turner",2050,8.23,9.05
