"Geo","Year","OwnedVehAccessTime","HighCarSvcAccessTime","LowCarSvcAccessTime","ShdCarSvcAccessTime","UnShdCarSvcAccessTime"
"Keizer",2005,2,10,20,20,10
"Marion_Inside_UBG_1",2005,2,10,20,20,10
"Marion_Inside_UBG_2",2005,2,10,20,20,10
"Marion_Inside_UBG_3",2005,2,10,20,20,10
"Marion_Outside_UGB",2005,2,10,20,20,10
"Polk",2005,2,10,20,20,10
"Salem_1",2005,2,10,20,20,10
"Salem_2",2005,2,10,20,20,10
"Salem_3",2005,2,10,20,20,10
"Salem_4",2005,2,10,20,20,10
"Salem_5",2005,2,10,20,20,10
"Turner",2005,2,10,20,20,10
"Keizer",2021,2,10,20,20,10
"Marion_Inside_UBG_1",2021,2,10,20,20,10
"Marion_Inside_UBG_2",2021,2,10,20,20,10
"Marion_Inside_UBG_3",2021,2,10,20,20,10
"Marion_Outside_UGB",2021,2,10,20,20,10
"Polk",2021,2,10,20,20,10
"Salem_1",2021,2,10,20,20,10
"Salem_2",2021,2,10,20,20,10
"Salem_3",2021,2,10,20,20,10
"Salem_4",2021,2,10,20,20,10
"Salem_5",2021,2,10,20,20,10
"Turner",2021,2,10,20,20,10
"Polk",2050,2,10,20,20,10
"Salem_1",2050,2,10,20,20,10
"Salem_2",2050,2,10,20,20,10
"Marion_Outside_UGB",2050,2,10,20,20,10
"Keizer",2050,2,10,20,20,10
"Salem_4",2050,2,10,20,20,10
"Marion_Inside_UBG_1",2050,2,10,20,20,10
"Marion_Inside_UBG_2",2050,2,10,20,20,10
"Salem_5",2050,2,10,20,20,10
"Salem_3",2050,2,10,20,20,10
"Marion_Inside_UBG_3",2050,2,10,20,20,10
"Turner",2050,2,10,20,20,10
