"Geo","Year","HighCarSvcCost.2021","LowCarSvcCost.2021","AveCarSvcVehicleAge","AutoCarSvcSubProp","LtTrkCarSvcSubProp","ShdCarSvcCost.2021","UnShdCarSvcCost.2021","LowCarSvcDeadheadProp","HighCarSvcDeadheadProp","ShdCarSvcDeadheadFactor","UnShdCarSvcDeadheadFactor"
"Keizer",2005,2.25,4.5,9,0.95,0.75,2,2.25,0,0,1,1
"Marion_Inside_UGB_1",2005,2.25,4.5,9,0.95,0.75,2,2.25,0,0,1,1
"Marion_Inside_UGB_2",2005,2.25,4.5,9,0.95,0.75,2,2.25,0,0,1,1
"Marion_Inside_UGB_3",2005,2.25,4.5,9,0.95,0.75,2,2.25,0,0,1,1
"Marion_Outside_UGB",2005,2.25,4.5,9,0.95,0.75,2,2.25,0,0,1,1
"Polk",2005,2.13719380042097,4.27438760084194,9,0.95,0.75,2,2.25,0,0,1,1
"Salem_1",2005,2.13719380042097,4.27438760084194,9,0.95,0.75,2,2.25,0,0,1,1
"Salem_2",2005,2.13719380042097,4.27438760084194,9,0.95,0.75,2,2.25,0,0,1,1
"Salem_3",2005,2.25,4.5,9,0.95,0.75,2,2.25,0,0,1,1
"Salem_4",2005,2.25,4.5,9,0.95,0.75,2,2.25,0,0,1,1
"Salem_5",2005,2.25,4.5,9,0.95,0.75,2,2.25,0,0,1,1
"Turner",2005,2.25,4.5,9,0.95,0.75,2,2.25,0,0,1,1
"Keizer",2021,2.25,4.5,9,0.95,0.75,2,2.25,0,0,1,1
"Marion_Inside_UGB_1",2021,2.25,4.5,9,0.95,0.75,2,2.25,0,0,1,1
"Marion_Inside_UGB_2",2021,2.25,4.5,9,0.95,0.75,2,2.25,0,0,1,1
"Marion_Inside_UGB_3",2021,2.25,4.5,9,0.95,0.75,2,2.25,0,0,1,1
"Marion_Outside_UGB",2021,2.25,4.5,9,0.95,0.75,2,2.25,0,0,1,1
"Polk",2021,2.13719380042097,4.27438760084194,9,0.95,0.75,2,2.25,0,0,1,1
"Salem_1",2021,2.13719380042097,4.27438760084194,9,0.95,0.75,2,2.25,0,0,1,1
"Salem_2",2021,2.13719380042097,4.27438760084194,9,0.95,0.75,2,2.25,0,0,1,1
"Salem_3",2021,2.25,4.5,9,0.95,0.75,2,2.25,0,0,1,1
"Salem_4",2021,2.25,4.5,9,0.95,0.75,2,2.25,0,0,1,1
"Salem_5",2021,2.25,4.5,9,0.95,0.75,2,2.25,0,0,1,1
"Turner",2021,2.25,4.5,9,0.95,0.75,2,2.25,0,0,1,1
"Polk",2050,2.13719380042097,4.27438760084194,5,0.95,0.85,2,2.25,0,0,1,1
"Salem_1",2050,2.13719380042097,4.27438760084194,5,0.95,0.85,2,2.25,0,0,1,1
"Salem_2",2050,2.13719380042097,4.27438760084194,5,0.95,0.85,2,2.25,0,0,1,1
"Marion_Outside_UGB",2050,2.13719380042097,4.27438760084194,5,0.95,0.85,2,2.25,0,0,1,1
"Keizer",2050,2.13719380042097,4.27438760084194,5,0.95,0.85,2,2.25,0,0,1,1
"Salem_4",2050,2.13719380042097,4.27438760084194,5,0.95,0.85,2,2.25,0,0,1,1
"Marion_Inside_UGB_1",2050,2.13719380042097,4.27438760084194,5,0.95,0.85,2,2.25,0,0,1,1
"Marion_Inside_UGB_2",2050,2.13719380042097,4.27438760084194,5,0.95,0.85,2,2.25,0,0,1,1
"Salem_5",2050,2.13719380042097,4.27438760084194,5,0.95,0.85,2,2.25,0,0,1,1
"Salem_3",2050,2.13719380042097,4.27438760084194,5,0.95,0.85,2,2.25,0,0,1,1
"Marion_Inside_UGB_3",2050,2.13719380042097,4.27438760084194,5,0.95,0.85,2,2.25,0,0,1,1
"Turner",2050,2.13719380042097,4.27438760084194,5,0.95,0.85,2,2.25,0,0,1,1
