"Geo","Year","PaydHhProp"
"Polk",2005,0
"Salem_1",2005,0
"Salem_2",2005,0
"Marion_Outside_UGB",2005,0
"Keizer",2005,0
"Salem_4",2005,0
"Marion_Inside_UGB_1",2005,0
"Marion_Inside_UGB_2",2005,0
"Salem_5",2005,0
"Salem_3",2005,0
"Marion_Inside_UGB_3",2005,0
"Turner",2005,0
"Polk",2021,0.01
"Salem_1",2021,0.01
"Salem_2",2021,0.01
"Marion_Outside_UGB",2021,0.01
"Keizer",2021,0.01
"Salem_4",2021,0.01
"Marion_Inside_UGB_1",2021,0.01
"Marion_Inside_UGB_2",2021,0.01
"Salem_5",2021,0.01
"Salem_3",2021,0.01
"Marion_Inside_UGB_3",2021,0.01
"Turner",2021,0.01
"Polk",2050,1
"Salem_1",2050,1
"Salem_2",2050,1
"Marion_Outside_UGB",2050,1
"Keizer",2050,1
"Salem_4",2050,1
"Marion_Inside_UGB_1",2050,1
"Marion_Inside_UGB_2",2050,1
"Salem_5",2050,1
"Salem_3",2050,1
"Marion_Inside_UGB_3",2050,1
"Turner",2050,1
