"Geo","Year","HHIncomePC.2021","GQIncomePC.2021"
"Keizer",2005,27518,0
"Marion_Inside_UGB_1",2005,20971,0
"Marion_Inside_UGB_2",2005,20808,0
"Marion_Inside_UGB_3",2005,24893,0
"Marion_Outside_UGB",2005,32713,0
"Polk",2005,36640,0
"Salem_1",2005,37223,0
"Salem_2",2005,29187,0
"Salem_3",2005,27764,0
"Salem_4",2005,20738,13428
"Salem_5",2005,31632,13350
"Turner",2005,38511,0
"Keizer",2021,30674,0
"Marion_Inside_UGB_1",2021,23376,0
"Marion_Inside_UGB_2",2021,23195,0
"Marion_Inside_UGB_3",2021,27748,0
"Marion_Outside_UGB",2021,36466,0
"Polk",2021,40238,0
"Salem_1",2021,40879,0
"Salem_2",2021,32053,0
"Salem_3",2021,30948,0
"Salem_4",2021,23116,14968
"Salem_5",2021,35260,14881
"Turner",2021,42928,0
"Keizer",2050,40432,0
"Marion_Inside_UGB_1",2050,30813,0
"Marion_Inside_UGB_2",2050,30573,0
"Marion_Inside_UGB_3",2050,36575,0
"Marion_Outside_UGB",2050,48066,0
"Polk",2050,53038,0
"Salem_1",2050,53882,0
"Salem_2",2050,42250,0
"Salem_3",2050,40793,0
"Salem_4",2050,30470,19730
"Salem_5",2050,46477,19615
"Turner",2050,56584,0
