Geo,Year,SFDU,MFDU,GQDU
31,2005,39,0,0
31,2021,44,0,0
31,2050,42,5,0
32,2005,41,0,0
32,2021,47,0,0
32,2050,48,1,0
33,2005,59,0,0
33,2021,67,0,0
33,2050,104,2,0
34,2005,37,0,0
34,2021,42,0,0
34,2050,78,1,0
35,2005,38,0,0
35,2021,43,0,0
35,2050,50,2,0
36,2005,86,0,0
36,2021,98,0,0
36,2050,149,6,0
37,2005,92,0,0
37,2021,103,0,0
37,2050,69,56,0
38,2005,19,3,0
38,2021,21,3,0
38,2050,23,4,0
39,2005,94,0,0
39,2021,106,0,0
39,2050,101,1,0
40,2005,68,0,0
40,2021,76,0,0
40,2050,624,166,0
41,2005,92,0,0
41,2021,103,0,0
41,2050,117,1,0
42,2005,18,0,0
42,2021,20,0,0
42,2050,60,0,0
43,2005,71,309,0
43,2021,80,360,0
43,2050,16,84,0
44,2005,468,2,0
44,2021,528,2,0
44,2050,486,125,0
45,2005,579,5,0
45,2021,653,6,0
45,2050,860,8,0
47,2005,124,84,0
47,2021,140,98,0
47,2050,165,89,0
48,2005,2,0,0
48,2021,3,0,0
48,2050,3,86,0
49,2005,463,124,0
49,2021,522,144,0
49,2050,647,162,0
50,2005,113,4,0
50,2021,128,4,0
50,2050,670,189,0
51,2005,372,476,0
51,2021,420,555,0
51,2050,558,683,0
52,2005,433,441,0
52,2021,489,514,0
52,2050,295,472,0
53,2005,86,237,0
53,2021,97,276,0
53,2050,80,337,0
54,2005,743,37,0
54,2021,839,44,0
54,2050,996,37,0
55,2005,140,0,0
55,2021,158,0,0
55,2050,197,49,0
56,2005,626,0,0
56,2021,707,0,0
56,2050,823,9,0
61,2005,35,588,0
61,2021,40,685,0
61,2050,90,816,0
64,2005,0,1,0
64,2021,0,1,0
64,2050,53,472,0
65,2005,183,14,0
65,2021,207,16,0
65,2050,26,241,0
66,2005,557,10,0
66,2021,629,12,0
66,2050,685,7,0
67,2005,710,109,0
67,2021,802,127,0
67,2050,975,134,0
70,2005,389,4,0
70,2021,439,4,0
70,2050,554,6,0
71,2005,280,239,0
71,2021,316,278,0
71,2050,331,306,0
74,2005,138,116,0
74,2021,155,135,0
74,2050,161,125,0
75,2005,256,184,0
75,2021,288,215,0
75,2050,322,196,0
76,2005,2,105,0
76,2021,2,122,0
76,2050,0,1,0
77,2005,4,13,0
77,2021,4,15,0
77,2050,10,38,0
78,2005,170,115,0
78,2021,192,134,0
78,2050,212,131,0
80,2005,36,0,0
80,2021,41,0,0
80,2050,51,4,0
81,2005,38,0,0
81,2021,42,0,0
81,2050,22,0,0
82,2005,828,73,0
82,2021,935,85,0
82,2050,975,89,0
83,2005,73,0,0
83,2021,82,0,0
83,2050,102,11,0
84,2005,31,0,0
84,2021,35,0,0
84,2050,32,15,0
85,2005,41,0,0
85,2021,46,0,0
85,2050,33,1,0
86,2005,30,0,0
86,2021,34,0,0
86,2050,23,0,0
87,2005,670,31,0
87,2021,757,36,0
87,2050,790,38,0
88,2005,366,146,0
88,2021,413,170,0
88,2050,431,177,0
89,2005,569,185,0
89,2021,642,216,0
89,2050,670,225,0
90,2005,140,143,0
90,2021,158,167,0
90,2050,165,174,0
91,2005,227,483,0
91,2021,256,563,0
91,2050,267,587,0
92,2005,318,31,0
92,2021,359,36,0
92,2050,374,38,0
94,2005,337,9,0
94,2021,380,11,0
94,2050,396,11,0
95,2005,212,104,0
95,2021,239,121,0
95,2050,249,126,0
100,2005,186,280,0
100,2021,210,326,0
100,2050,219,340,0
103,2005,373,128,0
103,2021,422,149,0
103,2050,440,155,0
104,2005,201,190,0
104,2021,226,221,0
104,2050,236,230,0
107,2005,431,261,0
107,2021,487,304,0
107,2050,508,317,0
110,2005,438,88,0
110,2021,494,103,0
110,2050,515,107,0
111,2005,465,4,0
111,2021,525,4,0
111,2050,548,4,0
112,2005,377,190,0
112,2021,426,221,0
112,2050,444,230,0
114,2005,331,110,0
114,2021,373,129,0
114,2050,389,135,0
116,2005,343,145,0
116,2021,387,169,0
116,2050,404,176,0
117,2005,326,268,0
117,2021,368,312,0
117,2050,384,325,0
118,2005,77,469,0
118,2021,87,546,0
118,2050,91,569,0
120,2005,530,415,0
120,2021,598,483,0
120,2050,624,504,0
124,2005,165,100,0
124,2021,187,117,0
124,2050,195,122,0
125,2005,68,385,0
125,2021,76,448,0
125,2050,79,467,0
126,2005,5,105,0
126,2021,5,122,0
126,2050,5,127,0
128,2005,255,351,0
128,2021,288,409,0
128,2050,300,427,0
129,2005,89,0,0
129,2021,101,0,0
129,2050,115,49,0
130,2005,89,0,0
130,2021,101,0,0
130,2050,45,74,0
131,2005,11,0,0
131,2021,13,0,0
131,2050,18,0,0
132,2005,170,6,0
132,2021,192,7,0
132,2050,227,9,0
133,2005,66,0,0
133,2021,75,0,0
133,2050,127,7,0
134,2005,68,0,0
134,2021,77,0,0
134,2050,77,10,0
135,2005,5,0,0
135,2021,5,0,0
135,2050,5,3,0
136,2005,250,0,0
136,2021,282,0,0
136,2050,0,629,0
137,2005,340,0,0
137,2021,383,0,0
137,2050,671,0,0
138,2005,18,0,0
138,2021,20,0,0
138,2050,21,0,0
139,2005,48,0,0
139,2021,54,0,0
139,2050,80,0,0
140,2005,1241,205,0
140,2021,1401,239,0
140,2050,1506,308,0
141,2005,294,245,0
141,2021,332,286,0
141,2050,269,428,0
143,2005,190,0,0
143,2021,215,0,0
143,2050,20,270,0
144,2005,184,0,0
144,2021,208,0,0
144,2050,0,90,0
146,2005,490,288,0
146,2021,553,336,0
146,2050,556,185,0
147,2005,910,60,0
147,2021,1027,70,0
147,2050,1201,133,0
148,2005,480,348,0
148,2021,542,406,0
148,2050,613,408,0
149,2005,92,674,0
149,2021,103,785,0
149,2050,83,749,0
150,2005,154,1622,0
150,2021,174,1889,0
150,2050,117,1845,0
151,2005,2,61,0
151,2021,2,71,0
151,2050,0,207,0
152,2005,31,0,0
152,2021,35,0,0
152,2050,40,8,0
153,2005,31,0,0
153,2021,35,0,0
153,2050,48,5,0
154,2005,764,75,0
154,2021,863,87,0
154,2050,884,264,0
155,2005,765,83,0
155,2021,863,97,0
155,2050,507,596,0
156,2005,228,309,0
156,2021,258,360,0
156,2050,291,606,0
158,2005,114,644,0
158,2021,129,750,0
158,2050,144,927,0
162,2005,70,9,0
162,2021,79,11,0
162,2050,39,47,0
164,2005,73,583,0
164,2021,82,679,0
164,2050,57,689,0
168,2005,386,20,0
168,2021,436,23,0
168,2050,369,278,0
169,2005,25,0,0
169,2021,28,0,0
169,2050,9,0,0
170,2005,104,0,0
170,2021,118,0,0
170,2050,126,33,0
171,2005,53,0,0
171,2021,60,0,0
171,2050,71,0,0
172,2005,869,30,0
172,2021,981,35,0
172,2050,1055,186,0
173,2005,390,668,0
173,2021,440,778,0
173,2050,435,998,0
180,2005,888,321,0
180,2021,1002,374,0
180,2050,1152,624,0
185,2005,153,4,0
185,2021,173,4,0
185,2050,247,5,0
186,2005,122,0,0
186,2021,138,0,0
186,2050,463,0,0
189,2005,335,215,0
189,2021,378,251,0
189,2050,474,485,0
193,2005,2,0,0
193,2021,3,0,0
193,2050,2,2,0
194,2005,132,391,0
194,2021,149,456,0
194,2050,177,472,0
196,2005,1890,1114,0
196,2021,2133,1297,0
196,2050,1861,940,0
200,2005,129,16,0
200,2021,145,19,0
200,2050,659,510,0
204,2005,8,0,0
204,2021,9,0,0
204,2050,9,0,0
205,2005,65,0,0
205,2021,74,0,0
205,2050,113,0,0
206,2005,68,0,0
206,2021,76,0,0
206,2050,96,1,0
207,2005,454,0,0
207,2021,512,0,0
207,2050,595,32,0
211,2005,8,0,0
211,2021,8,0,0
211,2050,9,0,0
212,2005,3,310,0
212,2021,3,361,0
212,2050,4,381,0
213,2005,90,432,0
213,2021,102,504,0
213,2050,115,605,0
214,2005,355,482,0
214,2021,401,562,0
214,2050,450,529,0
220,2005,6,119,0
220,2021,7,139,0
220,2050,8,200,0
221,2005,0,1,0
221,2021,0,1,0
221,2050,0,1,0
222,2005,7,11,0
222,2021,8,13,0
222,2050,7,13,0
223,2005,0,1,0
223,2021,0,1,0
223,2050,0,1,0
224,2005,1,0,0
224,2021,1,0,0
224,2050,0,1,0
225,2005,4,0,0
225,2021,4,0,0
225,2050,6,76,0
226,2005,77,33,0
226,2021,87,38,0
226,2050,62,70,0
227,2005,189,287,0
227,2021,213,335,0
227,2050,63,562,0
229,2005,35,27,0
229,2021,40,32,0
229,2050,50,46,0
230,2005,180,102,0
230,2021,204,119,0
230,2050,223,114,0
231,2005,116,26,0
231,2021,131,31,0
231,2050,140,28,0
232,2005,322,83,0
232,2021,363,97,0
232,2050,57,510,0
233,2005,98,71,0
233,2021,110,83,0
233,2050,125,87,0
234,2005,79,105,0
234,2021,89,122,0
234,2050,102,110,0
235,2005,38,36,0
235,2021,42,41,0
235,2050,48,37,0
236,2005,30,24,0
236,2021,34,28,0
236,2050,11,55,0
237,2005,98,275,0
237,2021,111,320,0
237,2050,103,363,0
238,2005,140,225,0
238,2021,158,262,0
238,2050,82,729,0
242,2005,156,115,0
242,2021,176,134,0
242,2050,209,177,0
243,2005,3,0,0
243,2021,3,0,0
243,2050,0,1,0
244,2005,230,33,0
244,2021,260,38,0
244,2050,293,36,0
245,2005,226,41,0
245,2021,255,48,0
245,2050,266,51,0
246,2005,112,71,0
