"Geo","Year","MixUseProp"
31,2005,NA
32,2005,NA
33,2005,NA
34,2005,NA
35,2005,NA
36,2005,NA
37,2005,NA
38,2005,NA
39,2005,NA
40,2005,NA
41,2005,NA
42,2005,NA
43,2005,NA
44,2005,NA
47,2005,NA
48,2005,NA
49,2005,NA
53,2005,NA
61,2005,NA
120,2005,NA
124,2005,NA
226,2005,NA
227,2005,NA
447,2005,NA
45,2005,NA
50,2005,NA
51,2005,NA
52,2005,NA
54,2005,NA
55,2005,NA
56,2005,NA
64,2005,NA
65,2005,NA
78,2005,NA
66,2005,NA
67,2005,NA
70,2005,NA
71,2005,NA
74,2005,NA
75,2005,NA
76,2005,NA
77,2005,NA
80,2005,NA
81,2005,NA
82,2005,NA
83,2005,NA
443,2005,NA
84,2005,NA
85,2005,NA
86,2005,NA
87,2005,NA
88,2005,NA
89,2005,NA
90,2005,NA
91,2005,NA
92,2005,NA
94,2005,NA
95,2005,NA
100,2005,NA
103,2005,NA
104,2005,NA
107,2005,NA
110,2005,NA
111,2005,NA
112,2005,NA
114,2005,NA
116,2005,NA
117,2005,NA
118,2005,NA
125,2005,NA
126,2005,NA
128,2005,NA
129,2005,NA
130,2005,NA
131,2005,NA
132,2005,NA
133,2005,NA
134,2005,NA
136,2005,NA
137,2005,NA
135,2005,NA
138,2005,NA
139,2005,NA
140,2005,NA
141,2005,NA
143,2005,NA
144,2005,NA
146,2005,NA
147,2005,NA
148,2005,NA
149,2005,NA
150,2005,NA
151,2005,NA
152,2005,NA
153,2005,NA
154,2005,NA
155,2005,NA
156,2005,NA
158,2005,NA
162,2005,NA
164,2005,NA
168,2005,NA
169,2005,NA
170,2005,NA
171,2005,NA
172,2005,NA
173,2005,NA
180,2005,NA
185,2005,NA
186,2005,NA
189,2005,NA
193,2005,NA
194,2005,NA
196,2005,NA
200,2005,NA
204,2005,NA
205,2005,NA
206,2005,NA
207,2005,NA
211,2005,NA
212,2005,NA
213,2005,NA
214,2005,NA
220,2005,NA
221,2005,NA
222,2005,NA
223,2005,NA
224,2005,NA
225,2005,NA
229,2005,NA
230,2005,NA
231,2005,NA
232,2005,NA
233,2005,NA
234,2005,NA
235,2005,NA
236,2005,NA
237,2005,NA
238,2005,NA
242,2005,NA
243,2005,NA
244,2005,NA
245,2005,NA
246,2005,NA
249,2005,NA
254,2005,NA
256,2005,NA
257,2005,NA
258,2005,NA
259,2005,NA
260,2005,NA
261,2005,NA
279,2005,NA
280,2005,NA
281,2005,NA
282,2005,NA
283,2005,NA
284,2005,NA
285,2005,NA
286,2005,NA
289,2005,NA
290,2005,NA
294,2005,NA
295,2005,NA
296,2005,NA
298,2005,NA
299,2005,NA
300,2005,NA
301,2005,NA
302,2005,NA
303,2005,NA
304,2005,NA
309,2005,NA
310,2005,NA
312,2005,NA
313,2005,NA
314,2005,NA
322,2005,NA
323,2005,NA
324,2005,NA
330,2005,NA
332,2005,NA
333,2005,NA
334,2005,NA
335,2005,NA
336,2005,NA
338,2005,NA
345,2005,NA
346,2005,NA
347,2005,NA
350,2005,NA
357,2005,NA
354,2005,NA
358,2005,NA
359,2005,NA
360,2005,NA
361,2005,NA
362,2005,NA
363,2005,NA
365,2005,NA
366,2005,NA
368,2005,NA
376,2005,NA
373,2005,NA
374,2005,NA
378,2005,NA
379,2005,NA
380,2005,NA
381,2005,NA
382,2005,NA
426,2005,NA
383,2005,NA
384,2005,NA
388,2005,NA
389,2005,NA
421,2005,NA
390,2005,NA
395,2005,NA
396,2005,NA
411,2005,NA
414,2005,NA
415,2005,NA
416,2005,NA
417,2005,NA
418,2005,NA
419,2005,NA
451,2005,NA
420,2005,NA
422,2005,NA
423,2005,NA
424,2005,NA
427,2005,NA
428,2005,NA
429,2005,NA
430,2005,NA
431,2005,NA
432,2005,NA
433,2005,NA
434,2005,NA
435,2005,NA
436,2005,NA
437,2005,NA
439,2005,NA
442,2005,NA
444,2005,NA
