"Geo","Year","VehOwnFlatRateFee.2005","VehOwnAdValoremTax"
"Keizer",2005,59.7,0
"Marion_Inside_UGB_1",2005,59.7,0
"Marion_Inside_UGB_2",2005,59.7,0
"Marion_Inside_UGB_3",2005,59.7,0
"Marion_Outside_UGB",2005,59.7,0
"Polk",2005,59.7,0
"Salem_1",2005,59.7,0
"Salem_2",2005,59.7,0
"Salem_3",2005,59.7,0
"Salem_4",2005,59.7,0
"Salem_5",2005,59.7,0
"Turner",2005,59.7,0
"Keizer",2021,100.7,0
"Marion_Inside_UGB_1",2021,100.7,0
"Marion_Inside_UGB_2",2021,100.7,0
"Marion_Inside_UGB_3",2021,100.7,0
"Marion_Outside_UGB",2021,100.7,0
"Polk",2021,100.7,0
"Salem_1",2021,100.7,0
"Salem_2",2021,100.7,0
"Salem_3",2021,100.7,0
"Salem_4",2021,100.7,0
"Salem_5",2021,100.7,0
"Turner",2021,100.7,0
"Polk",2050,39,0
"Salem_1",2050,39,0
"Salem_2",2050,39,0
"Marion_Outside_UGB",2050,39,0
"Keizer",2050,39,0
"Salem_4",2050,39,0
"Marion_Inside_UGB_1",2050,39,0
"Marion_Inside_UGB_2",2050,39,0
"Salem_5",2050,39,0
"Salem_3",2050,39,0
"Marion_Inside_UGB_3",2050,39,0
"Turner",2050,39,0
