Geo,Year,AveHhSize,Prop1PerHh
Keizer,2005,2.68,0.22
Marion_Inside_UGB_1,2005,2.94,0.19
Marion_Inside_UGB_2,2005,2.89,0.19
Marion_Inside_UGB_3,2005,2.75,0.32
Marion_Outside_UGB,2005,2.76,0.18
Polk,2005,2.5,0.27
Salem_1,2005,2.55,0.26
Salem_2,2005,2.27,0.45
Salem_3,2005,2.1,0.53
Salem_4,2005,2.62,0.29
Salem_5,2005,2.47,0.29
Turner,2005,2.23,0.19
Keizer,2021,2.76,0.23
Marion_Inside_UGB_1,2021,3.03,0.2
Marion_Inside_UGB_2,2021,2.99,0.19
Marion_Inside_UGB_3,2021,2.84,0.33
Marion_Outside_UGB,2021,2.85,0.18
Polk,2021,2.55,0.27
Salem_1,2021,2.6,0.26
Salem_2,2021,2.31,0.45
Salem_3,2021,2.17,0.54
Salem_4,2021,2.71,0.3
Salem_5,2021,2.55,0.3
Turner,2021,2.3,0.2
Keizer,2050,2.85,0.23
Marion_Inside_UGB_1,2050,3.14,0.2
Marion_Inside_UGB_2,2050,3.01,0.19
Marion_Inside_UGB_3,2050,3.07,0.33
Marion_Outside_UGB,2050,3.01,0.18
Polk,2050,3.08,0.27
Salem_1,2050,2.75,0.26
Salem_2,2050,2.89,0.45
Salem_3,2050,2.2,0.54
Salem_4,2050,2.86,0.3
Salem_5,2050,2.5,0.3
Turner,2050,1.9,0.2
