Geo,Year,Age0to14,Age15to19,Age20to29,Age30to54,Age55to64,Age65Plus
Keizer,2005,7917,2501,5260,12056,3486,4146
Marion_Inside_UGB_1,2005,6267,1980,4163,9543,2759,3281
Marion_Inside_UGB_2,2005,3497,1105,2323,5325,1540,1831
Marion_Inside_UGB_3,2005,65,21,43,100,29,34
Marion_Outside_UGB,2005,2209,698,1468,3364,973,1157
Polk,2005,800,326,651,1311,463,596
Salem_1,2005,4422,1802,3597,7242,2559,3291
Salem_2,2005,279,114,227,457,162,208
Salem_3,2005,1021,322,678,1554,449,534
Salem_4,2005,9388,2966,6236,14295,4133,4915
Salem_5,2005,14178,4479,9419,21590,6242,7424
Turner,2005,458,145,305,698,202,240
Keizer,2021,8309,2841,5468,13258,4827,7245
Marion_Inside_UGB_1,2021,6591,2253,4337,10516,3829,5747
Marion_Inside_UGB_2,2021,3673,1256,2417,5860,2134,3203
Marion_Inside_UGB_3,2021,68,23,44,108,39,59
Marion_Outside_UGB,2021,2294,784,1510,3660,1333,2000
Polk,2021,865,333,787,1384,537,925
Salem_1,2021,4788,1842,4355,7655,2971,5116
Salem_2,2021,309,119,281,494,192,330
Salem_3,2021,1082,370,712,1726,628,943
Salem_4,2021,9874,3376,6498,15754,5736,8610
Salem_5,2021,14865,5082,9783,23718,8636,12962
Turner,2021,479,164,315,764,278,417
Keizer,2050,7020,2429,5442,13770,5402,9864
Marion_Inside_UGB_1,2050,5795,2006,4492,11368,4459,8143
Marion_Inside_UGB_2,2050,2975,1030,2306,5835,2290,4180
Marion_Inside_UGB_3,2050,234,82,182,460,180,329
Marion_Outside_UGB,2050,2692,932,2087,5280,2072,3782
Polk,2050,923,362,778,1878,652,1119
Salem_1,2050,5641,2216,4753,11472,3980,6838
Salem_2,2050,669,262,563,1359,472,810
Salem_3,2050,1540,532,1193,3020,1185,2163
Salem_4,2050,10247,3547,7944,20100,7885,14398
Salem_5,2050,16012,5542,12413,31408,12322,22499
Turner,2050,488,169,378,958,376,686
