Geo,Year,PkgSpacesPerSFDU,PkgSpacesPerMFDU,PkgSpacesPerGQ,PropNonWrkTripPay,PropWkrPay,PropCashOut,PkgCost.2010
31,2005,10,4,0.75,0,0,0,0
32,2005,6,2,1,0,0,0,0
33,2005,10,4,0.75,0,0,0,0
34,2005,6,2,1,0,0,0,0
35,2005,6,2,1,0,0,0,0
36,2005,10,4,0.75,0,0,0,0
37,2005,6,2,1,0,0,0,0
38,2005,6,2,1,0,0,0,0
39,2005,6,2,1,0,0,0,0
40,2005,4,1.75,0,0,0,0,0
41,2005,6,2,1,0,0,0,0
42,2005,6,2,1,0,0,0,0
43,2005,6,2,1,0,0,0,0
44,2005,4,1.75,0,0,0,0,0
45,2005,4,1.75,0,0,0,0,0
47,2005,4,1.75,0,0,0,0,0
48,2005,4,1.75,0,0,0,0,0
49,2005,4,1.75,0,0,0,0,0
50,2005,4,1.75,0,0,0,0,0
51,2005,4,1.75,0,0,0,0,0
52,2005,4,1.75,0,0,0,0,0
53,2005,4,1.75,0,0,0,0,0
54,2005,4,1.75,0,0,0,0,0
55,2005,4,1.75,0,0,0.05,0,0
56,2005,6,2,1,0,0,0,0
61,2005,4,1.75,0,0,0.05,0,0
64,2005,4,1.75,0,0,0.05,0,0
65,2005,4,1.75,0,0,0,0,0
66,2005,4,1.75,0,0,0,0,0
67,2005,4,1.75,0,0,0,0,0
70,2005,4,1.75,0,0,0,0,0
71,2005,4,1.75,0,0,0,0,0
74,2005,4,1.75,0,0,0,0,0
75,2005,4,1.75,0,0,0,0,0
76,2005,2,1.75,0,0,0.05,0,0
77,2005,2,1.75,0,0,0.05,0,0
78,2005,2,1.75,0,0.025,0.125,0,0
80,2005,6,2,1,0,0,0,0
81,2005,6,2,1,0,0,0,0
82,2005,6,2,1,0,0,0,0
83,2005,6,2,1,0,0,0,0
84,2005,10,4,0.75,0,0,0,0
85,2005,10,4,0.75,0,0,0,0
86,2005,6,2,1,0,0,0,0
87,2005,6,2,1,0,0,0,0
88,2005,6,2,1,0,0,0,0
89,2005,6,2,1,0,0,0,0
90,2005,6,2,1,0,0,0,0
91,2005,6,2,1,0,0,0,0
92,2005,6,2,1,0,0.05,0,0
94,2005,6,2,1,0,0,0,0
95,2005,6,2,1,0,0,0,0
100,2005,6,2,1,0,0,0,0
103,2005,6,2,1,0,0,0,0
104,2005,6,2,1,0,0,0,0
107,2005,6,2,1,0,0,0,0
110,2005,6,2,1,0,0,0,0
111,2005,6,2,1,0,0,0,0
112,2005,6,2,1,0,0,0,0
114,2005,6,2,1,0,0,0,0
116,2005,6,2,1,0,0,0,0
117,2005,6,2,1,0,0,0,0
118,2005,6,2,1,0.025,0.125,0,0
120,2005,6,2,1,0,0,0,0
124,2005,6,2,1,0,0,0,0
125,2005,6,2,1,0.025,0.125,0,0
126,2005,6,2,1,0,0.05,0,0
128,2005,6,2,1,0,0,0,0
129,2005,10,4,0.75,0,0,0,0
130,2005,10,4,0.75,0,0,0,0
131,2005,6,2,1,0,0,0,0
132,2005,6,2,1,0,0,0,0
133,2005,10,4,0.75,0,0,0,0
134,2005,6,2,1,0,0.05,0,0
135,2005,4,1.75,0,0,0,0,0
136,2005,4,1.75,0,0,0,0,0
137,2005,4,1.75,0,0,0,0,0
138,2005,10,4,0.75,0,0,0,0
139,2005,10,4,0.75,0,0,0,0
140,2005,6,2,1,0,0,0,0
141,2005,6,2,1,0,0,0,0
143,2005,4,1.75,0,0,0.05,0,3.02
144,2005,4,1.75,0,0,0.05,0,3.02
146,2005,6,2,1,0,0,0,0
147,2005,6,2,1,0,0,0,0
148,2005,6,2,1,0,0,0,0
149,2005,6,2,1,0,0.05,0,0
150,2005,6,2,1,0,0,0,0
151,2005,4,1.75,0,0,0,0,0
152,2005,10,4,0.75,0,0,0,0
153,2005,10,4,0.75,0,0,0,0
154,2005,6,2,1,0,0,0,0
155,2005,6,2,1,0,0,0,0
156,2005,6,2,1,0,0,0,0
158,2005,4,1.75,0,0,0,0,0
162,2005,4,1.75,0,0,0.05,0,0
164,2005,4,1.75,0,0,0,0,0
168,2005,4,1.75,0,0,0,0,0
169,2005,10,4,0.75,0,0,0,0
170,2005,10,4,0.75,0,0,0,0
171,2005,10,4,0.75,0,0,0,0
172,2005,4,1.75,0,0,0,0,0
173,2005,4,1.75,0,0,0,0,0
180,2005,6,2,1,0,0,0,0
185,2005,10,4,0.75,0,0,0,0
186,2005,6,2,1,0,0,0,0
189,2005,6,2,1,0,0,0,0
193,2005,10,4,0.75,0,0,0,0
194,2005,6,2,1,0,0,0,0
196,2005,6,2,1,0,0,0,0
200,2005,4,1.75,0,0,0.05,0,0
204,2005,6,2,1,0,0,0,0
205,2005,6,2,1,0,0,0,0
206,2005,10,4,0.75,0,0,0,0
207,2005,10,4,0.75,0,0,0,0
211,2005,4,1.75,0,0,0.05,0,3.02
212,2005,4,1.75,0,0,0.05,0,3.02
213,2005,4,1.75,0,0.025,0.125,0,3.65
214,2005,4,1.75,0,0,0,0,0
220,2005,4,1.75,0,0,0.05,0,3.02
221,2005,4,1.75,0,0,0.05,0,3.02
222,2005,4,1.75,0,0,0.05,0,0
223,2005,4,1.75,0,0,0.05,0,3.02
224,2005,4,1.75,0,0,0,0,0
225,2005,4,1.75,0,0,0.05,0,0
226,2005,4,1.75,0,0,0.05,0,0
227,2005,4,1.75,0,0.025,0.125,0,3.65
229,2005,2,1.75,0,0.025,0.125,0,3.65
230,2005,2,1.75,0,0,0,0,0
231,2005,2,1.75,0,0,0,0,0
232,2005,2,1.75,0,0,0,0,0
233,2005,2,1.75,0,0.025,0.125,0,0
234,2005,2,1.75,0,0.025,0.125,0,0
235,2005,2,1.75,0,0,0.05,0,3.02
236,2005,4,1.75,0,0.025,0.125,0,3.65
237,2005,4,1.75,0,0.025,0.125,0,3.65
238,2005,4,1.75,0,0.025,0.125,0,3.65
242,2005,4,1.75,0,0.025,0.125,0,3.65
243,2005,2,1.75,0,0,0.05,0,3.02
244,2005,4,1.75,0,0,0,0,0
245,2005,2,1.75,0,0,0,0,0
246,2005,2,1.75,0,0.025,0.125,0,3.65
249,2005,2,1,0,0.025,0.125,0,3.65
254,2005,4,1.75,0,0.025,0.125,0,3.65
256,2005,2,1.75,0,0.025,0.125,0,3.65
257,2005,2,1.75,0,0.025,0.125,0,3.65
258,2005,2,1.75,0,0,0.05,0,0
259,2005,2,1.75,0,0,0.05,0,3.02
260,2005,2,1.75,0,0.025,0.125,0,3.65
261,2005,4,1.75,0,0.025,0.125,0,3.65
279,2005,3,1.75,0,0.025,0.125,0,0
280,2005,4,1.75,0,0.025,0.125,0,3.65
281,2005,1,1.75,0,0.025,0.125,0,0
282,2005,4,1.75,0,0,0,0,0
283,2005,4,1.75,0,0,0,0,0
284,2005,4,1.75,0,0,0,0,0
285,2005,4,1.75,0,0,0,0,0
286,2005,2,1.75,0,0,0,0,0
289,2005,4,1.75,0,0,0,0,0
290,2005,2,1.75,0,0,0,0,0
294,2005,2,1.75,0,0,0.05,0,3.02
295,2005,4,1.75,0,0,0,0,0
296,2005,4,1.75,0,0,0,0,0
298,2005,4,1.75,0,0,0,0,0
299,2005,2,1.75,0,0,0.05,0,3.02
300,2005,4,1.75,0,0,0,0,0
301,2005,4,1.75,0,0.025,0.125,0,3.65
302,2005,2,1.75,0,0.025,0.125,0,0
303,2005,2,1.75,0,0,0,0,0
304,2005,2,1.75,0,0,0.05,0,3.02
309,2005,4,1.75,0,0.025,0.125,0,3.65
310,2005,2,1.75,0,0,0,0,0
312,2005,2,1.75,0,0.025,0.125,0,3.65
313,2005,2,1.75,0,0,0.05,0,3.02
314,2005,2,1.75,0,0.025,0.125,0,3.65
322,2005,3,1.75,0,0,0,0,0
323,2005,4,1.75,0,0,0,0,0
324,2005,4,1.75,0,0,0,0,0
330,2005,3,1.75,0,0,0.05,0,3.02
332,2005,4,1.75,0,0,0,0,0
333,2005,4,1.75,0,0,0,0,0
334,2005,4,1.75,0,0,0,0,0
