Geo,Year,ElectricityCI
1,2005,176.6996378
2,2005,176.6996378
3,2005,176.6996378
4,2005,176.6996378
5,2005,187.9890614
6,2005,187.9890614
7,2005,187.9890614
8,2005,187.9890614
9,2005,187.9890614
10,2005,187.9890614
11,2005,187.9890614
12,2005,187.9890614
13,2005,187.9890614
14,2005,175.7672524
15,2005,175.7672524
16,2005,175.7672524
17,2005,175.7672524
18,2005,154.0011353
19,2005,154.0011353
20,2005,154.0011353
1,2010,172.0377107
2,2010,172.0377107
3,2010,172.0377107
4,2010,172.0377107
5,2010,183.1633368
6,2010,183.1633368
7,2010,183.1633368
8,2010,183.1633368
9,2010,183.1633368
10,2010,183.1633368
11,2010,183.1633368
12,2010,183.1633368
13,2010,183.1633368
14,2010,171.1431247
15,2010,171.1431247
16,2010,171.1431247
17,2010,171.1431247
18,2010,142.9439298
19,2010,142.9439298
20,2010,142.9439298
1,2020,138.1324805
2,2020,138.1324805
3,2020,138.1324805
4,2020,138.1324805
5,2020,146.4767001
6,2020,146.4767001
7,2020,146.4767001
8,2020,146.4767001
9,2020,146.4767001
10,2020,146.4767001
11,2020,146.4767001
12,2020,146.4767001
13,2020,146.4767001
14,2020,137.461541
15,2020,137.461541
16,2020,137.461541
17,2020,137.461541
18,2020,120.8295189
19,2020,120.8295189
20,2020,120.8295189
1,2025,121.1798653
2,2025,121.1798653
3,2025,121.1798653
4,2025,121.1798653
5,2025,128.1333816
6,2025,128.1333816
7,2025,128.1333816
8,2025,128.1333816
9,2025,128.1333816
10,2025,128.1333816
11,2025,128.1333816
12,2025,128.1333816
13,2025,128.1333816
14,2025,120.6207491
15,2025,120.6207491
16,2025,120.6207491
17,2025,120.6207491
18,2025,109.5295189
19,2025,109.5295189
20,2025,109.5295189
1,2030,104.2272503
2,2030,104.2272503
3,2030,104.2272503
4,2030,104.2272503
5,2030,109.7900633
6,2030,109.7900633
7,2030,109.7900633
8,2030,109.7900633
9,2030,109.7900633
10,2030,109.7900633
11,2030,109.7900633
12,2030,109.7900633
13,2030,109.7900633
14,2030,103.7799573
15,2030,103.7799573
16,2030,103.7799573
17,2030,103.7799573
18,2030,98.22951888
19,2030,98.22951888
20,2030,98.22951888
1,2035,87.27463513
2,2035,87.27463513
3,2035,87.27463513
4,2035,87.27463513
5,2035,91.44674492
6,2035,91.44674492
7,2035,91.44674492
8,2035,91.44674492
9,2035,91.44674492
10,2035,91.44674492
11,2035,91.44674492
12,2035,91.44674492
13,2035,91.44674492
14,2035,86.93916538
15,2035,86.93916538
16,2035,86.93916538
17,2035,86.93916538
18,2035,86.92951888
19,2035,86.92951888
20,2035,86.92951888
1,2040,70.3220201
2,2040,70.3220201
3,2040,70.3220201
4,2040,70.3220201
5,2040,73.10342662
6,2040,73.10342662
7,2040,73.10342662
8,2040,73.10342662
9,2040,73.10342662
10,2040,73.10342662
11,2040,73.10342662
12,2040,73.10342662
13,2040,73.10342662
14,2040,70.09837359
15,2040,70.09837359
16,2040,70.09837359
17,2040,70.09837359
18,2040,75.62951888
19,2040,75.62951888
20,2040,75.62951888
1,2045,53.36940493
2,2045,53.36940493
3,2045,53.36940493
4,2045,53.36940493
5,2045,54.76010819
6,2045,54.76010819
7,2045,54.76010819
8,2045,54.76010819
9,2045,54.76010819
10,2045,54.76010819
11,2045,54.76010819
12,2045,54.76010819
13,2045,54.76010819
14,2045,53.25758168
15,2045,53.25758168
16,2045,53.25758168
17,2045,53.25758168
18,2045,64.32951888
19,2045,64.32951888
20,2045,64.32951888
1,2050,36.41678989
2,2050,36.41678989
3,2050,36.41678989
4,2050,36.41678989
5,2050,36.41678989
6,2050,36.41678989
7,2050,36.41678989
8,2050,36.41678989
9,2050,36.41678989
10,2050,36.41678989
11,2050,36.41678989
12,2050,36.41678989
13,2050,36.41678989
14,2050,36.41678989
15,2050,36.41678989
16,2050,36.41678989
17,2050,36.41678989
18,2050,53.02951888
19,2050,53.02951888
20,2050,53.02951888
