Geo,Year,PropRuralMixed,PropRuralOnSite,PropRuralRemote,PropTownMixed,PropTownOnSite,PropTownRemote,PropMetroMixed,PropMetroOnSite,PropMetroRemote
1,2005,0.2344,0.5745,0.1911,0.238176182,0.568043196,0.193780622,0.2353,0.575,0.1897
2,2005,0.2344,0.5745,0.1911,0.238176182,0.568043196,0.193780622,0.2353,0.575,0.1897
3,2005,0.2344,0.5745,0.1911,0.238176182,0.568043196,0.193780622,0.2353,0.575,0.1897
4,2005,0.2344,0.5745,0.1911,0.238176182,0.568043196,0.193780622,0.2353,0.575,0.1897
5,2005,0.2344,0.5745,0.1911,0.238176182,0.568043196,0.193780622,0.2353,0.575,0.1897
6,2005,0.2344,0.5745,0.1911,0.238176182,0.568043196,0.193780622,0.2353,0.575,0.1897
7,2005,0.2344,0.5745,0.1911,0.238176182,0.568043196,0.193780622,0.2353,0.575,0.1897
8,2005,0.2344,0.5745,0.1911,0.238176182,0.568043196,0.193780622,0.2353,0.575,0.1897
9,2005,0.2344,0.5745,0.1911,0.238176182,0.568043196,0.193780622,0.2353,0.575,0.1897
10,2005,0.2344,0.5745,0.1911,0.238176182,0.568043196,0.193780622,0.2353,0.575,0.1897
11,2005,0.2344,0.5745,0.1911,0.238176182,0.568043196,0.193780622,0.2353,0.575,0.1897
12,2005,0.2344,0.5745,0.1911,0.238176182,0.568043196,0.193780622,0.2353,0.575,0.1897
13,2005,0.2344,0.5745,0.1911,0.238176182,0.568043196,0.193780622,0.2353,0.575,0.1897
14,2005,0.2344,0.5745,0.1911,0.238176182,0.568043196,0.193780622,0.2353,0.575,0.1897
15,2005,0.2344,0.5745,0.1911,0.238176182,0.568043196,0.193780622,0.2353,0.575,0.1897
16,2005,0.2344,0.5745,0.1911,0.238176182,0.568043196,0.193780622,0.2353,0.575,0.1897
17,2005,0.2344,0.5745,0.1911,0.238176182,0.568043196,0.193780622,0.2353,0.575,0.1897
18,2005,0.2344,0.5745,0.1911,0.238176182,0.568043196,0.193780622,0.2353,0.575,0.1897
19,2005,0.2344,0.5745,0.1911,0.238176182,0.568043196,0.193780622,0.2353,0.575,0.1897
20,2005,0.2344,0.5745,0.1911,0.238176182,0.568043196,0.193780622,0.2353,0.575,0.1897
1,2010,0.2824,0.4822,0.2354,0.238176182,0.568043196,0.193780622,0.2657,0.5066,0.2277
