Geo,Year,RampMeterDeployProp,IncidentMgtDeployProp,SignalCoordDeployProp,AccessMgtDeployProp,OtherFwyOpsDeployProp,OtherArtOpsDeployProp
Metro,2005,0.57,0.475,0.315,0.4,0,0
Metro,2010,0.76,0.7125,0.3625,0.49,0,0
Metro,2020,0.98,0.9,0.421,0.49,0,0
Metro,2025,0.98,0.95,0.4575,0.49,0,0
Metro,2030,0.98,0.95,0.505,0.49,0,0
Metro,2035,0.98,0.95,0.505,0.49,0,0
Metro,2040,0.98,0.95,0.505,0.49,0,0
Metro,2045,0.98,0.95,0.505,0.49,0,0
Metro,2050,0.98,0.95,0.505,0.49,0,0
None,2005,0,0,0,0,0,0
None,2010,0,0,0,0,0,0
None,2020,0,0,0,0,0,0
None,2025,0,0,0,0,0,0
None,2030,0,0,0,0,0,0
None,2035,0,0,0,0,0,0
None,2040,0,0,0,0,0,0
None,2045,0,0,0,0,0,0
None,2050,0,0,0,0,0,0
