Year,HhFuelCI,CarSvcFuelCI,ComSvcFuelCI,HvyTrkFuelCI,TransitVanFuelCI,TransitBusFuelCI,TransitRailFuelCI
1990,87.481,87.481,87.4713,90.2,90.1,NA,NA
1995,87.4713,87.4713,87.4713,90.2,90.1,NA,NA
2000,86.8694,86.8694,87.481,90.2,90.1,NA,NA
2005,87.5975,87.5975,85.4716,90.23,87.62,NA,NA
2010,89.4969,89.4969,88.4968,84.82,89.33,NA,NA
2015,88.6057,88.6057,88.5066,77.54,90.36,NA,NA
2020,83.6843,83.6843,86.8332,75.75,85.34,NA,NA
2025,77.8617,77.8617,84.6943,72.56,79.4,NA,NA
2030,73.3858,73.3858,80.872,68.31,74.84,NA,NA
2035,71.5936,71.5936,73.2175,65.47,73.01,NA,NA
2040,73.0007,73.0007,66.8415,62.62,73.01,NA,NA
2045,69.9105,69.9105,56.5183,62.47,73.01,NA,NA
2050,75.1981,75.1981,52.7426,64.01,73.01,NA,NA
