Year,CarSvcAutoPropIcev,CarSvcAutoPropHev,CarSvcAutoPropBev,CarSvcLtTrkPropIcev,CarSvcLtTrkPropHev,CarSvcLtTrkPropBev
1990,1,0,0,1,0,0
1995,1,0,0,1,0,0
2000,1,0,0,1,0,0
2005,1,0,0,1,0,0
2010,0.975,0.025,0,0.995,0.005,0
2015,0.947,0.048,0.005,0.993,0.007,0
2020,0.809,0.165,0.026,0.951,0.044,0.005
2025,0.799,0.192,0.009,0.892,0.081,0.027
2030,0.485,0.47,0.045,0.726,0.167,0.107
2035,0.29,0.607,0.103,0.424,0.276,0.3
2040,0.157,0.645,0.198,0.16,0.332,0.508
2045,0.06,0.547,0.393,0.052,0.346,0.602
2050,0.024,0.365,0.611,0.077,0.323,0.6
