Year,MixedWorkFromHome,MixedNoTelework,MixedTelework1to3DaysPerMonth,MixedTelework1DayPerWeek,MixedTelework2to3DaysPerWeek,MixedTelework4DaysPerWeek,MixedTelework5DaysPerWeek,OnSiteWorkFromHome,OnSiteNoTelework,OnSiteTelework1to3DaysPerMonth,OnSiteTelework1DayPerWeek,OnSiteTelework2to3DaysPerWeek,OnSiteTelework4DaysPerWeek,OnSiteTelework5DaysPerWeek,RemoteWorkFromHome,RemoteNoTelework,RemoteTelework1to3DaysPerMonth,RemoteTelework1DayPerWeek,RemoteTelework2to3DaysPerWeek,RemoteTelework4DaysPerWeek,RemoteTelework5DaysPerWeek
2005,0.05,0.6343,0.001,0.0526,0.0789,0.0789,0.1052,0.05,0.7252,0.001,0.043,0.0646,0.0646,0.0526,0.05,0.608,0.001,0.057,0.0855,0.0855,0.114
2010,0.05,0.6343,0.001,0.0526,0.0789,0.0789,0.1052,0.05,0.7252,0.001,0.043,0.0646,0.0646,0.0526,0.05,0.608,0.001,0.057,0.0855,0.0855,0.114
2015,0.05,0.6343,0.001,0.0526,0.0789,0.0789,0.1052,0.05,0.7252,0.001,0.043,0.0646,0.0646,0.0526,0.05,0.608,0.001,0.057,0.0855,0.0855,0.114
2020,0.05,0.631032223,0.001,0.052588458,0.078882687,0.078882687,0.108243326,0.05,0.735525157,0.001,0.038990123,0.058550184,0.058550184,0.058110266,0.05,0.60448246,0.001,0.056981663,0.085472494,0.085472494,0.11728527
2025,0.05,0.588781209,0.001,0.055432266,0.081202689,0.081012864,0.143116591,0.05,0.713974955,0.001,0.039457561,0.058072971,0.057959065,0.080176527,0.05,0.558717508,0.001,0.060060649,0.087983121,0.087777477,0.155061029
2030,0.05,0.546530195,0.001,0.058276074,0.083522691,0.08314304,0.177989856,0.05,0.692424752,0.001,0.039924998,0.057595757,0.057367945,0.102242788,0.05,0.512952556,0.001,0.063139636,0.090493748,0.09008246,0.192836788
2035,0.05,0.50427918,0.001,0.061119882,0.085842693,0.085273217,0.212863121,0.05,0.67087455,0.001,0.040392436,0.057118544,0.056776826,0.124309048,0.05,0.467187604,0.001,0.066218622,0.093004375,0.092387443,0.230612547
2040,0.05,0.462028166,0.001,0.06396369,0.088162695,0.087403393,0.247736386,0.05,0.649324347,0.001,0.040859874,0.056641331,0.056185707,0.146375309,0.05,0.421422652,0.001,0.069297608,0.095515003,0.094692426,0.268388307
2045,0.05,0.419777152,0.001,0.066807498,0.090482697,0.08953357,0.282609651,0.05,0.627774145,0.001,0.041327312,0.056164118,0.055594588,0.16844157,0.05,0.375657701,0.001,0.072376595,0.09802563,0.096997409,0.306164066
2050,0.05,0.377526137,0.001,0.069651305,0.092802698,0.091663746,0.317482916,0.05,0.606223942,0.001,0.04179475,0.055686904,0.055003468,0.190507831,0.05,0.329892749,0.001,0.075455581,0.100536257,0.099302392,0.343939825
