Geo,Year,ElectricityCI
Baker,1990,10.00424361
Baker,1995,10.00424361
Baker,2000,10.00424361
Baker,2005,10.00424361
Baker,2010,10.00424361
Baker,2015,26.898095058940466
Baker,2020,3.3449135545871043
Baker,2025,3.3449135545871043
Baker,2030,3.3449135545871043
Baker,2035,3.3449135545871043
Baker,2040,3.3449135545871043
Baker,2045,3.3449135545871043
Baker,2050,3.3449135545871043
Benton,1990,196.3049314
Benton,1995,196.3049314
Benton,2000,196.3049314
Benton,2005,196.3049314
Benton,2010,191.6682038
Benton,2015,176.01998167355956
Benton,2020,172.9117507945775
Benton,2025,107.7452196189498
Benton,2030,70.01722788569167
Benton,2035,47.723414588766396
Benton,2040,40.863779728174016
Benton,2045,40.863779728174016
Benton,2050,40.863779728174016
Clackamas,1990,176.6996378
Clackamas,1995,176.6996378
Clackamas,2000,176.6996378
Clackamas,2005,176.6996378
Clackamas,2010,172.0377107
Clackamas,2015,131.9127555076149
Clackamas,2020,128.98721056338835
Clackamas,2025,80.03865867130037
Clackamas,2030,51.70002336535472
Clackamas,2035,34.954466139114096
Clackamas,2040,29.801986992578517
Clackamas,2045,29.801986992578517
Clackamas,2050,29.801986992578517
Clatsop,1990,235.603717
Clatsop,1995,235.603717
Clatsop,2000,235.603717
Clatsop,2005,235.603717
Clatsop,2010,229.9716051
Clatsop,2015,210.87329777725083
Clatsop,2020,206.6711167377501
Clatsop,2025,128.27243726163445
Clatsop,2030,82.88372809125171
Clatsop,2035,56.06312721784374
Clatsop,2040,47.810634641410516
Clatsop,2045,47.810634641410516
Clatsop,2050,47.810634641410516
Columbia,1990,10.81063101
Columbia,1995,10.81063101
Columbia,2000,10.81063101
Columbia,2005,10.81063101
Columbia,2010,10.7854314
Columbia,2015,11.192785267123766
Columbia,2020,5.175409248091486
Columbia,2025,5.109022594371095
Columbia,2030,5.070588215901394
Columbia,2035,5.047876992260208
Columbia,2040,5.040888923447535
Columbia,2045,5.040888923447535
Columbia,2050,5.040888923447535
Coos,1990,188.329256
Coos,1995,188.329256
Coos,2000,188.329256
Coos,2005,188.329256
Coos,2010,183.8815256
