Geo,Year,PropRuralOnSite,PropRuralMixed,PropRuralRemote,PropTownOnSite,PropTownMixed,PropTownRemote,PropMetroOnSite,PropMetroMixed,PropMetroRemote
Baker,2010,0.258840973,0.576608173,0.164550855,0.258840973,0.576608173,0.164550855,0.258840973,0.576608173,0.164550855
Benton,2010,0.255720577,0.589983643,0.154295779,0.255720577,0.589983643,0.154295779,0.255720577,0.589983643,0.154295779
Clackamas,2010,0.259790191,0.582521427,0.157688381,0.259790191,0.582521427,0.157688381,0.259790191,0.582521427,0.157688381
Clatsop,2010,0.250174685,0.572267182,0.177558133,0.250174685,0.572267182,0.177558133,0.250174685,0.572267182,0.177558133
Columbia,2010,0.249349549,0.579463576,0.171186875,0.249349549,0.579463576,0.171186875,0.249349549,0.579463576,0.171186875
Coos,2010,0.248059536,0.587522188,0.164418276,0.248059536,0.587522188,0.164418276,0.248059536,0.587522188,0.164418276
Crook,2010,0.257845921,0.591378472,0.150775607,0.257845921,0.591378472,0.150775607,0.257845921,0.591378472,0.150775607
Curry,2010,0.239348455,0.587717962,0.172933583,0.239348455,0.587717962,0.172933583,0.239348455,0.587717962,0.172933583
Deschutes,2010,0.223274279,0.578619912,0.19810581,0.223274279,0.578619912,0.19810581,0.223274279,0.578619912,0.19810581
Douglas,2010,0.255543808,0.571837597,0.172618594,0.255543808,0.571837597,0.172618594,0.255543808,0.571837597,0.172618594
Gilliam,2010,0.238346602,0.563038727,0.198614671,0.238346602,0.563038727,0.198614671,0.238346602,0.563038727,0.198614671
Grant,2010,0.258886608,0.571502246,0.169611146,0.258886608,0.571502246,0.169611146,0.258886608,0.571502246,0.169611146
Harney,2010,0.265234889,0.570540897,0.164224214,0.265234889,0.570540897,0.164224214,0.265234889,0.570540897,0.164224214
Hood River,2010,0.250173239,0.580141838,0.169684922,0.250173239,0.580141838,0.169684922,0.250173239,0.580141838,0.169684922
Jackson,2010,0.491313308,0.232792726,0.275893966,0.491313308,0.232792726,0.275893966,0.491313308,0.232792726,0.275893966
Jefferson,2010,0.491313308,0.232792726,0.275893966,0.491313308,0.232792726,0.275893966,0.491313308,0.232792726,0.275893966
Josephine,2010,0.491313308,0.232792726,0.275893966,0.491313308,0.232792726,0.275893966,0.491313308,0.232792726,0.275893966
Klamath,2010,0.491313308,0.232792726,0.275893966,0.491313308,0.232792726,0.275893966,0.491313308,0.232792726,0.275893966
Lake,2010,0.491313308,0.232792726,0.275893966,0.491313308,0.232792726,0.275893966,0.491313308,0.232792726,0.275893966
Lane,2010,0.491313308,0.232792726,0.275893966,0.491313308,0.232792726,0.275893966,0.491313308,0.232792726,0.275893966
Lincoln,2010,0.491313308,0.232792726,0.275893966,0.491313308,0.232792726,0.275893966,0.491313308,0.232792726,0.275893966
Linn,2010,0.258840973,0.576608173,0.164550855,0.258840973,0.576608173,0.164550855,0.258840973,0.576608173,0.164550855
Malheur,2010,0.255720577,0.589983643,0.154295779,0.255720577,0.589983643,0.154295779,0.255720577,0.589983643,0.154295779
Marion,2010,0.259790191,0.582521427,0.157688381,0.259790191,0.582521427,0.157688381,0.259790191,0.582521427,0.157688381
Morrow,2010,0.250174685,0.572267182,0.177558133,0.250174685,0.572267182,0.177558133,0.250174685,0.572267182,0.177558133
Multnomah,2010,0.249349549,0.579463576,0.171186875,0.249349549,0.579463576,0.171186875,0.249349549,0.579463576,0.171186875
Polk,2010,0.248059536,0.587522188,0.164418276,0.248059536,0.587522188,0.164418276,0.248059536,0.587522188,0.164418276
Sherman,2010,0.257845921,0.591378472,0.150775607,0.257845921,0.591378472,0.150775607,0.257845921,0.591378472,0.150775607
Tillamook,2010,0.239348455,0.587717962,0.172933583,0.239348455,0.587717962,0.172933583,0.239348455,0.587717962,0.172933583
Umatilla,2010,0.223274279,0.578619912,0.19810581,0.223274279,0.578619912,0.19810581,0.223274279,0.578619912,0.19810581
Union,2010,0.255543808,0.571837597,0.172618594,0.255543808,0.571837597,0.172618594,0.255543808,0.571837597,0.172618594
Wallowa,2010,0.238346602,0.563038727,0.198614671,0.238346602,0.563038727,0.198614671,0.238346602,0.563038727,0.198614671
Wasco,2010,0.258886608,0.571502246,0.169611146,0.258886608,0.571502246,0.169611146,0.258886608,0.571502246,0.169611146
Washington,2010,0.265234889,0.570540897,0.164224214,0.265234889,0.570540897,0.164224214,0.265234889,0.570540897,0.164224214
Wheeler,2010,0.250173239,0.580141838,0.169684922,0.250173239,0.580141838,0.169684922,0.250173239,0.580141838,0.169684922
Yamhill,2010,0.491313308,0.232792726,0.275893966,0.491313308,0.232792726,0.275893966,0.491313308,0.232792726,0.275893966
Baker,2050,0.258840973,0.576608173,0.164550855,0.258840973,0.576608173,0.164550855,0.258840973,0.576608173,0.164550855
Benton,2050,0.255720577,0.589983643,0.154295779,0.255720577,0.589983643,0.154295779,0.255720577,0.589983643,0.154295779
Clackamas,2050,0.259790191,0.582521427,0.157688381,0.259790191,0.582521427,0.157688381,0.259790191,0.582521427,0.157688381
Clatsop,2050,0.250174685,0.572267182,0.177558133,0.250174685,0.572267182,0.177558133,0.250174685,0.572267182,0.177558133
Columbia,2050,0.249349549,0.579463576,0.171186875,0.249349549,0.579463576,0.171186875,0.249349549,0.579463576,0.171186875
Coos,2050,0.248059536,0.587522188,0.164418276,0.248059536,0.587522188,0.164418276,0.248059536,0.587522188,0.164418276
Crook,2050,0.257845921,0.591378472,0.150775607,0.257845921,0.591378472,0.150775607,0.257845921,0.591378472,0.150775607
Curry,2050,0.239348455,0.587717962,0.172933583,0.239348455,0.587717962,0.172933583,0.239348455,0.587717962,0.172933583
Deschutes,2050,0.223274279,0.578619912,0.19810581,0.223274279,0.578619912,0.19810581,0.223274279,0.578619912,0.19810581
Douglas,2050,0.255543808,0.571837597,0.172618594,0.255543808,0.571837597,0.172618594,0.255543808,0.571837597,0.172618594
Gilliam,2050,0.238346602,0.563038727,0.198614671,0.238346602,0.563038727,0.198614671,0.238346602,0.563038727,0.198614671
Grant,2050,0.258886608,0.571502246,0.169611146,0.258886608,0.571502246,0.169611146,0.258886608,0.571502246,0.169611146
Harney,2050,0.265234889,0.570540897,0.164224214,0.265234889,0.570540897,0.164224214,0.265234889,0.570540897,0.164224214
Hood River,2050,0.250173239,0.580141838,0.169684922,0.250173239,0.580141838,0.169684922,0.250173239,0.580141838,0.169684922
Jackson,2050,0.491313308,0.232792726,0.275893966,0.491313308,0.232792726,0.275893966,0.491313308,0.232792726,0.275893966
Jefferson,2050,0.491313308,0.232792726,0.275893966,0.491313308,0.232792726,0.275893966,0.491313308,0.232792726,0.275893966
Josephine,2050,0.491313308,0.232792726,0.275893966,0.491313308,0.232792726,0.275893966,0.491313308,0.232792726,0.275893966
Klamath,2050,0.491313308,0.232792726,0.275893966,0.491313308,0.232792726,0.275893966,0.491313308,0.232792726,0.275893966
Lake,2050,0.491313308,0.232792726,0.275893966,0.491313308,0.232792726,0.275893966,0.491313308,0.232792726,0.275893966
Lane,2050,0.491313308,0.232792726,0.275893966,0.491313308,0.232792726,0.275893966,0.491313308,0.232792726,0.275893966
Lincoln,2050,0.491313308,0.232792726,0.275893966,0.491313308,0.232792726,0.275893966,0.491313308,0.232792726,0.275893966
Linn,2050,0.258840973,0.576608173,0.164550855,0.258840973,0.576608173,0.164550855,0.258840973,0.576608173,0.164550855
Malheur,2050,0.255720577,0.589983643,0.154295779,0.255720577,0.589983643,0.154295779,0.255720577,0.589983643,0.154295779
Marion,2050,0.259790191,0.582521427,0.157688381,0.259790191,0.582521427,0.157688381,0.259790191,0.582521427,0.157688381
Morrow,2050,0.250174685,0.572267182,0.177558133,0.250174685,0.572267182,0.177558133,0.250174685,0.572267182,0.177558133
Multnomah,2050,0.249349549,0.579463576,0.171186875,0.249349549,0.579463576,0.171186875,0.249349549,0.579463576,0.171186875
