Geo,Year,CenterPropWkrPay,CenterPropNonWrkTripPay,InnerPropWkrPay,InnerPropNonWrkTripPay,OuterPropWkrPay,OuterPropNonWrkTripPay,CenterPropCashOut,InnerPropCashOut,OuterPropCashOut,CenterPkgCost.2005,InnerPkgCost.2005,OuterPkgCost.2005
Albany,1990,0,0,0,0,0,0,0,0,0,0,0,0
Albany,1995,0,0,0,0,0,0,0,0,0,0,0,0
Albany,2000,0,0,0,0,0,0,0,0,0,0,0,0
Albany,2005,0,0,0,0,0,0,0,0,0,0,0,0
Albany,2010,0,0,0,0,0,0,0,0,0,0,0,0
Albany,2015,0.003377,0.003377,0,0,0,0,0,0,0,0.587082,0,0
Albany,2020,0.007566,0.007566,0,0,0,0,0,0,0,0.693217,0,0
Albany,2025,0.011093,0.011093,0,0,0,0,0,0,0,0.821632,0,0
Albany,2030,0.0252,0.0252,0,0,0,0,0,0,0,0.97577,0,0
Albany,2035,0.054066,0.054066,0,0,0,0,0,0,0,1.322388,0,0
Albany,2040,0.111798,0.111798,0,0,0,0,0,0,0,1.566913,0,0
Albany,2045,0.224552,0.224552,0,0,0,0,0,0,0,1.79647,0,0
Albany,2050,0.443966,0.443966,0,0,0,0,0,0,0,2.098981,0,0
Bend,1990,0,0,0,0,0,0,0,0,0,0,0,0
Bend,1995,0,0,0,0,0,0,0,0,0,0,0,0
Bend,2000,0,0,0,0,0,0,0,0,0,0,0,0
Bend,2005,0,0,0,0,0,0,0,0,0,0,0,0
Bend,2010,0,0,0,0,0,0,0,0,0,0,0,0
Bend,2015,0.003336,0.003336,0,0,0,0,0,0,0,0.199268,0,0
Bend,2020,0.007186,0.007186,0,0,0,0,0,0,0,0.235365,0,0
Bend,2025,0.009849,0.009849,0,0,0,0,0,0,0,0.279049,0,0
Bend,2030,0.020498,0.020498,0,0,0,0,0,0,0,0.3315,0,0
Bend,2035,0.042779,0.042779,0,0,0,0,0,0,0,0.449394,0,0
Bend,2040,0.08734,0.08734,0,0,0,0,0,0,0,0.532652,0,0
Bend,2045,0.163848,0.163848,0,0,0,0,0,0,0,0.610689,0,0
Bend,2050,0.312726,0.312726,0,0,0,0,0,0,0,0.713523,0,0
Corvallis,1990,0,0,0,0,0,0,0,0,0,0,0,0
Corvallis,1995,0,0,0,0,0,0,0,0,0,0,0,0
Corvallis,2000,0,0,0,0,0,0,0,0,0,0,0,0
Corvallis,2005,0,0,0,0,0,0,0,0,0,0,0,0
Corvallis,2010,0,0,0,0,0,0,0,0,0,0,0,0
Corvallis,2015,0.003244,0.003244,0,0,0,0,0,0,0,0.368718,0,0
Corvallis,2020,0.006041,0.006041,0,0,0,0,0,0,0,0.462826,0,0
Corvallis,2025,0.008964,0.008964,0,0,0,0,0,0,0,0.581117,0,0
Corvallis,2030,0.020658,0.020658,0,0,0,0,0,0,0,0.728821,0,0
Corvallis,2035,0.0423,0.0423,0,0,0,0,0,0,0,1.040175,0,0
Corvallis,2040,0.085583,0.085583,0,0,0,0,0,0,0,1.294715,0,0
Corvallis,2045,0.177619,0.177619,0,0,0,0,0,0,0,1.484394,0,0
Corvallis,2050,0.356714,0.356714,0,0,0,0,0,0,0,1.734355,0,0
EugeneSpringfield,1990,0.137936,0.137936,0,0,0,0,0,0,0,0.232011,0,0
EugeneSpringfield,1995,0.137936,0.137936,0,0,0,0,0,0,0,0.232011,0,0
EugeneSpringfield,2000,0.125402,0.125402,0,0,0,0,0,0,0,0.232011,0,0
EugeneSpringfield,2005,0.119854,0.119854,0,0,0,0,0,0,0,0.232011,0,0
EugeneSpringfield,2010,0.110234,0.110234,0,0,0,0,0,0,0,0.649345,0,0
EugeneSpringfield,2015,0.169087,0.169087,0,0,0,0,0,0,0,0.69184,0,0
EugeneSpringfield,2020,0.201446,0.201446,0,0,0,0,0,0,0,0.823856,0,0
EugeneSpringfield,2025,0.230288,0.230288,0,0,0,0,0,0,0,0.984705,0,0
EugeneSpringfield,2030,0.262523,0.262523,0,0,0,0,0,0,0,1.179219,0,0
EugeneSpringfield,2035,0.29448,0.29448,0,0,0,0,0,0,0,1.611375,0,0
EugeneSpringfield,2040,0.332525,0.332525,0,0,0,0,0,0,0,1.925067,0,0
EugeneSpringfield,2045,0.374845,0.374845,0,0,0,0,0,0,0,2.207096,0,0
EugeneSpringfield,2050,0.423436,0.423436,0,0,0,0,0,0,0,2.578752,0,0
GrantsPass,1990,0,0,0,0,0,0,0,0,0,0,0,0
GrantsPass,1995,0,0,0,0,0,0,0,0,0,0,0,0
GrantsPass,2000,0,0,0,0,0,0,0,0,0,0,0,0
GrantsPass,2005,0,0,0,0,0,0,0,0,0,0,0,0
GrantsPass,2010,0,0,0,0,0,0,0,0,0,0,0,0
GrantsPass,2015,0.002435,0.002435,0,0,0,0,0,0,0,0.305472,0,0
GrantsPass,2020,0.006012,0.006012,0,0,0,0,0,0,0,0.360805,0,0
GrantsPass,2025,0.008218,0.008218,0,0,0,0,0,0,0,0.427773,0,0
GrantsPass,2030,0.017042,0.017042,0,0,0,0,0,0,0,0.508177,0,0
GrantsPass,2035,0.03851,0.03851,0,0,0,0,0,0,0,0.86113,0,0
GrantsPass,2040,0.081444,0.081444,0,0,0,0,0,0,0,1.276487,0,0
GrantsPass,2045,0.162807,0.162807,0,0,0,0,0,0,0,1.821225,0,0
GrantsPass,2050,0.321134,0.321134,0,0,0,0,0,0,0,2.621154,0,0
Metro,1990,0.218506,0.218506,0,0,0,0,0,0,0,0.683135,0,0
Metro,1995,0.195107,0.195107,0,0,0,0,0,0,0,0.683135,0,0
Metro,2000,0.176689,0.176689,0,0,0,0,0,0,0,0.683135,0,0
Metro,2005,0.225642,0.225642,0,0,0,0,0,0,0,0.683135,0,0
Metro,2010,0.216309,0.216309,0,0,0,0,0,0,0,1.911933,0,0
Metro,2015,0.262158,0.262158,0,0,0,0,0,0,0,1.917658,0,0
Metro,2020,0.354551,0.354551,0,0,0,0,0,0,0,2.143711,0,0
Metro,2025,0.396957,0.396957,0,0,0,0,0,0,0,2.397763,0,0
Metro,2030,0.442997,0.442997,0,0,0,0,0,0,0,2.67758,0,0
Metro,2035,0.497276,0.497276,0,0,0,0,0,0,0,3.16656,0,0
Metro,2040,0.555526,0.555526,0,0,0,0,0,0,0,3.753236,0,0
Metro,2045,0.613323,0.613323,0,0,0,0,0,0,0,4.303096,0,0
Metro,2050,0.673634,0.673634,0,0,0,0,0,0,0,5.027701,0,0
RogueValley,1990,0,0,0,0,0,0,0,0,0,0,0,0
RogueValley,1995,0,0,0,0,0,0,0,0,0,0,0,0
RogueValley,2000,0,0,0,0,0,0,0,0,0,0,0,0
RogueValley,2005,0,0,0,0,0,0,0,0,0,0,0,0
RogueValley,2010,0,0,0,0,0,0,0,0,0,0,0,0
RogueValley,2015,0.002306,0.002306,0,0,0,0,0,0,0,0.807421,0,0
RogueValley,2020,0.004552,0.004552,0,0,0,0,0,0,0,1.082413,0,0
RogueValley,2025,0.006484,0.006484,0,0,0,0,0,0,0,1.435943,0,0
RogueValley,2030,0.014215,0.014215,0,0,0,0,0,0,0,1.887161,0,0
RogueValley,2035,0.031534,0.031534,0,0,0,0,0,0,0,2.804106,0,0
RogueValley,2040,0.066173,0.066173,0,0,0,0,0,0,0,3.614968,0,0
RogueValley,2045,0.140847,0.140847,0,0,0,0,0,0,0,4.144572,0,0
RogueValley,2050,0.286158,0.286158,0,0,0,0,0,0,0,4.842483,0,0
SalemKeizer,1990,0.154254,0.154254,0,0,0,0,0,0,0,0.336664,0,0
SalemKeizer,1995,0.149772,0.149772,0,0,0,0,0,0,0,0.336664,0,0
SalemKeizer,2000,0.124877,0.124877,0,0,0,0,0,0,0,0.336664,0,0
SalemKeizer,2005,0.120933,0.120933,0,0,0,0,0,0,0,0.336664,0,0
SalemKeizer,2010,0.111699,0.111699,0,0,0,0,0,0,0,0.942244,0,0
SalemKeizer,2015,0.16626,0.16626,0,0,0,0,0,0,0,0.995816,0,0
SalemKeizer,2020,0.192981,0.192981,0,0,0,0,0,0,0,1.176355,0,0
SalemKeizer,2025,0.217822,0.217822,0,0,0,0,0,0,0,1.394878,0,0
SalemKeizer,2030,0.245585,0.245585,0,0,0,0,0,0,0,1.657278,0,0
SalemKeizer,2035,0.279493,0.279493,0,0,0,0,0,0,0,2.246965,0,0
SalemKeizer,2040,0.31986,0.31986,0,0,0,0,0,0,0,2.663265,0,0
SalemKeizer,2045,0.364593,0.364593,0,0,0,0,0,0,0,3.053442,0,0
SalemKeizer,2050,0.415952,0.415952,0,0,0,0,0,0,0,3.567616,0,0
None,1990,0,0,0,0,0,0,0,0,0,0,0,0
None,1995,0,0,0,0,0,0,0,0,0,0,0,0
None,2000,0,0,0,0,0,0,0,0,0,0,0,0
None,2005,0,0,0,0,0,0,0,0,0,0,0,0
None,2010,0,0,0,0,0,0,0,0,0,0,0,0
None,2015,0,0,0,0,0,0,0,0,0,0,0,0
None,2020,0,0,0,0,0,0,0,0,0,0,0,0
None,2025,0,0,0,0,0,0,0,0,0,0,0,0
None,2030,0,0,0,0,0,0,0,0,0,0,0,0
None,2035,0,0,0,0,0,0,0,0,0,0,0,0
None,2040,0,0,0,0,0,0,0,0,0,0,0,0
None,2045,0,0,0,0,0,0,0,0,0,0,0,0
None,2050,0,0,0,0,0,0,0,0,0,0,0,0
