Geo,Year,DRRevMi,VPRevMi,MBRevMi,RBRevMi,MGRevMi,SRRevMi,HRRevMi,CRRevMi
Albany,1990,0,0,0,0,0,0,0,0
Albany,1995,0,0,0,0,0,0,0,0
Albany,2000,0,0,0,0,0,0,0,0
Albany,2005,0,0,0,0,0,0,0,0
Albany,2010,159292,0,283071,0,0,0,0,0
Albany,2015,318584,0,566142,0,0,0,0,0
Albany,2020,375029,0,666448,0,0,0,0,0
Albany,2025,431475,0,766755,0,0,0,0,0
Albany,2030,487920,0,867061,0,0,0,0,0
Albany,2035,544365,0,967368,0,0,0,0,0
Albany,2040,600810,0,1067674,0,0,0,0,0
Albany,2045,657256,0,1167981,0,0,0,0,0
Albany,2050,713701,0,1268287,0,0,0,0,0
Bend,1990,0,0,0,0,0,0,0,0
Bend,1995,0,0,0,0,0,0,0,0
Bend,2000,0,0,0,0,0,0,0,0
Bend,2005,0,0,0,0,0,0,0,0
Bend,2010,203148,0,297943,68368,0,0,0,0
Bend,2015,406297,0,595886,136735,0,0,0,0
Bend,2020,620529,0,910085,208833,0,0,0,0
Bend,2025,834762,0,1224285,280931,0,0,0,0
Bend,2030,1048995,0,1538484,353029,0,0,0,0
Bend,2035,1263228,0,1852684,425127,0,0,0,0
Bend,2040,1477461,0,2166884,497224,0,0,0,0
Bend,2045,1691694,0,2481083,569322,0,0,0,0
Bend,2050,1905926,0,2795283,641420,0,0,0,0
Corvallis,1990,0,0,0,0,0,0,0,0
Corvallis,1995,0,0,0,0,0,0,0,0
Corvallis,2000,0,0,0,0,0,0,0,0
Corvallis,2005,0,0,0,0,0,0,0,0
Corvallis,2010,92453,0,92727,116621,0,0,0,0
Corvallis,2015,184905,0,185454,233242,0,0,0,0
Corvallis,2020,248490,0,249227,313449,0,0,0,0
Corvallis,2025,312074,0,313000,393656,0,0,0,0
Corvallis,2030,375659,0,376773,473862,0,0,0,0
Corvallis,2035,439243,0,440547,554069,0,0,0,0
Corvallis,2040,502828,0,504320,634276,0,0,0,0
Corvallis,2045,566412,0,568093,714482,0,0,0,0
Corvallis,2050,629997,0,631866,794689,0,0,0,0
EugeneSpringfield,1990,421365,0,3310462,0,0,0,0,0
EugeneSpringfield,1995,453147,0,3560159,0,0,0,0,0
EugeneSpringfield,2000,524944,0,3854315,0,0,0,0,0
EugeneSpringfield,2005,632442,17025,3255960,0,0,0,0,0
EugeneSpringfield,2010,3638605,382152,2915122,0,0,0,0,0
EugeneSpringfield,2015,6644768,747279,2574283,0,0,0,0,0
EugeneSpringfield,2020,8325494,936295,3225422,0,0,0,0,0
EugeneSpringfield,2025,10006219,1125312,3876560,0,0,0,0,0
EugeneSpringfield,2030,11686945,1314328,4527699,0,0,0,0,0
EugeneSpringfield,2035,13367670,1503345,5178837,0,0,0,0,0
EugeneSpringfield,2040,15048396,1692361,5829976,0,0,0,0,0
EugeneSpringfield,2045,16729122,1881378,6481114,0,0,0,0,0
EugeneSpringfield,2050,18409847,2070394,7132253,0,0,0,0,0
GrantsPass,1990,0,0,0,0,0,0,0,0
GrantsPass,1995,0,0,0,0,0,0,0,0
GrantsPass,2000,0,0,0,0,0,0,0,0
GrantsPass,2005,0,0,0,0,0,0,0,0
GrantsPass,2010,46476,0,97775,106677,0,0,0,0
GrantsPass,2015,92952,0,195549,213354,0,0,0,0
GrantsPass,2020,107771,0,226727,247370,0,0,0,0
GrantsPass,2025,122591,0,257904,281386,0,0,0,0
GrantsPass,2030,137411,0,289081,315402,0,0,0,0
GrantsPass,2035,152230,0,320258,349417,0,0,0,0
GrantsPass,2040,167050,0,351435,383433,0,0,0,0
GrantsPass,2045,181869,0,382612,417449,0,0,0,0
GrantsPass,2050,196689,0,413789,451465,0,0,0,0
Metro,1990,3699357,0,18374078,0,0,0,1365584,0
Metro,1995,4276368,0,21239993,0,0,0,1578582,0
Metro,2000,4894400,0,22865790,0,0,0,5052156,0
Metro,2005,6252536,0,24349017,0,0,0,3984245,0
Metro,2010,7742736,209125,24618153,416330,0,188039,6098866,101346
Metro,2015,9232936,418250,24887289,832659,0,376077,8213486,202693
Metro,2020,13770725,623811,37118856,1241894,0,560911,12250238,302312
Metro,2025,18308514,829372,49350423,1651128,0,745745,16286990,401931
Metro,2030,22846303,1034933,61581990,2060362,0,930579,20323741,501550
Metro,2035,27384092,1240495,73813558,2469596,0,1115413,24360493,601169
Metro,2040,31921882,1446056,86045125,2878831,0,1300247,28397245,700788
Metro,2045,36459671,1651617,98276692,3288065,0,1485081,32433997,800407
Metro,2050,40997460,1857178,110508259,3697299,0,1669915,36470748,900026
RogueValley,1990,180887,0,295148,0,0,0,0,0
RogueValley,1995,215668,0,351900,0,0,0,0,0
RogueValley,2000,191520,0,548856,0,0,0,0,0
RogueValley,2005,270555,0,645168,0,0,0,0,0
RogueValley,2010,1018476,0,1650067,0,0,0,0,0
RogueValley,2015,1766396,0,2654967,0,0,0,0,0
RogueValley,2020,2217482,0,3332967,0,0,0,0,0
RogueValley,2025,2668567,0,4010968,0,0,0,0,0
RogueValley,2030,3119653,0,4688968,0,0,0,0,0
RogueValley,2035,3570738,0,5366969,0,0,0,0,0
RogueValley,2040,4021824,0,6044969,0,0,0,0,0
RogueValley,2045,4472910,0,6722969,0,0,0,0,0
RogueValley,2050,4923995,0,7400970,0,0,0,0,0
SalemKeizer,1990,0,0,1611260,0,0,0,0,0
SalemKeizer,1995,0,0,1869484,0,0,0,0,0
SalemKeizer,2000,282970,0,2089009,0,0,0,0,0
SalemKeizer,2005,1033835,36320,2617061,0,0,0,0,0
SalemKeizer,2010,2497055,229589,2574103,192707,0,0,0,0
SalemKeizer,2015,3960275,422857,2531144,385414,0,0,0,0
SalemKeizer,2020,5083751,542816,3249195,494751,0,0,0,0
SalemKeizer,2025,6207227,662775,3967246,604088,0,0,0,0
SalemKeizer,2030,7330703,782734,4685297,713425,0,0,0,0
SalemKeizer,2035,8454178,902692,5403349,822761,0,0,0,0
SalemKeizer,2040,9577654,1022651,6121400,932098,0,0,0,0
SalemKeizer,2045,10701130,1142610,6839451,1041435,0,0,0,0
SalemKeizer,2050,11824606,1262569,7557502,1150772,0,0,0,0
None,1990,0,0,0,0,0,0,0,0
None,1995,0,0,0,0,0,0,0,0
None,2000,0,0,0,0,0,0,0,0
None,2005,0,0,0,0,0,0,0,0
None,2010,0,0,0,0,0,0,0,0
None,2015,0,0,0,0,0,0,0,0
None,2020,0,0,0,0,0,0,0,0
None,2025,0,0,0,0,0,0,0,0
None,2030,0,0,0,0,0,0,0,0
None,2035,0,0,0,0,0,0,0,0
None,2040,0,0,0,0,0,0,0,0
None,2045,0,0,0,0,0,0,0,0
None,2050,0,0,0,0,0,0,0,0
