Geo,Year,D3BPO4_MAX,D1B_MAX
Metro,1990,430.3024969,163.9243919
Metro,1995,430.3024969,163.9243919
Metro,2000,430.3024969,163.9243919
Metro,2005,430.3024969,163.9243919
Metro,2010,430.3024969,163.9243919
Metro,2015,430.3024969,163.9243919
Metro,2020,430.3024969,163.9243919
Metro,2025,430.3024969,163.9243919
Metro,2030,430.3024969,163.9243919
Metro,2035,430.3024969,163.9243919
Metro,2040,430.3024969,163.9243919
Metro,2045,430.3024969,163.9243919
Metro,2050,430.3024969,163.9243919
Bend,1990,120.786821,13.4909083
Bend,1995,120.786821,13.4909083
Bend,2000,120.786821,13.4909083
Bend,2005,120.786821,13.4909083
Bend,2010,120.786821,13.4909083
Bend,2015,120.786821,13.4909083
Bend,2020,120.786821,13.4909083
Bend,2025,120.786821,13.4909083
Bend,2030,120.786821,13.4909083
Bend,2035,120.786821,13.4909083
Bend,2040,120.786821,13.4909083
Bend,2045,120.786821,13.4909083
Bend,2050,120.786821,13.4909083
Corvallis,1990,294.9117234,35.17286333
Corvallis,1995,294.9117234,35.17286333
Corvallis,2000,294.9117234,35.17286333
Corvallis,2005,294.9117234,35.17286333
Corvallis,2010,294.9117234,35.17286333
Corvallis,2015,294.9117234,35.17286333
Corvallis,2020,294.9117234,35.17286333
Corvallis,2025,294.9117234,35.17286333
Corvallis,2030,294.9117234,35.17286333
Corvallis,2035,294.9117234,35.17286333
Corvallis,2040,294.9117234,35.17286333
Corvallis,2045,294.9117234,35.17286333
Corvallis,2050,294.9117234,35.17286333
EugeneSpringfield,1990,250.2626386,77.19054505
EugeneSpringfield,1995,250.2626386,77.19054505
EugeneSpringfield,2000,250.2626386,77.19054505
EugeneSpringfield,2005,250.2626386,77.19054505
EugeneSpringfield,2010,250.2626386,77.19054505
EugeneSpringfield,2015,250.2626386,77.19054505
EugeneSpringfield,2020,250.2626386,77.19054505
EugeneSpringfield,2025,250.2626386,77.19054505
EugeneSpringfield,2030,250.2626386,77.19054505
EugeneSpringfield,2035,250.2626386,77.19054505
EugeneSpringfield,2040,250.2626386,77.19054505
EugeneSpringfield,2045,250.2626386,77.19054505
EugeneSpringfield,2050,250.2626386,77.19054505
RogueValley,1990,205.5166804,22.57557
RogueValley,1995,205.5166804,22.57557
RogueValley,2000,205.5166804,22.57557
RogueValley,2005,205.5166804,22.57557
RogueValley,2010,205.5166804,22.57557
RogueValley,2015,205.5166804,22.57557
RogueValley,2020,205.5166804,22.57557
RogueValley,2025,205.5166804,22.57557
RogueValley,2030,205.5166804,22.57557
RogueValley,2035,205.5166804,22.57557
RogueValley,2040,205.5166804,22.57557
RogueValley,2045,205.5166804,22.57557
RogueValley,2050,205.5166804,22.57557
SalemKeizer,1990,181.2375686,28.15946921
SalemKeizer,1995,181.2375686,28.15946921
SalemKeizer,2000,181.2375686,28.15946921
SalemKeizer,2005,181.2375686,28.15946921
SalemKeizer,2010,181.2375686,28.15946921
SalemKeizer,2015,181.2375686,28.15946921
SalemKeizer,2020,181.2375686,28.15946921
SalemKeizer,2025,181.2375686,28.15946921
SalemKeizer,2030,181.2375686,28.15946921
SalemKeizer,2035,181.2375686,28.15946921
SalemKeizer,2040,181.2375686,28.15946921
SalemKeizer,2045,181.2375686,28.15946921
SalemKeizer,2050,181.2375686,28.15946921
Albany,1990,160.3297981,17.05988374
Albany,1995,160.3297981,17.05988374
Albany,2000,160.3297981,17.05988374
Albany,2005,160.3297981,17.05988374
Albany,2010,160.3297981,17.05988374
Albany,2015,160.3297981,17.05988374
Albany,2020,160.3297981,17.05988374
Albany,2025,160.3297981,17.05988374
Albany,2030,160.3297981,17.05988374
Albany,2035,160.3297981,17.05988374
Albany,2040,160.3297981,17.05988374
Albany,2045,160.3297981,17.05988374
Albany,2050,160.3297981,17.05988374
GrantsPass,1990,141.4808288,28.68839515
GrantsPass,1995,141.4808288,28.68839515
GrantsPass,2000,141.4808288,28.68839515
GrantsPass,2005,141.4808288,28.68839515
GrantsPass,2010,141.4808288,28.68839515
GrantsPass,2015,141.4808288,28.68839515
GrantsPass,2020,141.4808288,28.68839515
GrantsPass,2025,141.4808288,28.68839515
GrantsPass,2030,141.4808288,28.68839515
GrantsPass,2035,141.4808288,28.68839515
GrantsPass,2040,141.4808288,28.68839515
GrantsPass,2045,141.4808288,28.68839515
GrantsPass,2050,141.4808288,28.68839515
None,1990,NA,NA
None,1995,NA,NA
None,2000,NA,NA
None,2005,NA,NA
None,2010,NA,NA
None,2015,NA,NA
None,2020,NA,NA
None,2025,NA,NA
None,2030,NA,NA
None,2035,NA,NA
None,2040,NA,NA
None,2045,NA,NA
None,2050,NA,NA
