Year,HhFuelCI,CarSvcFuelCI,ComSvcFuelCI,HvyTrkFuelCI,TransitVanFuelCI,TransitBusFuelCI,TransitRailFuelCI
1990,100.79,100.79,100.84,101.61,100.79,NA,NA
1995,100.79,100.79,100.92,101.61,100.79,NA,NA
2000,100.79,100.79,101.01,101.61,100.79,NA,NA
2005,97.24,97.24,98.67,100.89,97.24,NA,NA
2010,97.23,97.23,97.2,96.84,97.23,NA,NA
2015,98.64,98.64,97.19,86.98,98.64,NA,NA
2020,93.16,93.16,95.2,82.92,93.16,NA,NA
2025,86.68,86.68,92.94,78.27,86.68,NA,NA
2030,81.7,81.7,88.71,72.29,81.70,NA,NA
2035,79.7,79.7,80.28,68.3,79.70,NA,NA
2040,79.7,79.7,71.84,64.31,79.70,NA,NA
2045,79.7,79.7,63.4,63.02,79.70,NA,NA
2050,79.7,79.7,54.97,64.01,79.70,NA,NA
