Year,ComSvcAutoPropIcev,ComSvcAutoPropHev,ComSvcAutoPropBev,ComSvcLtTrkPropIcev,ComSvcLtTrkPropHev,ComSvcLtTrkPropBev
1975,1,0,0,1,0,0
1976,1,0,0,1,0,0
1977,1,0,0,1,0,0
1978,1,0,0,1,0,0
1979,1,0,0,1,0,0
1980,1,0,0,1,0,0
1981,1,0,0,1,0,0
1982,1,0,0,1,0,0
1983,1,0,0,1,0,0
1984,1,0,0,1,0,0
1985,1,0,0,1,0,0
1986,1,0,0,1,0,0
1987,1,0,0,1,0,0
1988,1,0,0,1,0,0
1989,1,0,0,1,0,0
1990,1,0,0,1,0,0
1991,1,0,0,1,0,0
1992,1,0,0,1,0,0
1993,1,0,0,1,0,0
1994,1,0,0,1,0,0
1995,1,0,0,1,0,0
1996,1,0,0,1,0,0
1997,1,0,0,1,0,0
1998,1,0,0,1,0,0
1999,1,0,0,1,0,0
2000,1,0,0,1,0,0
2001,1,0,0,1,0,0
2002,1,0,0,1,0,0
2003,1,0,0,1,0,0
2004,1,0,0,1,0,0
2005,1,0,0,1,0,0
2006,1,0,0,1,0,0
2007,1,0,0,1,0,0
2008,1,0,0,1,0,0
2009,1,0,0,1,0,0
2010,1,0,0,1,0,0
2011,1,0,0,1,0,0
2012,1,0,0,1,0,0
2013,1,0,0,1,0,0
2014,1,0,0,1,0,0
2015,0.999985,0.000014,0.000002,0.999985,0.000014,0.000002
2016,0.999976,0.00001,0.000015,0.999976,0.00001,0.000015
2017,0.999974,0.000009,0.000017,0.999974,0.000009,0.000017
2018,0.999978,0.000007,0.000015,0.999978,0.000007,0.000015
2019,0.999961,0.000008,0.000031,0.999961,0.000008,0.000031
2020,0.999886,0.000007,0.000107,0.999886,0.000007,0.000107
2021,0.999821,0.000006,0.000173,0.999821,0.000006,0.000173
2022,0.999756,0.000006,0.000238,0.999756,0.000006,0.000238
2023,0.999693,0.000005,0.000301,0.999693,0.000005,0.000301
2024,0.994694,0.000445,0.004861,0.994694,0.000445,0.004861
2025,0.988811,0.000957,0.010233,0.988811,0.000957,0.010233
2026,0.9837505,0.0013968,0.0148527,0.9837505,0.0013968,0.0148527
2027,0.9742825,0.0022149,0.0235026,0.9742825,0.0022149,0.0235026
2028,0.9603316,0.0034191,0.0362493,0.9603316,0.0034191,0.0362493
2029,0.9420283,0.0049986,0.0529731,0.9420283,0.0049986,0.0529731
2030,0.9194599,0.0069498,0.0735894,0.9194599,0.0069498,0.0735894
2031,0.8950735,0.0090585,0.095868,0.8950735,0.0090585,0.095868
2032,0.8690446,0.011313,0.1196433,0.8690446,0.011313,0.1196433
2033,0.84106,0.0137493,0.1451907,0.84106,0.0137493,0.1451907
2034,0.8111062,0.0163548,0.172539,0.8111062,0.0163548,0.172539
2035,0.7794811,0.0190917,0.2014272,0.7794811,0.0190917,0.2014272
2036,0.7498963,0.0216342,0.2284704,0.7498963,0.0216342,0.2284704
2037,0.7220269,0.0240309,0.2539422,0.7220269,0.0240309,0.2539422
2038,0.6966451,0.0262053,0.2771496,0.6966451,0.0262053,0.2771496
2039,0.6723226,0.0282915,0.2993868,0.6723226,0.0282915,0.2993868
2040,0.6497254,0.0302247,0.3200499,0.6497254,0.0302247,0.3200499
2041,0.6292846,0.0319815,0.3387339,0.6292846,0.0319815,0.3387339
2042,0.610336,0.0335808,0.3560832,0.610336,0.0335808,0.3560832
2043,0.5933854,0.03501,0.3716046,0.5933854,0.03501,0.3716046
2044,0.578197,0.0363249,0.3854781,0.578197,0.0363249,0.3854781
2045,0.5639059,0.0375984,0.3984948,0.5639059,0.0375984,0.3984948
2046,0.5510773,0.0387612,0.4101624,0.5510773,0.0387612,0.4101624
2047,0.5409775,0.0397053,0.4193172,0.5409775,0.0397053,0.4193172
2048,0.5294728,0.0407736,0.4297527,0.5294728,0.0407736,0.4297527
2049,0.518293,0.0418158,0.4398912,0.518293,0.0418158,0.4398912
2050,0.506593,0.0428931,0.450513,0.506593,0.0428931,0.450513
