Geo,Year,FwyLaneMi,ArtLaneMi
Metro,2005,671.4182379,1945.936971
Metro,2010,685.4656801,2016.484692
Metro,2020,712.387,2120.642
Metro,2025,728.1421429,2153.409103
Metro,2030,743.8972859,2186.176206
Metro,2035,759.6524288,2218.94331
Metro,2040,775.4075717,2251.710413
Metro,2045,791.1627146,2284.477516
Metro,2050,806.9178576,2317.244619
None,2005,98.35834639,624.2639638
None,2010,100.4162041,646.8959403
None,2020,104.36,680.31
None,2025,106.6680246,690.821811
None,2030,108.9760492,701.3336221
None,2035,111.2840738,711.8454331
None,2040,113.5920984,722.3572442
None,2045,115.900123,732.8690552
None,2050,118.2081476,743.3808663
