Geo,Year,pa0,pa1,pa2,pa3
31,2005,19,44,12,25
32,2005,21,54,14,11
33,2005,17,46,19,18
34,2005,19,48,13,20
35,2005,20,38,23,19
36,2005,15,54,15,16
37,2005,22,43,13,22
38,2005,25,41,17,17
39,2005,10,52,19,19
40,2005,11,65,12,12
41,2005,13,55,12,20
42,2005,11,53,20,16
43,2005,22,45,17,16
44,2005,14,43,23,20
45,2005,21,43,25,11
47,2005,10,63,11,16
48,2005,11,56,21,12
49,2005,16,41,20,23
50,2005,19,34,22,25
51,2005,17,33,25,25
52,2005,24,41,12,23
53,2005,14,52,22,12
54,2005,10,58,18,14
55,2005,12,55,15,18
56,2005,12,57,11,20
61,2005,22,40,16,22
64,2005,11,52,24,13
65,2005,23,42,20,15
66,2005,15,37,25,23
67,2005,25,41,18,16
70,2005,10,57,17,16
71,2005,10,66,14,10
74,2005,24,34,22,20
75,2005,23,37,18,22
76,2005,23,40,16,21
77,2005,12,46,20,22
78,2005,21,49,17,13
80,2005,15,47,22,16
81,2005,14,51,16,19
82,2005,17,38,25,20
83,2005,25,39,21,15
84,2005,17,52,15,16
85,2005,18,40,20,22
86,2005,12,52,15,21
87,2005,19,38,20,23
88,2005,24,38,20,18
89,2005,19,45,15,21
90,2005,17,47,18,18
91,2005,17,45,20,18
92,2005,15,49,20,16
94,2005,10,50,17,23
95,2005,15,51,20,14
100,2005,16,60,13,11
103,2005,17,40,24,19
104,2005,16,43,22,19
107,2005,21,48,14,17
110,2005,20,55,11,14
111,2005,19,57,13,11
112,2005,21,57,11,11
114,2005,13,41,25,21
116,2005,10,60,15,15
117,2005,18,47,14,21
118,2005,21,49,12,18
120,2005,22,36,22,20
124,2005,24,39,14,23
125,2005,20,46,19,15
126,2005,12,51,15,22
128,2005,21,52,15,12
129,2005,23,53,13,11
130,2005,13,56,13,18
131,2005,12,66,10,12
132,2005,19,46,20,15
133,2005,25,48,13,14
134,2005,18,44,23,15
135,2005,11,47,18,24
136,2005,23,43,16,18
137,2005,14,47,24,15
138,2005,20,47,20,13
139,2005,20,36,21,23
140,2005,25,46,17,12
141,2005,14,55,11,20
143,2005,17,46,17,20
144,2005,17,45,21,17
146,2005,15,49,12,24
147,2005,20,43,24,13
