disease,fatal,non-fatal,fatal-and-non-fatal
all-cause-cancer,19.13776699,NA,19.49427481
all-cause-cvd,21.33552239,NA,20.11288344
all-cause-dementia,NA,13.512,11.41597015
all-cause-mortality,12.68427907,NA,12.68427907
alzheimer's-disease,NA,22.3675,13.63785714
bladder-cancer,NA,NA,13.45
breast-cancer,15.47684211,NA,26.75480315
colon-cancer,NA,NA,20.10135802
coronary-heart-disease,11.00135593,NA,17.96
depression,NA,14.56451613,14.56451613
depressive-symptoms,NA,11.75641026,11.75641026
diabetes,NA,NA,17.538
endometrial-cancer,NA,NA,21.16857143
esophageal-cancer,NA,NA,21.82206897
gastric-cardia-cancer,NA,NA,22.523
head-and-neck-cancer,NA,NA,13.59235294
heart-failure,NA,NA,24.4175
kidney-cancer,NA,NA,14.81428571
liver-cancer,NA,NA,21.82153846
lung-cancer,20.20636364,NA,14.17460317
major-depression,NA,16.54304348,16.54304348
myeloid-leukemia,NA,NA,10.06428571
myeloma,NA,NA,21.8325
parkinson's-disease,NA,15.11423077,15.17
prostate-cancer,14.87857143,NA,27.26046154
rectum-cancer,NA,NA,18.09229508
stroke,11.004,NA,15.01651786
vascular-dementia,NA,NA,16.85333333
