dose,RR,lb,ub
0,1,1,1
0.077957958,0.995704537,0.994568958,0.996841413
0.155915916,0.991428123,0.989168169,0.99369324
0.233873874,0.987171266,0.983798212,0.990555885
0.311831832,0.982934465,0.978459653,0.987429741
0.38978979,0.978718208,0.973153041,0.984315201
0.467747748,0.974522975,0.967878909,0.981212649
0.545705706,0.970349235,0.962637779,0.978122466
0.623663664,0.966197449,0.957430156,0.975045026
0.701621622,0.962068068,0.952256531,0.971980699
0.77957958,0.957961535,0.947117382,0.96892985
0.857537538,0.953878282,0.942013172,0.965892838
0.935495495,0.949818733,0.936944352,0.962870019
1.013453453,0.945783305,0.931911359,0.959861741
1.091411411,0.941772405,0.926914618,0.956868351
1.169369369,0.937786431,0.92195454,0.953890188
1.247327327,0.933825774,0.917031525,0.950927587
1.325285285,0.929890815,0.912145958,0.94798088
1.403243243,0.925981931,0.907298216,0.945050393
1.481201201,0.922099486,0.902488662,0.942136446
1.559159159,0.918243839,0.897717648,0.939239359
1.637117117,0.914415343,0.892985515,0.936359442
1.715075075,0.910614339,0.888292592,0.933497006
1.793033033,0.906841166,0.8836392,0.930652354
1.870990991,0.903096153,0.879025646,0.927825786
1.948948949,0.899379621,0.874452231,0.925017598
2.026906907,0.895691886,0.869919242,0.922228082
2.104864865,0.892033257,0.865426959,0.919457527
2.182822823,0.888404037,0.860975652,0.916706217
2.260780781,0.884804521,0.856565582,0.913974431
2.338738739,0.881234999,0.852197001,0.911262446
2.416696697,0.877695755,0.847870153,0.908570536
2.494654655,0.874187067,0.843585272,0.905898969
2.572612613,0.870709206,0.839342585,0.903248012
2.650570571,0.867262439,0.835142313,0.900617927
2.728528529,0.863847027,0.830984665,0.898008973
2.806486486,0.860463225,0.826869848,0.895421406
2.884444444,0.857111284,0.822798057,0.892855479
2.962402402,0.85379145,0.818769484,0.890311442
3.04036036,0.850503962,0.814784312,0.88778954
3.118318318,0.847249058,0.810842719,0.885290018
3.196276276,0.844026967,0.806944877,0.882813117
3.274234234,0.840837919,0.80309095,0.880359074
3.352192192,0.837682134,0.799281101,0.877928126
3.43015015,0.834559833,0.795515482,0.875520504
3.508108108,0.831471231,0.791794244,0.87313644
3.586066066,0.828416537,0.788117533,0.87077616
3.664024024,0.825395961,0.784485488,0.868439892
3.741981982,0.822409706,0.780898245,0.866127858
3.81993994,0.819457973,0.777355937,0.863840279
3.897897898,0.816540961,0.773858692,0.861577376
3.975855856,0.813658864,0.770406634,0.859339364
4.053813814,0.810811874,0.766999885,0.857126459
4.131771772,0.808000182,0.763638563,0.854938875
4.20972973,0.805223973,0.760322782,0.852776823
4.287687688,0.802483433,0.757052656,0.850640515
4.365645646,0.799778745,0.753828294,0.848530158
4.443603604,0.79711009,0.750649805,0.84644596
4.521561562,0.794477646,0.747517295,0.844388128
4.59951952,0.79188159,0.744430868,0.842356865
4.677477477,0.789322098,0.741390628,0.840352375
4.755435435,0.786799346,0.738396675,0.838374862
4.833393393,0.784313505,0.735449111,0.836424527
4.911351351,0.781864749,0.732548035,0.83450157
4.989309309,0.779453248,0.729693548,0.832606191
5.067267267,0.777079173,0.726885747,0.830738591
5.145225225,0.774742681,0.724124716,0.828898957
5.223183183,0.772443596,0.721410146,0.827087216
5.301141141,0.770181426,0.718741353,0.825303047
5.379099099,0.767955669,0.716117648,0.82354612
5.457057057,0.765765834,0.713538354,0.821816108
5.535015015,0.763611435,0.711002806,0.820112691
5.612972973,0.761491995,0.708510351,0.81843555
5.690930931,0.759407043,0.706060346,0.816784372
5.768888889,0.757356114,0.703652161,0.815158847
5.846846847,0.755338753,0.701285174,0.813558668
5.924804805,0.753354509,0.698958775,0.811983534
6.002762763,0.751402938,0.696672364,0.810433145
6.080720721,0.749483603,0.694425352,0.808907205
6.158678679,0.747596072,0.692217157,0.807405424
6.236636637,0.745739921,0.690047209,0.805927511
6.314594595,0.743914731,0.687914946,0.804473183
6.392552553,0.742120088,0.685819818,0.803042156
6.470510511,0.740355585,0.683761279,0.801634152
6.548468468,0.738620821,0.681738795,0.800248895
6.626426426,0.736915399,0.67975184,0.798886114
6.704384384,0.735238929,0.677799897,0.797545537
6.782342342,0.733591024,0.675882454,0.796226898
6.8603003,0.731971304,0.673999012,0.794929934
6.938258258,0.730379394,0.672149075,0.793654384
7.016216216,0.728814924,0.670332156,0.792399989
7.094174174,0.727277527,0.668547778,0.791166494
7.172132132,0.725766844,0.666795468,0.789953646
7.25009009,0.724282516,0.665074761,0.788761195
7.328048048,0.722824194,0.6633852,0.787588893
7.406006006,0.721391529,0.661726333,0.786436495
7.483963964,0.719984179,0.660097716,0.785303759
7.561921922,0.718601804,0.65849891,0.784190444
7.63987988,0.717244071,0.656929485,0.783096312
7.717837838,0.715910648,0.655389014,0.782021127
7.795795796,0.714601209,0.653877077,0.780964657
7.873753754,0.713315431,0.652393262,0.779926669
7.951711712,0.712052995,0.650937159,0.778906936
8.02966967,0.710813587,0.649508367,0.77790523
8.107627628,0.709596894,0.648106489,0.776921325
8.185585586,0.708402609,0.646731132,0.775955001
8.263543544,0.707230427,0.645381911,0.775006035
8.341501502,0.706080046,0.644058444,0.774074209
8.419459459,0.704951169,0.642760355,0.773159306
8.497417417,0.703843501,0.641487272,0.772261111
8.575375375,0.702756751,0.640238829,0.77137941
8.653333333,0.701690629,0.639014663,0.770513993
8.731291291,0.700644852,0.637814417,0.769664648
8.809249249,0.699619136,0.636637737,0.768831169
8.887207207,0.698613202,0.635484274,0.768013349
8.965165165,0.697626773,0.634353685,0.767210983
9.043123123,0.696659575,0.633245627,0.766423868
9.121081081,0.695711336,0.632159765,0.765651803
9.199039039,0.694781789,0.631095765,0.764894587
9.276996997,0.693870666,0.630053299,0.764152021
9.354954955,0.692977705,0.629032041,0.763423909
9.432912913,0.692102643,0.62803167,0.762710055
9.510870871,0.691245223,0.627051867,0.762010264
9.588828829,0.690405187,0.626092317,0.761324344
9.666786787,0.689582281,0.62515271,0.760652102
9.744744745,0.688776254,0.624232737,0.759993349
9.822702703,0.687986855,0.623332093,0.759347895
9.900660661,0.687213836,0.622450476,0.758715552
9.978618619,0.686456952,0.621587588,0.758096134
10.05657658,0.685715959,0.620743132,0.757489455
10.13453453,0.684990615,0.619916815,0.756895331
10.21249249,0.68428068,0.619108348,0.756313578
10.29045045,0.683585916,0.618317441,0.755744014
10.36840841,0.682906087,0.617543812,0.755186458
10.44636637,0.682240958,0.616787176,0.75464073
10.52432432,0.681590296,0.616047255,0.75410665
10.60228228,0.680953871,0.615323771,0.753584041
10.68024024,0.680331452,0.614616448,0.753072726
10.7581982,0.679722811,0.613925014,0.752572527
10.83615616,0.679127722,0.613249199,0.75208327
10.91411411,0.67854596,0.612588734,0.75160478
10.99207207,0.677977302,0.611943352,0.751136883
11.07003003,0.677421525,0.61131279,0.750679406
11.14798799,0.676878408,0.610696786,0.750232178
11.22594595,0.676347733,0.610095078,0.749795027
11.3039039,0.67582928,0.609507409,0.749367783
11.38186186,0.675322833,0.608933522,0.748950276
11.45981982,0.674828177,0.608373162,0.748542336
